"gen","predicted.value","std.error","weight","lower_95","upper_95"
"1",3.37434955732118,0.372267775791077,61.9009259523817,2.76196906614486,3.9867300484975
"2",3.13113960049036,0.275999412366384,61.9008618933852,2.67712056714766,3.58515863383306
"3",3.34729872722798,0.310438910743528,61.9009259523834,2.83662671905488,3.85797073540108
"4",3.52574502120832,0.375938278768976,61.9008618934477,2.90732655263336,4.14416348978329
"5",4.52913644234019,0.396139819358859,61.9009259523835,3.87748643949487,5.18078644518552
"6",3.71449201359854,0.320636137880096,61.9009259523831,3.18704556678579,4.2419384604113
"7",2.65289601114981,0.372267771464871,61.9009259523829,2.04051552709009,3.26527649520952
"8",3.50466753086403,0.283529837706584,61.9009259523832,3.0382609478367,3.97107411389136
"9",3.16738296081078,0.322318224168231,61.9009259523835,2.63716948205404,3.69759643956752
"10",3.59417553860077,0.286282101176581,61.9009259523836,3.12324148216529,4.06510959503624
"11",3.20035692487877,0.393575357512227,61.9008618933848,2.55292546177115,3.84778838798638
"12",2.02202366145641,0.284649468344722,61.9009259523828,1.55377528602934,2.49027203688348
"13",3.58269147008814,0.348933893512488,61.9009259523836,3.00869521526009,4.15668772491618
"14",3.81809212331825,0.324529955031153,61.9009259523834,3.284240347292,4.35194389934449
"15",3.70054342210793,0.366085037302798,61.9009259523836,3.09833353574482,4.30275330847103
"16",3.55166129812758,0.321915689142004,61.9009259523831,3.02210998948898,4.08121260676617
"17",3.67741122786144,0.283273954990845,61.9009259523832,3.2114255719015,4.14339688382138
"18",3.53980553211707,0.413876066926974,61.9008618933847,2.8589794020222,4.22063166221194
"19",2.98991289751478,0.410009387243032,61.9009259523829,2.31544745549999,3.66437833952956
"20",3.72208648193195,0.413876063033508,61.9008618934484,3.04126035824183,4.40291260562207
"21",2.98401489241216,0.288144527895617,61.9009259523833,2.51001714402387,3.45801264080045
"22",3.3480785890535,0.28661603099882,61.9009259523835,2.87659521806044,3.81956196004655
"23",3.06121411719121,0.370102937393547,61.9009259523831,2.45239478517883,3.6700334492036
"24",3.21882596298695,0.391012743751471,61.9009259523831,2.57560999951577,3.86204192645812
"25",1.80159056455373,0.295784972331627,61.9009259523831,1.3150242850682,2.28815684403925
"26",4.05818553372664,0.385754504606362,61.9009259523836,3.42361937364918,4.69275169380411
"27",3.30411799857994,0.284649467708041,61.9009259523833,2.83586962420021,3.77236637295967
"28",2.97165706891442,0.28661612250569,61.900861893448,2.50017354739256,3.44314059043629
"29",3.21546810829373,0.341645517233587,61.9009259523834,2.65346123244448,3.77747498414298
"30",3.47374928853557,0.343260311931174,61.900925952383,2.90908607540879,4.03841250166235
"31",2.82366012956915,0.418218565170694,61.9009259523835,2.13569058986335,3.51162966927494
"32",3.02879890968284,0.275999401428169,61.9008618933851,2.5747798943335,3.48281792503218
"33",2.95261572595814,0.349664236913896,61.9009259523832,2.37741805623478,3.5278133956815
"34",4.09941655089628,0.283900102167002,32.4636800821599,3.63240088283157,4.566432218961
"35",3.88287629973279,0.282165804112544,32.4636800821598,3.41871355196765,4.34703904749792
"36",3.21904024203443,0.284648532693062,61.9009259523834,2.75079340575434,3.68728707831451
"37",3.09422621628469,0.404677788505634,61.9009259523829,2.42853125419292,3.75992117837645
