env,gen,predicted.value,std.error,status,weight
ID_2018_1,1,19.7231939647653,0.494802308894911,Estimable,191.892749332536
ID_2018_1,2,19.9231818930296,0.464978175004457,Estimable,195.824931954967
ID_2018_1,3,21.0629363246857,0.477235253499912,Estimable,194.667566149778
ID_2018_1,4,20.8492594666813,0.146592941746221,Estimable,370.03464343399
ID_2018_1,5,18.0441016237176,0.374369602068194,Estimable,186.11654319686
ID_2018_1,6,22.6767587408622,0.233748038725481,Estimable,194.027577224492
ID_2018_1,7,21.2001965809999,0.456643861438234,Estimable,193.56541163449
ID_2018_1,8,20.0539947566182,0.47680485363723,Estimable,373.237508536151
ID_2018_1,9,18.4804873474301,0.476763153942956,Estimable,377.7748455262
ID_2018_1,10,19.4199528048579,0.418944479647157,Estimable,193.850592106196
ID_2018_1,11,19.4360884324686,0.190202403017722,Estimable,198.416243331631
ID_2018_1,12,21.0441538758622,0.398572797183158,Estimable,384.999492299615
ID_2018_1,13,21.0173456924608,0.381083956616202,Estimable,387.248306069507
ID_2018_1,14,19.8024934572735,0.486305371689894,Estimable,186.116543196858
ID_2018_1,15,21.8081880384266,0.233978257783067,Estimable,370.728495905135
ID_2018_1,16,21.4617935982518,0.489879334990376,Estimable,188.274572062119
ID_2018_1,17,20.7316639361454,0.158522869754182,Estimable,366.17754521277
ID_2018_1,18,18.3704390734353,0.252461272712375,Estimable,187.832384040803
ID_2018_1,19,19.9339250093165,0.407722846982612,Estimable,198.614046879185
ID_2018_1,20,20.5160613720036,0.406990484581611,Estimable,198.416243331631
ID_2018_1,21,22.4411136000462,0.404780520269643,Estimable,387.985632995682
ID_2018_1,22,21.3020665221715,0.395606472474887,Estimable,388.191837891068
ID_2018_1,23,20.1644775860194,0.362530583045826,Estimable,198.815656643274
ID_2018_1,24,19.8525575982139,0.438650034131802,Estimable,346.440860079856
ID_2018_1,25,22.4549019657438,0.382614093934738,Estimable,346.440860079853
ID_2018_1,26,21.8305488991084,0.476211921954742,Estimable,373.237508536155
ID_2018_1,27,20.4433935665018,0.471021867918961,Estimable,186.116543196857
ID_2018_1,28,18.5770596442471,0.417803696090732,Estimable,374.599413477382
ID_2018_1,29,20.0425686036874,0.459295763598183,Estimable,197.924823703348
ID_2018_1,30,22.1407243308295,0.411014117875401,Estimable,383.347335358682
ID_2018_1,31,21.2198166361091,0.415752831815486,Estimable,346.440860079864
ID_2018_1,32,21.1861256090704,0.479110918628918,Estimable,150.231542784867
ID_2018_1,33,19.8123078214341,0.41780234830918,Estimable,195.014955425109
ID_2018_1,34,19.1826765443591,0.363439212378836,Estimable,198.815656643278
ID_2018_1,35,19.6958446083756,0.492396987235303,Estimable,362.359116475413
ID_2018_1,36,21.0105037597108,0.408172608075972,Estimable,193.565411634489
ID_2018_1,37,22.2710198821442,0.208450941904831,Estimable,197.667766011237
ID_2018_1,38,19.6442585947811,0.365922587003621,Estimable,339.714077505671
ID_2018_1,39,19.1704749415978,0.131772400981038,Estimable,198.684769067751
ID_2018_1,40,20.3195816603428,0.468457027595662,Estimable,188.274572062119
ID_2018_1,41,21.6287641352222,0.407922641981103,Estimable,386.007261295213
ID_2018_1,42,20.697375592394,0.462245648198817,Estimable,370.034643433984
ID_2018_1,43,20.1604196732369,0.152956979224134,Estimable,348.174414032031
ID_2018_1,44,20.9049009340946,0.461993127086444,Estimable,190.344225462572
ID_2018_1,45,22.4654127885264,0.154978195682482,Estimable,387.93382284303
ID_2018_1,46,19.330764749558,0.401143593213313,Estimable,198.416243331625
ID_2018_1,47,20.2957667209805,0.458131464790775,Estimable,382.736380996348
ID_2018_1,48,20.0721791787901,0.415406972495959,Estimable,188.27457206212
ID_2018_1,49,21.2336353276207,0.413274531413408,Estimable,388.709291885807
ID_2018_1,50,19.5143080900279,0.469066637496852,Estimable,285.240936231632
ID_2018_1,51,20.6029394983435,0.411160232868566,Estimable,356.288283379471
ID_2018_1,52,18.6222214119153,0.156118631956648,Estimable,384.999492299626
ID_2018_1,53,17.5745612548779,0.423668550329768,Estimable,186.116543196865
ID_2018_1,54,21.9360693849136,0.157673598371213,Estimable,194.027577224494
ID_2018_1,55,20.2648038177058,0.434029128208053,Estimable,187.832384040806
ID_2018_1,56,20.6004355361622,0.364000522533618,Estimable,389.499682820175
ID_2018_1,57,20.4749477630199,0.463690581241247,Estimable,197.090500614936
ID_2018_1,58,22.4147963589012,0.155723702245146,Estimable,196.226817744889
ID_2018_1,59,19.8969850725462,0.475695119855247,Estimable,195.824931954957
ID_2018_1,60,21.5420960902916,0.151266989057166,Estimable,387.871619254811
ID_2018_1,61,19.1446060092341,0.395090004655937,Estimable,388.191837891074
ID_2018_1,62,20.2626390644335,0.16899907616995,Estimable,379.350398607404
ID_2018_1,63,21.6631632642855,0.475448278088457,Estimable,377.774845526232
ID_2018_1,64,21.2159129750351,0.464586472938389,Estimable,370.034643433976
ID_2018_1,65,23.4166560297483,0.152181406706541,Estimable,377.593488089251
ID_2018_1,66,21.5444725009134,0.233777473026105,Estimable,374.599413477386
ID_2018_1,67,20.1022600427835,0.478123544723402,Estimable,285.240936231647
ID_2018_1,68,22.292312236814,0.262911955355899,Estimable,195.014955425105
ID_2018_1,69,19.6433931247023,0.158739222959798,Estimable,193.850592106197
ID_2018_1,70,19.3027229676118,0.503069038685026,Estimable,186.116543196856
ID_2018_1,71,22.7987887023757,0.224823591741811,Estimable,368.916621891158
ID_2018_1,72,20.6574723090485,0.448297037415521,Estimable,188.274572062116
ID_2018_1,73,19.935146224587,0.461518523580032,Estimable,377.774845526233
