env,gen,predicted.value,std.error,status,weight
ID_2018_1,1,2.69092503701274,0.281041549133008,Estimable,423.15178290832
ID_2018_1,2,1.69686527183181,0.332419532446003,Estimable,423.385032593272
ID_2018_1,3,1.85781674814543,0.285533801488555,Estimable,423.196839299493
ID_2018_1,4,1.32129022511709,0.0799183831461076,Estimable,834.788767971078
ID_2018_1,5,2.42513754146498,0.10609335248435,Estimable,426.342783648167
ID_2018_1,6,3.0150427409571,0.192551981614712,Estimable,419.229662788235
ID_2018_1,7,2.87261485437979,0.29446307293088,Estimable,424.994142903212
ID_2018_1,8,1.85856132075273,0.285491265173278,Estimable,823.450034079417
ID_2018_1,9,0.897801739856428,0.318744678458743,Estimable,824.187827082477
ID_2018_1,10,1.93056819625133,0.265615358837061,Estimable,426.089078273386
ID_2018_1,11,3.0386160761523,0.225875478976967,Estimable,423.423057377398
ID_2018_1,12,2.50432334990065,0.283851218977638,Estimable,830.970882838389
ID_2018_1,13,2.64156536448078,0.252907830091941,Estimable,810.36536121977
ID_2018_1,14,2.13767048395634,0.262181203737659,Estimable,426.342783648158
ID_2018_1,15,2.61396567731436,0.192781005201363,Estimable,807.897114984969
ID_2018_1,16,2.79468200906231,0.317719127843749,Estimable,424.322036864427
ID_2018_1,17,2.26733928041861,0.0930676738206374,Estimable,823.934066073375
ID_2018_1,18,1.86568906837337,0.105171819258623,Estimable,426.226901828645
ID_2018_1,19,1.89653810589174,0.274585475554913,Estimable,414.061602154127
ID_2018_1,20,2.00713860172994,0.27154702145088,Estimable,423.423057377399
ID_2018_1,21,2.3263921093286,0.271285250639219,Estimable,761.339845899425
ID_2018_1,22,2.11908504703005,0.265834151340306,Estimable,817.812751666754
ID_2018_1,23,2.11554234708085,0.253487857853733,Estimable,424.519068854742
ID_2018_1,24,2.72727885657569,0.264834796989913,Estimable,835.3290914475
ID_2018_1,25,2.4131427601996,0.247650838064887,Estimable,835.329091447499
ID_2018_1,26,1.93160391325025,0.285595418552781,Estimable,823.450034079391
ID_2018_1,27,2.74217981854627,0.28049459942342,Estimable,426.342783648172
ID_2018_1,28,1.81008553791511,0.262005859162211,Estimable,830.809883889175
ID_2018_1,29,2.14114860248211,0.283837527655374,Estimable,426.177096203496
ID_2018_1,30,1.02906384745883,0.263609610229066,Estimable,820.6262531363
ID_2018_1,31,2.66379785771218,0.263602989237009,Estimable,835.329091447503
ID_2018_1,32,2.12118189199641,0.281981590232544,Estimable,369.376592674701
ID_2018_1,33,2.48196653352578,0.261994828264582,Estimable,425.074160406543
ID_2018_1,34,2.07697677027939,0.246666833090167,Estimable,424.519068854732
ID_2018_1,35,2.09430591257482,0.280858727728987,Estimable,823.27339499996
ID_2018_1,36,2.15023119145599,0.305108126697512,Estimable,424.994142903219
ID_2018_1,37,2.8759974823031,0.209428664123257,Estimable,425.115227375744
ID_2018_1,38,2.62100299403033,0.0745726069132718,Estimable,835.783394541505
ID_2018_1,39,2.41581573937837,0.130178367977146,Estimable,426.025326241362
ID_2018_1,40,2.68849929379252,0.275091244815954,Estimable,424.322036864439
ID_2018_1,41,2.10138662564137,0.268062557345152,Estimable,835.133833470891
ID_2018_1,42,0.879825560082332,0.282691409485831,Estimable,834.788767971089
ID_2018_1,43,2.64798683749539,0.0927018573513258,Estimable,827.861258697955
ID_2018_1,44,2.50462845584125,0.296695925736081,Estimable,416.888025828816
ID_2018_1,45,0.435049114914152,0.0950788578739282,Estimable,824.336899449072
ID_2018_1,46,1.96705901511983,0.307107032824866,Estimable,423.423057377403
ID_2018_1,47,2.46851966718493,0.302974667947786,Estimable,807.261859601143
ID_2018_1,48,2.90783891623488,0.321994543420416,Estimable,424.322036864427
ID_2018_1,49,1.80361510008777,0.276946333730009,Estimable,787.636249684696
ID_2018_1,50,2.76851868722841,0.281990836146821,Estimable,723.461353018313
ID_2018_1,51,2.58267707657585,0.299634238385989,Estimable,798.716961272377
ID_2018_1,52,3.01396874359256,0.0924129487942388,Estimable,830.970882838385
ID_2018_1,53,2.95549074183683,0.264620905246944,Estimable,426.342783648172
ID_2018_1,54,2.48613040496167,0.0924372934618498,Estimable,419.229662788235
ID_2018_1,55,2.72525789455535,0.263077391493825,Estimable,426.22690182865
ID_2018_1,56,1.97607701122709,0.246834644280899,Estimable,828.633702927648
ID_2018_1,57,1.82815289774805,0.297901771703204,Estimable,419.067624381026
ID_2018_1,58,2.67462786859676,0.0920729949712218,Estimable,421.059249428554
ID_2018_1,59,0.999728420063916,0.327436254573484,Estimable,423.385032593276
ID_2018_1,60,1.82659915467296,0.0918643206735911,Estimable,830.486153360775
ID_2018_1,61,2.38189964200539,0.27204818081563,Estimable,817.812751666734
ID_2018_1,62,2.51367305610275,0.199466176272241,Estimable,815.069826587872
ID_2018_1,63,0.301074332640006,0.327495425255562,Estimable,824.187827082456
ID_2018_1,64,1.01065954314211,0.283002279556766,Estimable,834.788767971081
ID_2018_1,65,2.09621676914513,0.0922526519825861,Estimable,780.515959683505
ID_2018_1,66,2.28304772667823,0.192194727026154,Estimable,830.809883889171
ID_2018_1,67,2.32195158357577,0.28173240067514,Estimable,723.461353018327
ID_2018_1,68,2.09414009997818,0.20359772782466,Estimable,425.074160406526
ID_2018_1,69,1.36392272896731,0.0935855434402738,Estimable,426.089078273391
ID_2018_1,70,3.14804101505855,0.280744760862794,Estimable,426.342783648151
ID_2018_1,71,1.99268975110367,0.24090227636571,Estimable,830.496183263196
ID_2018_1,72,2.69512174557637,0.301683403937387,Estimable,424.322036864453
