merged,gen,predicted.value,weight
BLUE_ID_2018_1,97,2.8800002546,73.7556073389
BLUE_ID_2018_1,98,3.7300022225,73.7556073389
BLUE_ID_2018_1,99,2.2000022545,37.6227324733
BLUE_ID_2018_1,100,2.2099983186,73.7556073389
BLUE_ID_2018_1,101,2.9700022225,73.7556073389
BLUE_ID_2018_1,102,3.0599983186,73.7556073389
BLUE_ID_2018_1,103,2.0722360157,37.6227324733
BLUE_ID_2018_1,104,3.2108794617,73.7556073389
BLUE_ID_2018_1,105,NA,NA
BLUE_ID_2018_1,106,3.8799976786,73.7556073389
BLUE_ID_2018_1,107,3.6499985906,37.6227324733
BLUE_ID_2018_1,108,3.2582738953,37.6227324733
BLUE_ID_2018_1,109,3.2400005906,37.6227324733
BLUE_ID_2018_1,110,3.6899996786,73.7556073389
BLUE_ID_2018_1,111,2.7763706158,37.6227324733
BLUE_ID_2018_1,112,2.9899987467,73.7556073389
BLUE_ID_2018_1,113,3.9699985906,73.7556073389
BLUE_ID_2018_1,114,3.4200019185,73.7556073389
BLUE_ID_2018_1,115,3.0625297665,73.7556073389
BLUE_ID_2018_1,116,3.5400022225,73.7556073389
BLUE_ID_2018_1,117,3.3000019185,73.7556073389
BLUE_ID_2018_1,118,1.8506359676,37.6227324733
BLUE_ID_2018_1,119,3.5999997463,37.6227324733
BLUE_ID_2018_1,120,2.6800005906,37.6227324733
BLUE_ID_2018_1,121,2.0899976786,73.7556073389
BLUE_ID_2018_1,122,2.7699997463,37.6227324733
BLUE_ID_2018_1,123,3.4599976786,73.7556073389
BLUE_ID_2018_1,124,3.2800022225,37.6227324733
BLUE_ID_2018_1,125,3.7999997463,37.6227324733
BLUE_ID_2018_1,126,3.5299983186,37.6227324733
BLUE_ID_2018_1,127,2.5900005906,37.6227324733
BLUE_ID_2018_1,128,3.4400022225,19.1913543909
BLUE_ID_2018_1,129,2.9200360388,73.7556073389
BLUE_ID_2018_1,130,2.7699996786,73.7556073389
BLUE_ID_2018_1,131,3.6299976786,73.7556073389
BLUE_ID_2018_1,132,2.6522360157,73.7556073389
BLUE_ID_2018_1,133,2.8799987467,37.6227324733
BLUE_ID_2018_1,134,3.2314360537,73.7556073389
BLUE_ID_2018_1,135,3.1600019185,37.6227324733
BLUE_ID_2018_1,136,3.4600022225,37.6227324733
BLUE_ID_2018_1,137,2.9300022545,37.6227324733
BLUE_ID_2018_1,138,2.8199997463,73.7556073389
BLUE_ID_2018_1,139,4.7870361096,73.7556073389
BLUE_ID_2018_1,140,1.5299985906,73.7556073389
BLUE_ID_2018_1,141,3.4500019185,37.6227324733
BLUE_ID_2018_1,142,2.9900022225,37.6227324733
BLUE_ID_2018_1,143,3.3900019185,73.7556073389
BLUE_ID_2018_1,144,2.5399983186,37.6227324733
BLUE_ID_2018_1,145,2.9999987467,37.6227324733
BLUE_ID_2018_1,146,4.5025474471,73.7556073389
BLUE_ID_2018_1,147,2.5000005906,73.7556073389
BLUE_ID_2018_1,148,3.4445804396,73.7556073389
