"trial","gen","predicted.value","std.error","status"
"ID_2019_1","1",32.4733304505453,0.659429291904603,"Estimable"
"ID_2019_1","2",31.4370473518861,0.652479811084565,"Estimable"
"ID_2019_1","3",25.9969122230848,0.652704769074791,"Estimable"
"ID_2019_1","4",28.890808751195,0.652476759924472,"Estimable"
"ID_2019_1","5",31.8037414065719,0.652493044698588,"Estimable"
"ID_2019_1","6",25.9582460303414,0.655796007935669,"Estimable"
"ID_2019_1","7",21.2823396628779,0.652510796362983,"Estimable"
"ID_2019_1","8",26.2449119132559,0.652705765805725,"Estimable"
"ID_2019_1","9",28.6491509483766,0.652479749124422,"Estimable"
"ID_2019_1","10",29.457574700595,0.652476758706612,"Estimable"
"ID_2019_1","11",27.4569281453363,0.652477144521594,"Estimable"
"ID_2019_1","12",26.9982560426035,0.652476683354823,"Estimable"
"ID_2019_1","13",28.3859470741977,0.65894273336562,"Estimable"
"ID_2019_1","14",30.6494683018423,0.652493044756132,"Estimable"
"ID_2019_1","15",24.8137762587588,0.655795889743772,"Estimable"
"ID_2019_1","16",24.2427049508543,0.652485932263397,"Estimable"
"ID_2019_1","17",29.4132076926801,0.660047485063801,"Estimable"
"ID_2019_1","18",34.7527074599179,0.652509617579427,"Estimable"
"ID_2019_1","19",28.6134455317216,0.658861656391327,"Estimable"
"ID_2019_1","20",32.2739966544443,0.65247615404662,"Estimable"
"ID_2019_1","21",28.9926705447943,0.665267430829372,"Estimable"
"ID_2019_1","22",34.1320975529039,0.662602664461683,"Estimable"
"ID_2019_1","23",30.5087868468153,0.654513642075978,"Estimable"
"ID_2019_1","24",30.1474560896113,0.652508602924786,"Estimable"
"ID_2019_1","25",28.1099599805508,0.652508669407371,"Estimable"
"ID_2019_1","26",28.508485338989,0.65270477758669,"Estimable"
"ID_2019_1","27",28.3647369680241,0.652494151655457,"Estimable"
"ID_2019_1","28",22.7880983003844,0.652483480843875,"Estimable"
"ID_2019_1","29",30.2908239672215,0.652479756435534,"Estimable"
"ID_2019_1","30",27.9265596538678,0.66480792282964,"Estimable"
"ID_2019_1","31",30.3465782584714,0.652508521891131,"Estimable"
"ID_2019_1","32",29.8579184662241,0.817004138966833,"Estimable"
"ID_2019_1","33",28.4418014906095,0.652483494253893,"Estimable"
"ID_2019_1","34",34.907882805549,0.654513565853445,"Estimable"
"ID_2019_1","35",27.8815428669793,0.659429444293338,"Estimable"
"ID_2019_1","36",23.0738009709638,0.652510816927342,"Estimable"
"ID_2019_1","37",30.7752477649992,0.652475799191117,"Estimable"
"ID_2019_1","38",31.5031337984248,0.652494162434154,"Estimable"
"ID_2019_1","39",33.5822467507838,0.652498190766367,"Estimable"
"ID_2019_1","40",21.8667345315632,0.652485935033182,"Estimable"
"ID_2019_1","41",29.3504844818376,0.652480557004258,"Estimable"
"ID_2019_1","42",31.4873505498794,0.652477678243561,"Estimable"
"ID_2019_1","43",23.3642087685389,0.652485933756954,"Estimable"
"ID_2019_1","44",27.2695671078951,0.65591011111005,"Estimable"
"ID_2019_1","45",27.1219712132531,0.652477143513411,"Estimable"
"ID_2019_1","46",32.9627590550932,0.652477143552421,"Estimable"
"ID_2019_1","47",24.4688361675032,0.665983864337536,"Estimable"
"ID_2019_1","48",25.8758772277789,0.652486962377657,"Estimable"
"ID_2019_1","49",31.3079422688526,0.658861760624547,"Estimable"
"ID_2019_1","50",27.5721871737026,0.817003919674592,"Estimable"
"ID_2019_1","51",26.2067280528606,0.655911022690732,"Estimable"
"ID_2019_1","52",29.2725648749388,0.652475690653947,"Estimable"
"ID_2019_1","53",30.2686205378958,0.652493156394978,"Estimable"
"ID_2019_1","54",20.6093036329306,0.65579600298994,"Estimable"
"ID_2019_1","55",33.5702525465609,0.652508602125211,"Estimable"
"ID_2019_1","56",33.1972281066361,0.654514717024834,"Estimable"
"ID_2019_1","57",21.7281455325166,0.665983975406503,"Estimable"
"ID_2019_1","58",28.6718324654853,0.658306265689342,"Estimable"
"ID_2019_1","59",27.8186063745216,0.652479761785591,"Estimable"
"ID_2019_1","60",29.094844379946,0.653937644940454,"Estimable"
"ID_2019_1","61",27.4950969914862,0.662602551308324,"Estimable"
"ID_2019_1","62",33.7596230822703,0.658305137117788,"Estimable"
"ID_2019_1","63",29.3413224333746,0.652479662739407,"Estimable"
"ID_2019_1","64",26.0177468910641,0.652476654322065,"Estimable"
"ID_2019_1","65",27.7498337777823,0.666463723833963,"Estimable"
"ID_2019_1","66",26.9123729890438,0.6524826083771,"Estimable"
"ID_2019_1","67",25.9909959829136,0.817003932171585,"Estimable"
"ID_2019_1","68",30.9495298659587,0.652482484282147,"Estimable"
"ID_2019_1","69",30.5961417329831,0.652476650856794,"Estimable"
"ID_2019_1","70",29.4144423347339,0.652493472911675,"Estimable"
"ID_2019_1","71",26.2569286812139,0.652511802534591,"Estimable"
"ID_2019_1","72",30.5683631652534,0.652487039039457,"Estimable"
"ID_2019_1","73",25.2263782201559,0.652479743826439,"Estimable"
"ID_2019_1","74",29.4682459346196,0.652477664351445,"Estimable"
"ID_2019_1","75",27.4857860968708,0.65248065274006,"Estimable"
"ID_2019_1","76",32.0554241149084,0.652497083475405,"Estimable"
"ID_2019_1","77",27.0716965461637,0.658942845709031,"Estimable"
"ID_2019_1","78",26.4015704758957,0.652485932246567,"Estimable"
"ID_2019_1","79",28.4240595273136,0.652480739710381,"Estimable"
"ID_2019_1","80",26.0944994878274,0.816106500256319,"Estimable"
"ID_2019_1","81",29.0225928969299,0.652477254794222,"Estimable"
