"trial","gen","predicted.value","std.error","status"
"ID_2019_1","1",32.6471170576591,0.696659639901164,"Estimable"
"ID_2019_1","2",30.8996040824435,0.696659676985111,"Estimable"
"ID_2019_1","3",25.6796293250572,0.696659639821658,"Estimable"
"ID_2019_1","4",29.3970370919313,0.522086232781089,"Estimable"
"ID_2019_1","5",30.9095619369944,0.696659636013399,"Estimable"
"ID_2019_1","6",26.5430349661188,0.696659639827249,"Estimable"
"ID_2019_1","7",25.2344166502849,0.696659635939487,"Estimable"
"ID_2019_1","8",25.7993012471916,0.522086216697269,"Estimable"
"ID_2019_1","9",28.8887361757573,0.522086216718655,"Estimable"
"ID_2019_1","10",29.4114712027301,0.696659636013397,"Estimable"
"ID_2019_1","11",27.9202993874628,0.696659676985113,"Estimable"
"ID_2019_1","12",26.268494978943,0.5220862166852,"Estimable"
"ID_2019_1","13",29.3913032862738,0.522086216697114,"Estimable"
"ID_2019_1","14",30.7106218442657,0.696659636013394,"Estimable"
"ID_2019_1","15",25.2211604871183,0.522086216697111,"Estimable"
"ID_2019_1","16",24.8785620026435,0.696659635934301,"Estimable"
"ID_2019_1","17",31.1670031410162,0.522086216697101,"Estimable"
"ID_2019_1","18",31.8991126291369,0.696659676985113,"Estimable"
"ID_2019_1","19",28.7002072020405,0.69665963982169,"Estimable"
"ID_2019_1","20",31.1901762087426,0.696659674155935,"Estimable"
"ID_2019_1","21",25.4360662576903,0.522086216699455,"Estimable"
"ID_2019_1","22",32.2900088533201,0.522086216697097,"Estimable"
"ID_2019_1","23",29.7882441242722,0.696659639822063,"Estimable"
"ID_2019_1","24",28.5759418691623,0.522086216685193,"Estimable"
"ID_2019_1","25",27.9307708405256,0.522086216687542,"Estimable"
"ID_2019_1","26",28.4358056001477,0.522086216730563,"Estimable"
"ID_2019_1","27",28.5480022647108,0.696659635939483,"Estimable"
"ID_2019_1","28",23.2893943482067,0.522086232771116,"Estimable"
"ID_2019_1","29",28.7393161618802,0.696659635933893,"Estimable"
"ID_2019_1","30",27.1927653106283,0.522086216697275,"Estimable"
"ID_2019_1","31",28.7695075935214,0.52208621668519,"Estimable"
"ID_2019_1","32",27.745005492434,0.807230812417973,"Estimable"
"ID_2019_1","33",29.5435976225862,0.696659635934298,"Estimable"
"ID_2019_1","34",34.1098522696073,0.696660504285569,"Estimable"
"ID_2019_1","35",26.8984500206812,0.522086580536605,"Estimable"
"ID_2019_1","36",25.9646197796535,0.696659635933924,"Estimable"
"ID_2019_1","37",30.05384080599,0.6966596359343,"Estimable"
"ID_2019_1","38",30.1977104579725,0.522086232771116,"Estimable"
"ID_2019_1","39",31.9416062182939,0.696659635933893,"Estimable"
"ID_2019_1","40",22.6884093965627,0.696659635939485,"Estimable"
"ID_2019_1","41",28.5765718555298,0.522086216685195,"Estimable"
"ID_2019_1","42",31.1209227258955,0.522086216718653,"Estimable"
"ID_2019_1","43",22.046316475047,0.522086216718655,"Estimable"
"ID_2019_1","44",28.2235083789264,0.696659639821688,"Estimable"
"ID_2019_1","45",27.1005138870647,0.522086216687545,"Estimable"
"ID_2019_1","46",31.7333464004638,0.696659636013395,"Estimable"
"ID_2019_1","47",28.4961503689741,0.522086232784726,"Estimable"
"ID_2019_1","48",26.2822319489968,0.696659636013394,"Estimable"
"ID_2019_1","49",30.9467297732881,0.522086216697113,"Estimable"
"ID_2019_1","50",26.0655671515916,0.608241753077341,"Estimable"
"ID_2019_1","51",26.6060000750401,0.52208623287552,"Estimable"
"ID_2019_1","52",29.3078900864073,0.522086232824542,"Estimable"
"ID_2019_1","53",29.6049531487321,0.696659636013394,"Estimable"
"ID_2019_1","54",21.7383899049785,0.696659639822063,"Estimable"
"ID_2019_1","55",33.7903522802198,0.696659636013395,"Estimable"
"ID_2019_1","56",33.5679611294072,0.522086216697114,"Estimable"
"ID_2019_1","57",26.4030292595079,0.696659639821688,"Estimable"
"ID_2019_1","58",28.8561162347148,0.696659678044985,"Estimable"
"ID_2019_1","59",27.433713568684,0.696659635939483,"Estimable"
"ID_2019_1","60",30.3187648214108,0.522086216697098,"Estimable"
"ID_2019_1","61",25.6892004923732,0.522086232789619,"Estimable"
"ID_2019_1","62",32.9811224520871,0.522086216697098,"Estimable"
"ID_2019_1","63",29.2934224736325,0.522086216685202,"Estimable"
"ID_2019_1","64",25.9950698444677,0.522086216685362,"Estimable"
"ID_2019_1","65",27.6153974860184,0.522086216699454,"Estimable"
"ID_2019_1","66",27.2144305561176,0.522086232772812,"Estimable"
"ID_2019_1","67",24.467308555109,0.608241753077363,"Estimable"
"ID_2019_1","68",31.3180266355232,0.6966596359343,"Estimable"
"ID_2019_1","69",30.945066799898,0.696659674152899,"Estimable"
"ID_2019_1","70",29.0356332446554,0.696659635933891,"Estimable"
"ID_2019_1","71",26.7938550411329,0.522086216685194,"Estimable"
"ID_2019_1","72",31.4932314368521,0.696659635933922,"Estimable"
"ID_2019_1","73",25.5218567434544,0.522086232824544,"Estimable"
"ID_2019_1","74",29.6464949684789,0.522086216718652,"Estimable"
"ID_2019_1","75",26.1902485583158,0.522086232772269,"Estimable"
"ID_2019_1","76",30.5057349253787,0.696659635933893,"Estimable"
"ID_2019_1","77",28.7836903311053,0.696659639822063,"Estimable"
"ID_2019_1","78",26.4035835210453,0.522086216687545,"Estimable"
"ID_2019_1","79",28.7497995132936,0.522086216685365,"Estimable"
"ID_2019_1","80",27.9454054909917,0.807230750546283,"Estimable"
"ID_2019_1","81",29.5120447243592,0.696659636013397,"Estimable"
"ID_2019_1","82",27.623869106797,0.546428402692037,"Estimable"
