"component","genotype","trial","blup_psi","blup_without_psi","reg_blup","loading","score"
"fac_1","1","BLUE_ID_2018_1",-0.427343791722998,0.012705669784603,0.012705669784603,0.0133320691449286,0.759367414692151
"fac_1","1","BLUE_WA_2019_1",0.419435602508468,0.335338569309609,0.335338569309609,0.653528422739017,0.759367414692151
"fac_1","1","BLUE_WA_2018_2",0.356061491810364,0.171875512176454,0.171875512176454,0.496120849897097,0.759367414692151
"fac_1","1","BLUE_WA_2019_5",-0.248717340325353,0.0014552649126085,0.0014552649126085,0.421304027002175,0.759367414692151
"fac_1","1","BLUE_WA_2018_3",-0.0118242150156432,0.106505329382365,0.106505329382365,0.503254177453594,0.759367414692151
"fac_1","1","BLUE_OR_2019_1",0.0180601671342668,0.270869162272468,0.270869162272468,0.0923079066967766,0.759367414692151
"fac_1","1","BLUE_OR_2019_4",0.494782065115875,0.495465850158007,0.495465850158007,0.463062863265016,0.759367414692151
"fac_1","1","BLUE_WA_2019_3",0.24983936209194,0.0911484628990709,0.0911484628990709,0.600376346748588,0.759367414692151
"fac_1","1","BLUE_WA_2018_1",0.00440382627049215,0.288590956780138,0.288590956780138,0.247629730768651,0.759367414692151
"fac_1","1","BLUE_OR_2018_2",0.184227042416462,0.183954774061355,0.183954774061355,0.162317909424844,0.759367414692151
"fac_1","1","BLUE_OR_2019_2",0.644414750301002,0.645090556676045,0.645090556676045,0.558664064855597,0.759367414692151
"fac_1","1","BLUE_ID_2019_2",0.673365867383426,0.600900309888687,0.600900309888687,0.49309872842838,0.759367414692151
"fac_1","1","BLUE_OR_2018_1",0.157240796545834,0.101531009041544,0.101531009041544,0.0914646194455572,0.759367414692151
"fac_1","1","BLUE_OR_2019_3",0.322860188632026,0.323103636066002,0.323103636066002,0.265677437589526,0.759367414692151
"fac_1","1","BLUE_ID_2019_1",0.394789225071397,0.279867898054064,0.279867898054064,0.23740730223563,0.759367414692151
"fac_1","1","BLUE_ID_2018_3",0.209436291822116,0.285701263966598,0.285701263966598,0.274414259981063,0.759367414692151
"fac_1","1","BLUE_WA_2019_4",-0.308913249887801,0.0531386712239135,0.0531386712239135,0.434792054102415,0.759367414692151
"fac_1","1","BLUE_ID_2019_3",0.462271690854026,0.291622173285912,0.291622173285912,0.230012613896942,0.759367414692151
"fac_1","1","BLUE_ID_2018_2",-0.015609307973842,0.228946022878037,0.228946022878037,0.239715968669879,0.759367414692151
"fac_1","1","BLUE_ID_2019_4",0.81853656597599,0.759556198133741,0.759556198133741,0.673987059782852,0.759367414692151
"fac_1","1","BLUE_WA_2019_2",0.573804649788766,0.575182265102418,0.575182265102418,0.680465683868018,0.759367414692151
"fac_1","1","BLUE_OR_2018_3",0.926005116077941,0.674770293264635,0.674770293264635,0.562853363430851,0.759367414692151
"fac_1","10","BLUE_WA_2019_1",0.642287222057502,0.242557156526183,0.242557156526183,0.653528422739017,0.204405582408922
"fac_1","10","BLUE_WA_2019_2",0.100467188123207,0.0995060428164321,0.0995060428164321,0.680465683868018,0.204405582408922
"fac_1","10","BLUE_ID_2018_1",-0.257745454112438,0.000976949417405284,0.000976949417405284,0.0133320691449286,0.204405582408922
"fac_1","10","BLUE_OR_2019_3",-0.0276043191665595,-0.0278699378993387,-0.0278699378993387,0.265677437589526,0.204405582408922
"fac_1","10","BLUE_OR_2018_1",0.198479220891685,-0.00302398252101925,-0.00302398252101925,0.0914646194455572,0.204405582408922
"fac_1","10","BLUE_WA_2018_1",1.50471375283326,-0.017469116144929,-0.017469116144929,0.247629730768651,0.204405582408922
"fac_1","10","BLUE_OR_2018_2",-0.00804469976099826,-0.00792105313757599,-0.00792105313757599,0.162317909424844,0.204405582408922
"fac_1","10","BLUE_OR_2019_4",-0.0021704242488173,-0.00274146155161856,-0.00274146155161856,0.463062863265016,0.204405582408922
"fac_1","10","BLUE_OR_2019_2",-0.0347268090572956,-0.0353591636543477,-0.0353591636543477,0.558664064855597,0.204405582408922
"fac_1","10","BLUE_WA_2019_3",0.44145174909379,0.369713297274442,0.369713297274442,0.600376346748588,0.204405582408922
"fac_1","10","BLUE_WA_2019_4",-0.165176270658967,0.276461546407831,0.276461546407831,0.434792054102415,0.204405582408922
"fac_1","10","BLUE_ID_2018_2",0.0233434846881251,0.017232134881845,0.017232134881845,0.239715968669879,0.204405582408922
"fac_1","10","BLUE_ID_2019_3",0.104960597958326,-0.0321814407156385,-0.0321814407156385,0.230012613896942,0.204405582408922
"fac_1","10","BLUE_WA_2018_2",1.25271902712678,0.240130990830083,0.240130990830083,0.496120849897097,0.204405582408922
"fac_1","10","BLUE_ID_2018_3",-0.145255041007769,0.00373513052556741,0.00373513052556741,0.274414259981063,0.204405582408922
"fac_1","10","BLUE_WA_2018_3",0.669792477582663,0.2895219745411,0.2895219745411,0.503254177453594,0.204405582408922
"fac_1","10","BLUE_WA_2019_5",0.244833636652026,0.301766010026249,0.301766010026249,0.421304027002175,0.204405582408922
"fac_1","10","BLUE_OR_2019_1",-0.171957707472151,-0.117084066514434,-0.117084066514434,0.0923079066967766,0.204405582408922
"fac_1","10","BLUE_ID_2019_4",-0.922234546623344,-0.0299969744562323,-0.0299969744562323,0.673987059782852,0.204405582408922
"fac_1","10","BLUE_OR_2018_3",0.1961331124749,-0.0524461238260975,-0.0524461238260975,0.562853363430851,0.204405582408922
"fac_1","10","BLUE_ID_2019_2",0.0742118634397038,-0.0525516834135693,-0.0525516834135693,0.49309872842838,0.204405582408922
