"component","genotype","trial","blup_psi","blup_without_psi","reg_blup","loading","score"
"fac_1","1","BLUE_ID_2018_1",-0.266795572453558,-0.0856454181797194,-0.0856454181797194,0.333870987410473,-0.256522493445721
"fac_1","1","BLUE_ID_2019_1",-0.407011996343188,-0.116550010797744,-0.116550010797744,0.454346163691901,-0.256522493445721
"fac_1","10","BLUE_ID_2018_1",-0.770857313121047,-0.165006338422768,-0.165006338422768,0.333870987410473,-0.494221854083724
"fac_1","10","BLUE_ID_2019_1",-0.509889120563975,-0.224547803415638,-0.224547803415638,0.454346163691901,-0.494221854083724
"fac_1","100","BLUE_ID_2018_1",-0.0259215676581112,-0.196267599486135,-0.196267599486135,0.333870987410473,-0.587854611173019
"fac_1","100","BLUE_ID_2019_1",-1.55791861014225,-0.267089487395055,-0.267089487395055,0.454346163691901,-0.587854611173019
"fac_1","101","BLUE_ID_2018_1",-0.885092156087252,-0.106209355996358,-0.106209355996358,0.333870987410473,-0.318114960572421
"fac_1","101","BLUE_ID_2019_1",0.0871029139439476,-0.14453431194908,-0.14453431194908,0.454346163691901,-0.318114960572421
"fac_1","102","BLUE_ID_2019_1",0.668865246126485,0.159003895223438,0.159003895223438,0.454346163691901,0.349962006791061
"fac_1","102","BLUE_ID_2018_1",0.257597392508297,0.116842160763482,0.116842160763482,0.333870987410473,0.349962006791061
"fac_1","103","BLUE_ID_2018_1",0.114134830471963,0.121135755643179,0.121135755643179,0.333870987410473,0.362822048668308
"fac_1","103","BLUE_ID_2019_1",0.85674820846319,0.164846805915282,0.164846805915282,0.454346163691901,0.362822048668308
"fac_1","104","BLUE_ID_2018_1",0.197634006300554,0.0580967607339104,0.0580967607339104,0.333870987410473,0.174009611270847
"fac_1","104","BLUE_ID_2019_1",0.258306956322925,0.0790605993264284,0.0790605993264284,0.454346163691901,0.174009611270847
"fac_1","106","BLUE_ID_2018_1",0.990392832568681,0.212074901583051,0.212074901583051,0.333870987410473,0.635200150896365
"fac_1","106","BLUE_ID_2019_1",0.655714452238802,0.28860075173628,0.28860075173628,0.454346163691901,0.635200150896365
"fac_1","107","BLUE_ID_2019_1",0.314064249449537,0.108970772498549,0.108970772498549,0.454346163691901,0.239840855292099
"fac_1","107","BLUE_ID_2018_1",0.311701799045923,0.0800759031777454,0.0800759031777454,0.333870987410473,0.239840855292099
"fac_1","108","BLUE_ID_2019_1",1.27427023090735,0.328523995842855,0.328523995842855,0.454346163691901,0.723069813494964
"fac_1","108","BLUE_ID_2018_1",0.633086775880494,0.24141203259827,0.24141203259827,0.333870987410473,0.723069813494964
"fac_1","109","BLUE_ID_2018_1",1.13727397943116,0.33578946839657,0.33578946839657,0.333870987410473,1.00574617459569
"fac_1","109","BLUE_ID_2019_1",1.49832820836247,0.456956916075358,0.456956916075358,0.454346163691901,1.00574617459569
"fac_1","11","BLUE_ID_2018_1",-0.705404414138289,-0.146739358031742,-0.146739358031742,0.333870987410473,-0.439509162415887
"fac_1","11","BLUE_ID_2019_1",-0.432208235426298,-0.199689301851099,-0.199689301851099,0.454346163691901,-0.439509162415887
"fac_1","110","BLUE_ID_2018_1",0.254720519871794,0.136677031769773,0.136677031769773,0.333870987410473,0.409370795677246
"fac_1","110","BLUE_ID_2019_1",0.832178472060099,0.185996050543458,0.185996050543458,0.454346163691901,0.409370795677246
"fac_1","111","BLUE_ID_2018_1",-0.631558556573481,-0.0910069300292808,-0.0910069300292808,0.333870987410473,-0.272581127024954
"fac_1","111","BLUE_ID_2019_1",-0.0608153768701523,-0.123846189358602,-0.123846189358602,0.454346163691901,-0.272581127024954
"fac_1","112","BLUE_ID_2019_1",-0.434711535847936,-0.0791128916307717,-0.0791128916307717,0.454346163691901,-0.174124704801996
"fac_1","112","BLUE_ID_2018_1",-0.0327281970623185,-0.0581351871247996,-0.0581351871247996,0.333870987410473,-0.174124704801996
"fac_1","113","BLUE_ID_2018_1",1.28966329952544,0.237897688374276,0.237897688374276,0.333870987410473,0.712543758951406
"fac_1","113","BLUE_ID_2019_1",0.544755541993476,0.323741523342178,0.323741523342178,0.454346163691901,0.712543758951406
"fac_1","114","BLUE_ID_2018_1",0.322294071698957,0.0479114131103517,0.0479114131103517,0.333870987410473,0.143502774775239
"fac_1","114","BLUE_ID_2019_1",0.0429041223540166,0.0651999351982727,0.0651999351982727,0.454346163691901,0.143502774775239
"fac_1","115","BLUE_ID_2018_1",0.358178112660898,0.0676185507899078,0.0676185507899078,0.333870987410473,0.202528980772969
"fac_1","115","BLUE_ID_2019_1",0.163794703529534,0.0920182654506291,0.0920182654506291,0.454346163691901,0.202528980772969
"fac_1","116","BLUE_ID_2019_1",0.578398957327268,0.109239465060582,0.109239465060582,0.454346163691901,0.240432238214427
"fac_1","116","BLUE_ID_2018_1",0.0656556523678461,0.0802733487779607,0.0802733487779607,0.333870987410473,0.240432238214427
"fac_1","117","BLUE_ID_2018_1",1.14584626013209,0.108665972014525,0.108665972014525,0.333870987410473,0.325472940483227
"fac_1","117","BLUE_ID_2019_1",-0.345701939740318,0.147877381894076,0.147877381894076,0.454346163691901,0.325472940483227
"fac_1","118","BLUE_ID_2018_1",-0.392607381003754,-0.118143057320704,-0.118143057320704,0.333870987410473,-0.353858411708756
"fac_1","118","BLUE_ID_2019_1",-0.53520489228085,-0.160774211849983,-0.160774211849983,0.454346163691901,-0.353858411708756
"fac_1","119","BLUE_ID_2018_1",0.997653084954918,0.0447039140458176,0.0447039140458176,0.333870987410473,0.133895773312154
"fac_1","119","BLUE_ID_2019_1",-0.704188459662059,0.0608350309389375,0.0608350309389375,0.454346163691901,0.133895773312154
"fac_1","12","BLUE_ID_2018_1",0.296229605737243,0.0732235908010091,0.0732235908010091,0.333870987410473,0.219317022329303
"fac_1","12","BLUE_ID_2019_1",0.275227993097081,0.0996458477276497,0.0996458477276497,0.454346163691901,0.219317022329303
"fac_1","120","BLUE_ID_2019_1",0.821951894832689,0.0804857456143893,0.0804857456143893,0.454346163691901,0.177146308357449
"fac_1","120","BLUE_ID_2018_1",-0.322276186435749,0.0591440128874215,0.0591440128874215,0.333870987410473,0.177146308357449
"fac_1","121","BLUE_ID_2019_1",0.0654986880874755,-0.0873558745771649,-0.0873558745771649,0.454346163691901,-0.192267221686947
"fac_1","121","BLUE_ID_2018_1",-0.54698302405257,-0.0641924471512895,-0.0641924471512895,0.333870987410473,-0.192267221686947
"fac_1","122","BLUE_ID_2019_1",-0.287145357664186,-0.233889441131422,-0.233889441131422,0.454346163691901,-0.514782471653103
"fac_1","122","BLUE_ID_2018_1",-1.03138266874237,-0.171870932112425,-0.171870932112425,0.333870987410473,-0.514782471653103
"fac_1","123","BLUE_ID_2018_1",-0.0384728983091887,0.0147886370878431,0.0147886370878431,0.333870987410473,0.0442944659628703
"fac_1","123","BLUE_ID_2019_1",0.160557014511515,0.0201250206830116,0.0201250206830116,0.454346163691901,0.0442944659628703
"fac_1","124","BLUE_ID_2018_1",0.250113508264586,-0.131102940813932,-0.131102940813932,0.333870987410473,-0.392675451768886
"fac_1","124","BLUE_ID_2019_1",-1.32623213307872,-0.178410585087177,-0.178410585087177,0.454346163691901,-0.392675451768886
"fac_1","125","BLUE_ID_2018_1",0.869744350873073,-0.0176852900965568,-0.0176852900965568,0.333870987410473,-0.0529704309851095
"fac_1","125","BLUE_ID_2019_1",-1.07162894633895,-0.0240669121071911,-0.0240669121071911,0.454346163691901,-0.0529704309851095
"fac_1","126","BLUE_ID_2018_1",0.3095369943865,-0.105503798727399,-0.105503798727399,0.333870987410473,-0.316001697379261
"fac_1","126","BLUE_ID_2019_1",-1.18287798250143,-0.143574158924396,-0.143574158924396,0.454346163691901,-0.316001697379261
"fac_1","127","BLUE_ID_2018_1",0.583003732552986,0.178644721681087,0.178644721681087,0.333870987410473,0.535071115542767
"fac_1","127","BLUE_ID_2019_1",0.820669194852009,0.243107508649202,0.243107508649202,0.454346163691901,0.535071115542767
"fac_1","128","BLUE_ID_2018_1",0.329663604029073,-0.00193621844785106,-0.00193621844785106,0.333870987410473,-0.00579930128960442
