env,id,block,position,row,col,resp,cov1,cov2
OR_2018_1,140,6,6,53,1,4.51,3.57,3.06
OR_2018_1,76,6,7,54,2,4.05,3.57,3.06
OR_2018_1,109,6,8,54,1,4.6,3.57,3.06
OR_2018_1,101,6,9,55,2,3.98,3.57,3.06
OR_2018_1,185,6,10,55,1,5.15,3.57,3.06
OR_2018_1,146,6,11,56,2,3.17,3.57,3.06
OR_2018_1,202,6,12,56,1,3.06,3.57,3.06
OR_2018_1,129,6,13,57,2,3.8,3.57,3.06
OR_2018_1,87,6,14,57,1,3.39,3.57,3.06
OR_2018_1,150,6,15,58,2,3.03,3.57,3.06
OR_2018_1,155,6,16,58,1,5.03,3.57,3.06
OR_2018_1,98,6,17,59,2,3.2,3.57,3.06
OR_2018_1,3,6,18,59,1,3.49,3.57,3.06
OR_2018_1,88,6,19,60,2,3.43,3.57,3.06
OR_2018_1,69,6,20,60,1,3.71,3.57,3.06
OR_2018_1,149,7,1,61,2,3.24,2.88,2.29
OR_2018_1,165,7,2,61,1,3.86,2.88,2.29
OR_2018_1,138,7,3,62,2,3.13,2.88,2.29
OR_2018_1,201,7,4,62,1,2.88,2.88,2.29
OR_2018_1,31,7,5,63,2,2.57,2.88,2.29
OR_2018_1,152,7,6,63,1,2.39,2.88,2.29
OR_2018_1,70,7,7,64,2,2.93,2.88,2.29
OR_2018_1,151,7,8,64,1,2.99,2.88,2.29
OR_2018_1,142,7,9,65,2,2.65,2.88,2.29
OR_2018_1,117,7,10,65,1,4.46,2.88,2.29
OR_2018_1,111,7,11,66,2,2.84,2.88,2.29
OR_2018_1,166,7,12,66,1,3.58,2.88,2.29
OR_2018_1,186,7,13,67,2,2.71,2.88,2.29
OR_2018_1,24,7,14,67,1,3.52,2.88,2.29
OR_2018_1,143,7,15,68,2,2.81,2.88,2.29
OR_2018_1,168,7,16,68,1,2.84,2.88,2.29
OR_2018_1,132,7,17,69,2,3.1,2.88,2.29
OR_2018_1,174,7,18,69,1,3.8,2.88,2.29
OR_2018_1,202,7,19,70,2,2.29,2.88,2.29
OR_2018_1,20,7,20,70,1,3.37,2.88,2.29
OR_2018_1,58,8,1,71,2,4.91,4.22,2.86
OR_2018_1,66,8,2,71,1,4.06,4.22,2.86
OR_2018_1,36,8,3,72,2,4.84,4.22,2.86
OR_2018_1,19,8,4,72,1,4.11,4.22,2.86
OR_2018_1,169,8,5,73,2,4.12,4.22,2.86
OR_2018_1,118,8,6,73,1,4.44,4.22,2.86
OR_2018_1,201,8,7,74,2,4.22,4.22,2.86
OR_2018_1,91,8,8,74,1,3.22,4.22,2.86
OR_2018_1,105,8,9,75,2,4.13,4.22,2.86
OR_2018_1,72,8,10,75,1,3.52,4.22,2.86
OR_2018_1,158,8,11,76,2,3.14,4.22,2.86
OR_2018_1,141,8,12,76,1,3.48,4.22,2.86
OR_2018_1,135,8,13,77,2,3.69,4.22,2.86
OR_2018_1,162,8,14,77,1,3.58,4.22,2.86
OR_2018_1,57,8,15,78,2,4.46,4.22,2.86
OR_2018_1,12,8,16,78,1,3.56,4.22,2.86
OR_2018_1,56,8,17,79,2,3.72,4.22,2.86
OR_2018_1,202,8,18,79,1,2.86,4.22,2.86
OR_2018_1,61,8,19,80,2,3.73,4.22,2.86
OR_2018_1,184,8,20,80,1,3.55,4.22,2.86
OR_2018_1,96,9,1,81,2,4.44,3.71,3.66
OR_2018_1,114,9,2,81,1,3.7,3.71,3.66
OR_2018_1,64,9,3,82,2,3.89,3.71,3.66
OR_2018_1,164,9,4,82,1,3.35,3.71,3.66
OR_2018_1,196,9,5,83,2,4.18,3.71,3.66
OR_2018_1,68,9,6,83,1,3.27,3.71,3.66
OR_2018_1,202,9,7,84,2,3.66,3.71,3.66
OR_2018_1,30,9,8,84,1,3.6,3.71,3.66
OR_2018_1,170,9,9,85,2,4.05,3.71,3.66
OR_2018_1,120,9,10,85,1,3.18,3.71,3.66
OR_2018_1,16,9,11,86,2,4.09,3.71,3.66
OR_2018_1,86,9,12,86,1,3.85,3.71,3.66
