"gen","predicted.value","std.error","weight","lower_95","upper_95"
"1",27.9729408433527,2.04719635721955,3.00269888664071,24.6053028357266,31.3405788509789
"2",34.251388101134,1.46528625492565,3.0025537499934,31.8409922117813,36.6617839904867
"3",34.0042950316976,1.87862368330835,3.00269888664775,30.9139590726554,37.0946309907399
"4",24.0861218258518,1.34812344296852,3.00255375308686,21.8684587621686,26.303784889535
"5",34.3194734289355,1.36465219957887,3.00269888664075,32.0746205606282,36.5643262972427
"6",32.8338119006113,1.96255274463376,3.00269888664773,29.6054126356888,36.0622111655339
"7",24.3844777907994,1.34699491243731,3.00269888664772,22.16867115984,26.6002844217588
"8",19.4924049214029,1.49838581218425,3.00269888664773,17.0275602603598,21.957249582446
"9",19.4214303843405,1.86954120360899,3.00269888664075,16.3460351044037,22.4968256642773
"10",22.1012027537894,1.55133645620524,3.00269888664073,19.5492542833318,24.653151224247
"11",24.5893444414764,1.74903256042677,3.00255374999341,21.7121858795744,27.4665030033785
"12",16.8394408428996,1.5125713449137,3.00269888664775,14.3512609805165,19.3276207052826
"13",23.0821820507917,1.6826986898675,3.00269888664774,20.3141427059596,25.8502213956237
"14",23.1041739902987,1.86491217751034,3.00269888664073,20.0363934582942,26.1719545223032
"15",22.6891484556329,1.33748490205026,3.00269888664773,20.4889857917602,24.8893111195056
"16",17.9482953596119,1.72146720024848,3.00269888664772,15.1164818152032,20.7801089040207
"17",22.6413799182198,1.14155313398374,3.00269888664773,20.7635250128166,24.5192348236231
"18",28.2295104503151,1.34488408042986,3.00255374999341,26.017176138008,30.4418447626222
"19",27.4228354187663,1.8371431090584,3.00269888664772,24.4007350043652,30.4449358331673
"20",27.7085468234253,1.3412953371393,3.00255375308686,25.5021159938312,29.9149776530195
"21",24.8263313689818,1.50144561266067,3.00269888664774,22.3564533361549,27.2962094018086
"22",28.0812353371047,1.15118755988519,3.00269888664774,26.1875318010936,29.9749388731158
"23",21.0339108297572,1.33937547155559,3.00269888664774,18.8306381790482,23.2371834804661
"24",25.2068887654551,2.09752250430186,3.00269888664777,21.7564642458785,28.6573132850317
"25",24.9562505612291,1.73254567695355,3.00269888664775,22.1062129226405,27.8062881998176
"26",27.3947399588046,1.98091700105157,3.00269888664074,24.1361314920747,30.6533484255344
"27",22.1573108422158,1.48814852802457,3.00269888664773,19.7093065136154,24.6053151708162
"28",23.8285250086043,1.55344459032729,3.00255375308686,21.2731086575159,26.3839413596927
"29",21.5866029541158,2.03324517418558,3.00269888664774,18.2419146425806,24.9312912656511
"30",23.4452151232995,1.28378391019663,3.00269888664773,21.3333905910261,25.557039655573
"31",25.2692505599567,1.79802981715985,3.00269888664778,22.3114915107288,28.2270096091847
"32",23.9235133767196,1.46528626783656,3.00255375028055,21.5131174661284,26.3339092873107
"33",21.9913199306564,1.68231206889213,3.00269888664774,19.2239165773288,24.7587232839839
"34",28.1930193449509,1.55792368031368,1.83061373707668,25.6302348908349,30.7558037990669
"35",23.4431530127089,1.54390986356692,1.83061373707668,20.9034212871413,25.9828847382764
"36",25.33988152453,1.6114648513016,3.00269888664773,22.6890218441388,27.9907412049211
"37",23.8876194340794,2.05276359419127,3.00269888664776,20.5108233216347,27.264415546524
"38",22.2365713371828,1.77570189276995,3.00255375308686,19.3155417235762,25.1576009507894
"39",18.6341437000082,1.97544201776317,3.00269888664772,15.3845415807878,21.8837458192287
"40",22.7064967692051,1.49334871128315,3.00269888664774,20.2499381391443,25.1630553992659
"41",26.3062278565594,1.87539143758882,3.00269888664772,23.2212089417258,29.391246771393
