merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
OR_2018_1,OR,1,1,30101,34,1,2,2018,1,2.4,16.65,22,3.12,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,2,30102,90,1,1,2018,1,1.9,18.01,25,3.92,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,3,30103,201,2,2,2018,1,2.3,17.16,21,3.16,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,4,30104,55,2,1,2018,1,2.1,20.05,27,4.52,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,5,30105,10,3,2,2018,1,2.1,16.99,19,3.44,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,6,30106,192,3,1,2018,1,2.2,19.21,29,4.26,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,7,30107,145,4,2,2018,1,2.1,16.91,19,3.73,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,8,30108,48,4,1,2018,1,2,18.32,25,4.03,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,9,30109,74,5,2,2018,1,2,15.89,21,3.62,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,10,30110,159,5,1,2018,1,2.2,18.4,28,3.65,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,11,30111,176,6,2,2018,1,2.5,17.75,24,3.37,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,12,30112,95,6,1,2018,1,2.5,19.34,24,3.6,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,13,30113,190,7,2,2018,1,2.2,19.25,24,3.61,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,14,30114,81,7,1,2018,1,2.7,27.06,23,4.77,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,15,30115,167,8,2,2018,1,2.6,18.38,26,4.52,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
OR_2018_1,OR,1,16,30116,123,8,1,2018,1,2.4,21.83,23,3.63,NA,3.16,3.24,21,27,17.16,19.01,2.3,2
