merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA_2019_2,WA,1,15,10115,202,4,2,2019,2,2.3,NA,14,2.11,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA_2019_2,WA,1,16,10116,32,4,1,2019,2,2.3,NA,17.8,3.46,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA_2019_2,WA,1,17,10117,37,5,4,2019,2,1.2,NA,10.3,1.9,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA_2019_2,WA,1,18,10118,13,5,3,2019,2,1.9,NA,12,2.46,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA_2019_2,WA,1,19,10119,116,5,2,2019,2,1.6,NA,14.7,2.39,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA_2019_2,WA,1,20,10120,164,5,1,2019,2,2.3,NA,14.8,4.15,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA_2019_2,WA,2,1,10201,35,6,4,2019,2,2.8,NA,16.7,3.23,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,2,10202,146,6,3,2019,2,2.6,NA,19.5,4.34,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,3,10203,43,6,2,2019,2,1.9,NA,11.3,2,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,4,10204,24,6,1,2019,2,2.2,NA,12.8,2.84,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,5,10205,202,7,4,2019,2,2.3,18.21,15.5,2.61,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,6,10206,104,7,3,2019,2,2.5,17.45,16.2,3.84,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,7,10207,76,7,2,2019,2,1.9,NA,14.3,2.46,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,8,10208,107,7,1,2019,2,2.6,NA,20.3,4.93,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,9,10209,158,8,4,2019,2,2.8,NA,18.5,4.59,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,10,10210,195,8,3,2019,2,2.2,NA,15.5,3.62,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,11,10211,78,8,2,2019,2,1.2,NA,13.2,2.18,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,12,10212,3,8,1,2019,2,2,NA,21.8,4.72,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,13,10213,82,9,4,2019,2,1.9,NA,15.7,1.97,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,14,10214,201,9,3,2019,2,2.7,19.21,13,2.31,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,15,10215,34,9,2,2019,2,2.3,NA,19.5,3.92,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,16,10216,156,9,1,2019,2,2.2,NA,19.5,4.61,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,17,10217,6,10,4,2019,2,2,NA,20.8,3.62,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,18,10218,52,10,3,2019,2,0.9,NA,9,1.38,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,19,10219,90,10,2,2019,2,1.3,NA,9.8,1.7,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,2,20,10220,140,10,1,2019,2,1.9,NA,14.5,2.98,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA_2019_2,WA,3,1,10301,91,11,4,2019,2,2.1,NA,18,3.81,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,2,10302,201,11,3,2019,2,1.7,18.64,16.2,3.3,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,3,10303,40,11,2,2019,2,1.6,NA,12.7,2.45,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,4,10304,177,11,1,2019,2,2.5,NA,16.7,3.92,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,5,10305,119,12,4,2019,2,1.9,NA,15.3,2.25,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,6,10306,189,12,3,2019,2,2.6,NA,19,3.99,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,7,10307,145,12,2,2019,2,1.8,NA,15,2.8,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,8,10308,186,12,1,2019,2,2.5,NA,16.5,2.85,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,9,10309,114,13,4,2019,2,2.4,NA,15.7,2.45,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,10,10310,50,13,3,2019,2,2.3,NA,14.5,3.03,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,11,10311,111,13,2,2019,2,1.6,NA,15,2.8,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,12,10312,202,13,1,2019,2,1.5,19.06,14.5,3.03,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,13,10313,66,14,4,2019,2,2.7,NA,19.5,2.68,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,14,10314,12,14,3,2019,2,1.2,NA,9.5,1.47,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,15,10315,197,14,2,2019,2,2.4,NA,20.3,3.23,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
