merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA_2018_3,WA,3,4,10304,177,11,1,2018,3,NA,NA,26,4.16,24,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,5,10305,119,12,4,2018,3,NA,NA,19,2.01,9,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,6,10306,189,12,3,2018,3,NA,NA,22,3.88,20,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,7,10307,145,12,2,2018,3,NA,NA,18,3.28,12,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,8,10308,186,12,1,2018,3,NA,NA,23,3.53,17,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,9,10309,114,13,4,2018,3,NA,NA,19,1.61,9,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,10,10310,50,13,3,2018,3,NA,NA,19,3.09,4,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,11,10311,111,13,2,2018,3,NA,NA,21,3.01,16,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,12,10312,202,13,1,2018,3,2.3,20.07,21,3.36,10,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,13,10313,66,14,4,2018,3,NA,NA,24,1.43,8,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,14,10314,12,14,3,2018,3,NA,NA,9,0.88,4,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,15,10315,197,14,2,2018,3,NA,NA,25,3.31,17,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,16,10316,185,14,1,2018,3,NA,NA,20,3.53,15,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,17,10317,26,15,4,2018,3,NA,NA,16,1.12,6,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,18,10318,182,15,3,2018,3,NA,NA,21,2.78,8,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,19,10319,33,15,2,2018,3,NA,NA,17,2.91,5,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,3,20,10320,36,15,1,2018,3,NA,NA,16,3.66,8,3.58,3.36,24,21,23.68,20.07,2.1,2.3
WA_2018_3,WA,4,1,10401,149,16,4,2018,3,NA,NA,12,1.31,9,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,2,10402,115,16,3,2018,3,NA,NA,20,2.65,9,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,3,10403,136,16,2,2018,3,NA,NA,14,2.35,8,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,4,10404,22,16,1,2018,3,NA,NA,19,3.27,10,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,5,10405,53,17,4,2018,3,NA,NA,21.5,0.71,6,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,6,10406,165,17,3,2018,3,NA,NA,23,2.92,10,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,7,10407,202,17,2,2018,3,3,21.07,12.5,3,20,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,8,10408,56,17,1,2018,3,NA,NA,23,NA,NA,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,9,10409,73,18,4,2018,3,NA,NA,21,1.27,6,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,10,10410,131,18,3,2018,3,NA,NA,25,2.02,6,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,11,10411,89,18,2,2018,3,NA,NA,19,2.59,18,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,12,10412,94,18,1,2018,3,NA,NA,22,3.21,10,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,13,10413,201,19,4,2018,3,2.4,28.64,13,0.81,7,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,14,10414,190,19,3,2018,3,NA,NA,24,2.72,7,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,15,10415,68,19,2,2018,3,NA,NA,17,2.68,7,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,16,10416,196,19,1,2018,3,NA,NA,24,3.54,12,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,17,10417,100,20,4,2018,3,NA,NA,15,0.42,13,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,18,10418,120,20,3,2018,3,NA,NA,20,1.55,7,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,19,10419,61,20,2,2018,3,4.2,22.37,27,2.95,29,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,4,20,10420,179,20,1,2018,3,NA,NA,22,2.91,9,0.81,3,13,12.5,28.64,21.07,2.4,3
WA_2018_3,WA,5,1,10501,124,21,4,2018,3,NA,NA,14,0.96,8,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,2,10502,174,21,3,2018,3,NA,NA,20,2.34,10,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,3,10503,128,21,2,2018,3,NA,NA,14,2.15,4,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,4,10504,103,21,1,2018,3,NA,NA,24,3.23,13,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
