merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,Height,DM,Yield
WA_2020_5,WA,1,1,10101,123,1,4,2020,5,2.5,17.4,NA,2.7158022144
WA_2020_5,WA,1,2,10102,29,1,3,2020,5,0.4,10.3,NA,1.0698614784
WA_2020_5,WA,1,3,10103,162,1,2,2020,5,2.8,19.3,NA,2.5923566592
WA_2020_5,WA,1,4,10104,201,1,1,2020,5,2.3,17.2,NA,2.5059447706
WA_2020_5,WA,1,5,10105,126,2,4,2020,5,2.6,12.6,NA,1.4196238848
WA_2020_5,WA,1,6,10106,191,2,3,2020,5,2.8,17.8,NA,2.3043170304
WA_2020_5,WA,1,7,10107,159,2,2,2020,5,3.1,19.7,NA,3.5181983232
WA_2020_5,WA,1,8,10108,139,2,1,2020,5,2.2,17.3,NA,2.0985744384
WA_2020_5,WA,1,9,10109,77,3,4,2020,5,2,11.1,NA,1.1110099968
WA_2020_5,WA,1,10,10110,69,3,3,2020,5,2.8,19.5,NA,2.7363764736
WA_2020_5,WA,1,11,10111,121,3,2,2020,5,3,17.1,NA,3.1067131392
WA_2020_5,WA,1,12,10112,84,3,1,2020,5,2.4,17.3,NA,2.0780001792
WA_2020_5,WA,1,13,10113,133,4,4,2020,5,1.5,11.4,NA,1.234455552
WA_2020_5,WA,1,14,10114,125,4,3,2020,5,1.5,11.3,NA,1.337326848
WA_2020_5,WA,1,15,10115,202,4,2,2020,5,2.7,16.7,NA,2.570753687
WA_2020_5,WA,1,16,10116,32,4,1,2020,5,2.8,18.3,NA,2.3248912896
WA_2020_5,WA,1,17,10117,37,5,4,2020,5,1.3,8.8,NA,0.617227776
WA_2020_5,WA,1,18,10118,13,5,3,2020,5,2.4,14.6,NA,1.9957031424
WA_2020_5,WA,1,19,10119,116,5,2,2020,5,2.8,17.1,NA,2.468911104
WA_2020_5,WA,1,20,10120,164,5,1,2020,5,2.8,15.1,NA,2.0780001792
WA_2020_5,WA,2,1,10201,35,6,4,2020,5,3.3,12.5,NA,1.131584256
WA_2020_5,WA,2,2,10202,146,6,3,2020,5,3.1,18.8,NA,3.497624064
WA_2020_5,WA,2,3,10203,43,6,2,2020,5,2.4,17.3,NA,1.4196238848
WA_2020_5,WA,2,4,10204,24,6,1,2020,5,2.6,12.7,NA,1.440198144
WA_2020_5,WA,2,5,10205,202,7,4,2020,5,2.2,14.9,NA,0.6480891648
WA_2020_5,WA,2,6,10206,104,7,3,2020,5,2.4,19.2,NA,3.1540339354
WA_2020_5,WA,2,7,10207,76,7,2,2020,5,2.8,14.9,NA,2.5923566592
WA_2020_5,WA,2,8,10208,107,7,1,2020,5,2.7,17.6,NA,2.5923566592
WA_2020_5,WA,2,9,10209,158,8,4,2020,5,2.1,12.5,NA,1.1727327744
WA_2020_5,WA,2,10,10210,195,8,3,2020,5,2.9090909091,17.9,NA,2.777524992
WA_2020_5,WA,2,11,10211,78,8,2,2020,5,2.2,12.3,NA,1.7693862912
WA_2020_5,WA,2,12,10212,3,8,1,2020,5,1.9,17.8,NA,1.4196238848
WA_2020_5,WA,2,13,10213,82,9,4,2020,5,2.3,13.3,NA,0.4937822208
WA_2020_5,WA,2,14,10214,201,9,3,2020,5,NA,18.8,NA,1.8794585779
WA_2020_5,WA,2,15,10215,34,9,2,2020,5,2.2,16.5,NA,3.3741785088
WA_2020_5,WA,2,16,10216,156,9,1,2020,5,2.1,20,NA,2.5923566592
WA_2020_5,WA,2,17,10217,6,10,4,2020,5,2.4,12.1,NA,0.4937822208
WA_2020_5,WA,2,18,10218,52,10,3,2020,5,2.2,12.4,NA,0.8641188864
WA_2020_5,WA,2,19,10219,90,10,2,2020,5,2.2,11.9,NA,1.9751288832
WA_2020_5,WA,2,20,10220,140,10,1,2020,5,2.2,14.5,NA,2.1191486976
WA_2020_5,WA,3,1,10301,91,11,4,2020,5,3.1,15.8,NA,1.337326848
WA_2020_5,WA,3,2,10302,201,11,3,2020,5,2.5,13.1,NA,1.8146496614
WA_2020_5,WA,3,3,10303,40,11,2,2020,5,2.3,12.3,NA,1.6047922176
WA_2020_5,WA,3,4,10304,177,11,1,2020,5,2.5,16.4,NA,2.8598220288
WA_2020_5,WA,3,5,10305,119,12,4,2020,5,1.9,13.5,NA,0.5760792576
WA_2020_5,WA,3,6,10306,189,12,3,2020,5,2.6,18.3,NA,2.2425942528
WA_2020_5,WA,3,7,10307,145,12,2,2020,5,2.8,16.5,NA,2.2425942528
WA_2020_5,WA,3,8,10308,186,12,1,2020,5,2.5,17.7,NA,2.2837427712
WA_2020_5,WA,3,9,10309,114,13,4,2020,5,2.3,12.7,NA,1.0904357376
WA_2020_5,WA,3,10,10310,50,13,3,2020,5,1.4,9.7,NA,0.7612475904
WA_2020_5,WA,3,11,10311,111,13,2,2020,5,2.5,13,NA,1.2961783296
WA_2020_5,WA,3,12,10312,202,13,1,2020,5,2.5,16.9,NA,2.160297216
WA_2020_5,WA,3,13,10313,66,14,4,2020,5,2.8,17,NA,0.720099072
WA_2020_5,WA,3,14,10314,12,14,3,2020,5,NA,NA,NA,0.5760792576
WA_2020_5,WA,3,15,10315,197,14,2,2020,5,2.4,18,NA,2.1808714752
WA_2020_5,WA,3,16,10316,185,14,1,2020,5,2.9,22,NA,3.7239409152
WA_2020_5,WA,3,17,10317,26,15,4,2020,5,2,12.8,NA,0.7612475904
WA_2020_5,WA,3,18,10318,182,15,3,2020,5,2.2,13,NA,1.234455552
WA_2020_5,WA,3,19,10319,33,15,2,2020,5,NA,NA,NA,0.9464159232
WA_2020_5,WA,3,20,10320,36,15,1,2020,5,2.5,13.5,NA,1.748812032
WA_2020_5,WA,4,1,10401,149,16,4,2020,5,3.1,14.8,NA,0.925841664
WA_2020_5,WA,4,2,10402,115,16,3,2020,5,2.4444444444,13.2,NA,0.617227776
WA_2020_5,WA,4,3,10403,136,16,2,2020,5,NA,NA,NA,0.5555049984
WA_2020_5,WA,4,4,10404,22,16,1,2020,5,2.2,14.3,NA,1.3579011072
WA_2020_5,WA,4,5,10405,53,17,4,2020,5,1.9,10.8,NA,0.4526337024
WA_2020_5,WA,4,6,10406,165,17,3,2020,5,2.3,13.7,NA,1.8311090688
WA_2020_5,WA,4,7,10407,202,17,2,2020,5,2.4,15.8,NA,2.289915049
WA_2020_5,WA,4,8,10408,56,17,1,2020,5,2.4,NA,NA,0.411485184
WA_2020_5,WA,4,9,10409,73,18,4,2020,5,2,14.6,NA,0.6789505536
WA_2020_5,WA,4,10,10410,131,18,3,2020,5,2,14,NA,0.4732079616
WA_2020_5,WA,4,11,10411,89,18,2,2020,5,2.2,13.3,NA,0.822970368
WA_2020_5,WA,4,12,10412,94,18,1,2020,5,2.4,16.4,NA,2.5306338816
WA_2020_5,WA,4,13,10413,201,19,4,2020,5,1.9,12,NA,0.4752653875
WA_2020_5,WA,4,14,10414,190,19,3,2020,5,2.8,16.1,NA,1.6253664768
WA_2020_5,WA,4,15,10415,68,19,2,2020,5,2.2,15.8,NA,1.2550298112
WA_2020_5,WA,4,16,10416,196,19,1,2020,5,2.3,16.1,NA,2.5306338816
WA_2020_5,WA,4,17,10417,100,20,4,2020,5,NA,NA,NA,0.411485184
WA_2020_5,WA,4,18,10418,120,20,3,2020,5,NA,NA,NA,0.3291881472
WA_2020_5,WA,4,19,10419,61,20,2,2020,5,2.9,17.2,NA,1.1017515802
WA_2020_5,WA,4,20,10420,179,20,1,2020,5,2.3,13.5,NA,2.263168512
WA_2020_5,WA,5,1,10501,124,21,4,2020,5,2.2,10.9,NA,0.3497624064
WA_2020_5,WA,5,2,10502,174,21,3,2020,5,1.3,10.4,NA,0.7406733312
WA_2020_5,WA,5,3,10503,128,21,2,2020,5,1.7,11.2,NA,0.9464159232
WA_2020_5,WA,5,4,10504,103,21,1,2020,5,1.7,12.5,NA,0.9464159232
WA_2020_5,WA,5,5,10505,181,22,4,2020,5,2.5,16.6,NA,1.2756040704
WA_2020_5,WA,5,6,10506,108,22,3,2020,5,1.1,10.6,NA,0.2468911104
WA_2020_5,WA,5,7,10507,14,22,2,2020,5,1.1,10.3,NA,0.2674653696
WA_2020_5,WA,5,8,10508,201,22,1,2020,5,1.4,12.4,NA,0.4536624154
WA_2020_5,WA,5,9,10509,127,23,4,2020,5,1.6,10.4,NA,1.131584256
WA_2020_5,WA,5,10,10510,17,23,3,2020,5,NA,NA,NA,0.1645940736
WA_2020_5,WA,5,11,10511,172,23,2,2020,5,2.2,12.3,NA,1.2756040704
WA_2020_5,WA,5,12,10512,23,23,1,2020,5,1.1,11.1,NA,0.617227776
WA_2020_5,WA,5,13,10513,99,24,4,2020,5,2.7,14.1,NA,1.1521585152
WA_2020_5,WA,5,14,10514,202,24,3,2020,5,2.2,12.9,NA,0.8425159142
WA_2020_5,WA,5,15,10515,67,24,2,2020,5,1,9.1,NA,0.4526337024
WA_2020_5,WA,5,16,10516,138,24,1,2020,5,NA,NA,NA,0.4732079616
WA_2020_5,WA,5,17,10517,130,25,4,2020,5,NA,NA,NA,0.5349307392
WA_2020_5,WA,5,18,10518,87,25,3,2020,5,1.7,11.7,NA,0.1440198144
WA_2020_5,WA,5,19,10519,161,25,2,2020,5,1.5,12.7,NA,0.6789505536
WA_2020_5,WA,5,20,10520,106,25,1,2020,5,1.1,10,NA,0.925841664
WA_2020_5,WA,6,1,10601,188,26,4,2020,5,3.1,16.5,NA,1.3167525888
WA_2020_5,WA,6,2,10602,151,26,3,2020,5,1.7,12.9,NA,0.6995248128
WA_2020_5,WA,6,3,10603,19,26,2,2020,5,2,12.5,NA,0.51435648
WA_2020_5,WA,6,4,10604,202,26,1,2020,5,1.3,11.1,NA,1.1017515802
WA_2020_5,WA,6,5,10605,154,27,4,2020,5,1.4,11.5,NA,0.5349307392
WA_2020_5,WA,6,6,10606,5,27,3,2020,5,1.4,11.1,NA,0.5966535168
WA_2020_5,WA,6,7,10607,80,27,2,2020,5,1.5,13.8,NA,0.51435648
WA_2020_5,WA,6,8,10608,176,27,1,2020,5,1.7,10.8,NA,1.0492872192
WA_2020_5,WA,6,9,10609,183,28,4,2020,5,1.6,11.3,NA,0.4937822208
WA_2020_5,WA,6,10,10610,117,28,3,2020,5,1.2,9.9,NA,0.2468911104
WA_2020_5,WA,6,11,10611,118,28,2,2020,5,1.4,9.6,NA,0.5349307392
WA_2020_5,WA,6,12,10612,79,28,1,2020,5,NA,NA,NA,0.3909109248
WA_2020_5,WA,6,13,10613,201,29,4,2020,5,1,10.3,NA,0.1080148608
WA_2020_5,WA,6,14,10614,46,29,3,2020,5,NA,NA,NA,0.1645940736
WA_2020_5,WA,6,15,10615,113,29,2,2020,5,1.9,12.3,NA,0.7818218496
WA_2020_5,WA,6,16,10616,25,29,1,2020,5,2.2,14.6,NA,1.131584256
WA_2020_5,WA,6,17,10617,71,30,4,2020,5,NA,NA,NA,0.2880396288
WA_2020_5,WA,6,18,10618,41,30,3,2020,5,NA,NA,NA,0.1645940736
WA_2020_5,WA,6,19,10619,95,30,2,2020,5,1.4,10.6,NA,0.4732079616
WA_2020_5,WA,6,20,10620,171,30,1,2020,5,1.8,12.4,NA,1.3579011072
WA_2020_5,WA,7,1,10701,38,31,4,2020,5,NA,NA,NA,0.3291881472
WA_2020_5,WA,7,2,10702,202,31,3,2020,5,2.3,14.2,NA,0.5832802483
WA_2020_5,WA,7,3,10703,150,31,2,2020,5,1.7,10.6,NA,0.9669901824
WA_2020_5,WA,7,4,10704,143,31,1,2020,5,1,10.8,NA,1.02871296
WA_2020_5,WA,7,5,10705,72,32,4,2020,5,NA,NA,NA,0.205742592
WA_2020_5,WA,7,6,10706,11,32,3,2020,5,NA,NA,NA,0.102871296
WA_2020_5,WA,7,7,10707,135,32,2,2020,5,1,8.1,NA,0.2468911104
WA_2020_5,WA,7,8,10708,54,32,1,2020,5,1.4,12.2,NA,1.0081387008
WA_2020_5,WA,7,9,10709,27,33,4,2020,5,NA,NA,NA,0.3497624064
WA_2020_5,WA,7,10,10710,45,33,3,2020,5,NA,NA,NA,0.0822970368
WA_2020_5,WA,7,11,10711,64,33,2,2020,5,1.7,9.5,NA,0.2263168512
WA_2020_5,WA,7,12,10712,163,33,1,2020,5,2,12.6,NA,1.0492872192
WA_2020_5,WA,7,13,10713,8,34,4,2020,5,NA,NA,NA,0.0205742592
WA_2020_5,WA,7,14,10714,51,34,3,2020,5,NA,NA,NA,0.3703366656
WA_2020_5,WA,7,15,10715,201,34,2,2020,5,1.4,12.2,NA,0.3672505267
WA_2020_5,WA,7,16,10716,192,34,1,2020,5,1.2,13.4,NA,1.3167525888
WA_2020_5,WA,7,17,10717,18,35,4,2020,5,NA,NA,NA,0.308613888
WA_2020_5,WA,7,18,10718,129,35,3,2020,5,NA,NA,NA,0.0822970368
WA_2020_5,WA,7,19,10719,74,35,2,2020,5,NA,NA,NA,0.0411485184
WA_2020_5,WA,7,20,10720,70,35,1,2020,5,1.6,13.3,NA,1.02871296
WA_2020_5,WA,8,1,10801,170,36,4,2020,5,2.6,14.4,NA,1.54306944
WA_2020_5,WA,8,2,10802,112,36,3,2020,5,1,9.4,NA,0.2160297216
WA_2020_5,WA,8,3,10803,93,36,2,2020,5,1.3,10.2,NA,0.2468911104
WA_2020_5,WA,8,4,10804,98,36,1,2020,5,1.6,12.4,NA,0.7406733312
WA_2020_5,WA,8,5,10805,44,37,4,2020,5,1.2,11.2,NA,0.3456475546
WA_2020_5,WA,8,6,10806,180,37,3,2020,5,1.1,8.9,NA,0.2468911104
WA_2020_5,WA,8,7,10807,137,37,2,2020,5,NA,NA,NA,0.1440198144
WA_2020_5,WA,8,8,10808,193,37,1,2020,5,1.7,13.4,NA,1.5019209216
WA_2020_5,WA,8,9,10809,10,38,4,2020,5,1.1,10.2,NA,0.5966535168
WA_2020_5,WA,8,10,10810,169,38,3,2020,5,1.3,9.4,NA,0.6378020352
WA_2020_5,WA,8,11,10811,141,38,2,2020,5,1.4,12.4,NA,0.617227776
WA_2020_5,WA,8,12,10812,58,38,1,2020,5,NA,NA,NA,0.308613888
WA_2020_5,WA,8,13,10813,75,39,4,2020,5,NA,NA,NA,0.2263168512
WA_2020_5,WA,8,14,10814,28,39,3,2020,5,NA,NA,NA,0.1234455552
WA_2020_5,WA,8,15,10815,47,39,2,2020,5,1,9,NA,0.3497624064
WA_2020_5,WA,8,16,10816,201,39,1,2020,5,1.1,9.6,NA,0.3240445824
WA_2020_5,WA,8,17,10817,202,40,4,2020,5,1.7,13.3,NA,1.4473991347
WA_2020_5,WA,8,18,10818,48,40,3,2020,5,NA,NA,NA,0.0205742592
WA_2020_5,WA,8,19,10819,42,40,2,2020,5,NA,NA,NA,0.2263168512
WA_2020_5,WA,8,20,10820,194,40,1,2020,5,1.2,11.4,NA,0.7406733312
WA_2020_5,WA,9,1,10901,97,41,4,2020,5,1.5,10.4,NA,0.4320594432
WA_2020_5,WA,9,2,10902,31,41,3,2020,5,1.2,8.6,NA,0.205742592
WA_2020_5,WA,9,3,10903,63,41,2,2020,5,1,8.1,NA,0.308613888
WA_2020_5,WA,9,4,10904,110,41,1,2020,5,1.4,14.3,NA,1.0081387008
WA_2020_5,WA,9,5,10905,184,42,4,2020,5,2.1,14.5,NA,1.3579011072
WA_2020_5,WA,9,6,10906,16,42,3,2020,5,1.1,6.2,NA,0.1851683328
WA_2020_5,WA,9,7,10907,201,42,2,2020,5,1.3,10.1,NA,0.2808386381
WA_2020_5,WA,9,8,10908,55,42,1,2020,5,1.8,14,NA,0.4320594432
WA_2020_5,WA,9,9,10909,4,43,4,2020,5,1.6,6.2,NA,0.3703366656
WA_2020_5,WA,9,10,10910,202,43,3,2020,5,1.6,13.7,NA,0.7128980813
WA_2020_5,WA,9,11,10911,102,43,2,2020,5,1.7,11.8,NA,0.6378020352
WA_2020_5,WA,9,12,10912,7,43,1,2020,5,1.5,9.7,NA,0.0205742592
WA_2020_5,WA,9,13,10913,132,44,4,2020,5,1.3,10.2,NA,0.5966535168
WA_2020_5,WA,9,14,10914,122,44,3,2020,5,1.4,10.3,NA,0.0822970368
WA_2020_5,WA,9,15,10915,173,44,2,2020,5,2,11.2,NA,0.925841664
WA_2020_5,WA,9,16,10916,155,44,1,2020,5,2.1,13.2,NA,0.925841664
WA_2020_5,WA,9,17,10917,86,45,4,2020,5,1.2,10,NA,0.8023961088
WA_2020_5,WA,9,18,10918,20,45,3,2020,5,1.7,9.8,NA,0.2468911104
WA_2020_5,WA,9,19,10919,175,45,2,2020,5,1.8,10.6,NA,0.9669901824
WA_2020_5,WA,9,20,10920,187,45,1,2020,5,2.3,15.3,NA,1.5842179584
WA_2020_5,WA,10,1,11001,49,46,4,2020,5,1,9.6,NA,0.5760792576
WA_2020_5,WA,10,2,11002,92,46,3,2020,5,1.7,12.8,NA,0.5760792576
WA_2020_5,WA,10,3,11003,198,46,2,2020,5,2.1,12.2,NA,1.234455552
WA_2020_5,WA,10,4,11004,96,46,1,2020,5,1.5,8,NA,0.6789505536
WA_2020_5,WA,10,5,11005,57,47,4,2020,5,1.2,8.4,NA,0.5966535168
WA_2020_5,WA,10,6,11006,1,47,3,2020,5,1.8,14,NA,0.5555049984
WA_2020_5,WA,10,7,11007,166,47,2,2020,5,1.8,14.2,NA,0.9669901824
WA_2020_5,WA,10,8,11008,101,47,1,2020,5,1.7,9.9,NA,1.0904357376
WA_2020_5,WA,10,9,11009,178,48,4,2020,5,2.4,15.3,NA,2.1397229568
WA_2020_5,WA,10,10,11010,21,48,3,2020,5,1.3,11.9,NA,0.2468911104
WA_2020_5,WA,10,11,11011,88,48,2,2020,5,1.1,7.1,NA,0.4937822208
WA_2020_5,WA,10,12,11012,142,48,1,2020,5,NA,NA,NA,0.4937822208
WA_2020_5,WA,10,13,11013,85,49,4,2020,5,1.5,7.7,NA,0.7818218496
WA_2020_5,WA,10,14,11014,15,49,3,2020,5,1.8,9.3,NA,0.411485184
WA_2020_5,WA,10,15,11015,148,49,2,2020,5,1.8,14.4,NA,1.5842179584
WA_2020_5,WA,10,16,11016,202,49,1,2020,5,1.9,12,NA,0.8425159142
WA_2020_5,WA,10,17,11017,59,50,4,2020,5,1.5,12.7,NA,1.02871296
WA_2020_5,WA,10,18,11018,105,50,3,2020,5,2.1,12.3,NA,0.8023961088
WA_2020_5,WA,10,19,11019,201,50,2,2020,5,1.4,10.9,NA,0.6480891648
WA_2020_5,WA,10,20,11020,153,50,1,2020,5,2,11.7,NA,0.7612475904
WA_2020_5,WA,11,1,11101,167,51,4,2020,5,2.6,14.8,NA,2.263168512
WA_2020_5,WA,11,2,11102,202,51,3,2020,5,2.7,12.6,NA,1.1233545523
WA_2020_5,WA,11,3,11103,134,51,2,2020,5,2,14.1,NA,1.1727327744
WA_2020_5,WA,11,4,11104,152,51,1,2020,5,1.5,6.6,NA,0.1440198144
WA_2020_5,WA,11,5,11105,2,52,4,2020,5,2.1,16.9,NA,1.8311090688
WA_2020_5,WA,11,6,11106,109,52,3,2020,5,1.6,9.9,NA,0.4937822208
WA_2020_5,WA,11,7,11107,83,52,2,2020,5,1.1,6.5,NA,0.308613888
WA_2020_5,WA,11,8,11108,39,52,1,2020,5,NA,NA,NA,0.0411485184
WA_2020_5,WA,11,9,11109,9,53,4,2020,5,1,7.6,NA,0.51435648
WA_2020_5,WA,11,10,11110,147,53,3,2020,5,2.1,13.3,NA,0.9052674048
WA_2020_5,WA,11,11,11111,168,53,2,2020,5,1.9,13.2,NA,0.9052674048
WA_2020_5,WA,11,12,11112,160,53,1,2020,5,2.4,15.4,NA,2.2014457344
WA_2020_5,WA,11,13,11113,60,54,4,2020,5,2.2222222222,16.1,NA,1.7899605504
WA_2020_5,WA,11,14,11114,157,54,3,2020,5,2.3,14.2,NA,1.1933070336
WA_2020_5,WA,11,15,11115,62,54,2,2020,5,1.8,11.8,NA,0.6789505536
WA_2020_5,WA,11,16,11116,81,54,1,2020,5,NA,NA,NA,1.8311090688
WA_2020_5,WA,11,17,11117,201,55,4,2020,5,2,11.3,NA,1.0153396915
WA_2020_5,WA,11,18,11118,65,55,3,2020,5,1.8,12.4,NA,0.8023961088
WA_2020_5,WA,11,19,11119,30,55,2,2020,5,1.4,8.5,NA,0.2674653696
WA_2020_5,WA,11,20,11120,144,55,1,2020,5,2.2,12.8,NA,1.8146496614
