merged,Location,block,Position,ID,id,row,col,Year,Cut,MSC,DM_Pct,Height_inch,Yield_MgHa,FallDormancy_cm,MSC_201,DM_201,Height_201,Yield_201,FD_201,MSC_202,DM_202,Height_202,Yield_202,FD_202
WA_2018_2,WA,1,1,10101,123,1,4,2018,2,NA,NA,NA,5.06,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,2,10102,29,1,3,2018,2,NA,NA,NA,3.98,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,3,10103,162,1,2,2018,2,NA,NA,NA,4.84,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,4,10104,201,1,1,2018,2,3.3,19.51,23,4.4,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,5,10105,126,2,4,2018,2,NA,NA,NA,4.38,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,6,10106,191,2,3,2018,2,NA,NA,NA,4.77,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,7,10107,159,2,2,2018,2,NA,NA,NA,4.98,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,8,10108,139,2,1,2018,2,NA,NA,NA,5.37,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,9,10109,77,3,4,2018,2,NA,NA,NA,3.82,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,10,10110,69,3,3,2018,2,NA,NA,NA,5.08,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,11,10111,121,3,2,2018,2,NA,NA,NA,4.3,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,12,10112,84,3,1,2018,2,NA,NA,NA,4.25,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
WA_2018_2,WA,1,13,10113,133,4,4,2018,2,NA,NA,NA,3.34,NA,3.3,19.51,23,4.4,NA,3.2,20.57,21,4.4,NA
