merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
OR_2019_4,OR,1,1,30101,34,1,2,2019,4,NA,NA,26,3.65,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,2,30102,90,1,1,2019,4,NA,NA,13,2.15,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,3,30103,201,2,2,2019,4,2.2,19.99,19,3.11,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,4,30104,55,2,1,2019,4,NA,NA,28,2.11,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,5,30105,10,3,2,2019,4,NA,NA,18,2.52,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,6,30106,192,3,1,2019,4,NA,NA,24,3.08,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,7,30107,145,4,2,2019,4,NA,NA,20,3.32,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,8,30108,48,4,1,2019,4,NA,NA,20,2.26,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,9,30109,74,5,2,2019,4,NA,NA,8,2.23,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,10,30110,159,5,1,2019,4,NA,NA,21,3.38,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,11,30111,176,6,2,2019,4,NA,NA,20,3.43,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,12,30112,95,6,1,2019,4,NA,NA,18,2.6,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,13,30113,190,7,2,2019,4,NA,NA,26,3.56,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,14,30114,81,7,1,2019,4,NA,NA,18,2.71,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,15,30115,167,8,2,2019,4,NA,NA,24,3.54,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,16,30116,123,8,1,2019,4,NA,NA,18,3.06,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,17,30117,46,9,2,2019,4,NA,NA,11,2.06,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,18,30118,160,9,1,2019,4,NA,NA,28,3.93,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,19,30119,18,10,2,2019,4,NA,NA,24,2.8,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,1,20,30120,202,10,1,2019,4,3,20.84,25,3.07,NA,3.11,3.07,19,25,19.99,20.84,2.2,3
OR_2019_4,OR,2,1,30201,178,11,2,2019,4,NA,NA,24,3.39,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,2,30202,121,11,1,2019,4,NA,NA,22,3.04,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,3,30203,173,12,2,2019,4,NA,NA,24,3.51,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,4,30204,65,12,1,2019,4,NA,NA,25,3.43,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,5,30205,181,13,2,2019,4,NA,NA,25,3.26,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,6,30206,25,13,1,2019,4,NA,NA,26,2.56,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,7,30207,153,14,2,2019,4,NA,NA,21,3.38,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,8,30208,40,14,1,2019,4,NA,NA,15,3.06,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,9,30209,78,15,2,2019,4,NA,NA,16,3.73,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,10,30210,201,15,1,2019,4,2.7,20.05,23,2.91,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,11,30211,179,16,2,2019,4,NA,NA,21,3.73,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,12,30212,21,16,1,2019,4,NA,NA,20,2.54,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,13,30213,59,17,2,2019,4,NA,NA,18,2.69,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,14,30214,92,17,1,2019,4,NA,NA,30,2.93,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,15,30215,27,18,2,2019,4,NA,NA,16,2.58,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,16,30216,193,18,1,2019,4,NA,NA,27,4.01,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,17,30217,202,19,2,2019,4,2.1,19.38,25,3.9,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,18,30218,94,19,1,2019,4,NA,NA,20,4.36,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,19,30219,99,20,2,2019,4,NA,NA,12,2.28,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,2,20,30220,51,20,1,2019,4,NA,NA,17,2.32,NA,2.91,3.9,23,25,20.05,19.38,2.7,2.1
OR_2019_4,OR,3,1,30301,139,21,2,2019,4,NA,NA,19,2.86,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
OR_2019_4,OR,3,2,30302,113,21,1,2019,4,NA,NA,20,3.17,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
OR_2019_4,OR,3,3,30303,183,22,2,2019,4,NA,NA,24,2.91,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
OR_2019_4,OR,3,4,30304,37,22,1,2019,4,NA,NA,16,2.26,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
OR_2019_4,OR,3,5,30305,189,23,2,2019,4,NA,NA,25,2.45,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
OR_2019_4,OR,3,6,30306,84,23,1,2019,4,NA,NA,21,2.63,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
OR_2019_4,OR,3,7,30307,133,24,2,2019,4,NA,NA,18,2.88,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
OR_2019_4,OR,3,8,30308,187,24,1,2019,4,NA,NA,27,3.36,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
OR_2019_4,OR,3,9,30309,202,25,2,2019,4,2.2,19.07,23,3.7,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
OR_2019_4,OR,3,10,30310,110,25,1,2019,4,NA,NA,29,2.71,NA,2.75,3.7,20,23,19.62,19.07,2,2.2
