"","BLUE_ID_2018_1","BLUE_ID_2019_1","BLUE_OR_2018_1","BLUE_OR_2019_1","BLUE_OR_2020_1","BLUE_WA_2018_1","BLUE_WA_2019_1","BLUE_WA_2020_1"
"BLUE_ID_2018_1",0.699741225294421,0.173223285511883,0.195529430277824,0.210641140025466,0.25566075751689,0.130653481830067,0.188451419956923,0.17334029575679
"BLUE_ID_2019_1",0.173223285511883,1.06760041183138,0.457302801084323,0.49264595728823,0.597937509323749,0.305571407472595,0.440748802326935,0.405407015597259
"BLUE_OR_2018_1",0.195529430277824,0.457302801084323,1.35580856785615,0.556084495641511,0.674934551635632,0.344920159179238,0.497504489422164,0.457611703623571
"BLUE_OR_2019_1",0.210641140025466,0.49264595728823,0.556084495641511,0.599062105106021,0.727097620021197,0.371577697761646,0.535954677875198,0.492978733704197
"BLUE_OR_2020_1",0.25566075751689,0.597937509323749,0.674934551635632,0.727097620021197,0.970379598381603,0.450993740703451,0.650502456090619,0.598341408916106
"BLUE_WA_2018_1",0.130653481830067,0.305571407472595,0.344920159179238,0.371577697761646,0.450993740703451,2.0822300994002,0.332434322939197,0.305777817281295
"BLUE_WA_2019_1",0.188451419956923,0.440748802326935,0.497504489422164,0.535954677875198,0.650502456090619,0.332434322939197,0.479495221426951,0.441046522839223
"BLUE_WA_2020_1",0.17334029575679,0.405407015597259,0.457611703623571,0.492978733704197,0.598341408916106,0.305777817281295,0.441046522839223,1.69606696311687
