,BLUE_ID_2018_1,BLUE_ID_2018_2,BLUE_ID_2018_3,BLUE_ID_2019_1,BLUE_ID_2019_2,BLUE_ID_2019_3,BLUE_ID_2019_4,BLUE_OR_2018_1,BLUE_OR_2018_2,BLUE_OR_2018_3,BLUE_OR_2019_1,BLUE_OR_2019_2,BLUE_OR_2019_3,BLUE_OR_2019_4,BLUE_OR_2020_1,BLUE_OR_2020_2,BLUE_OR_2020_3,BLUE_OR_2020_4,BLUE_WA_2018_1,BLUE_WA_2018_2,BLUE_WA_2018_3,BLUE_WA_2019_1,BLUE_WA_2019_2,BLUE_WA_2019_3,BLUE_WA_2019_4,BLUE_WA_2019_5,BLUE_WA_2020_1,BLUE_WA_2020_2,BLUE_WA_2020_3,BLUE_WA_2020_4,BLUE_WA_2020_5
BLUE_OR_2019_3,0.001117303,0.043885738,0.057057485,0.052963409,0.093992961,0.041921375,0.132568726,0.018750006,0.030575368,0.112116445,0.015511206,0.112409061,0.064317,0.100337724,0.073833503,0.631667077,0.071260102,0.123455416,0.046519709,0.117348809,0.122079964,0.153407292,0.155975454,0.153900438,0.114208523,0.114288707,0.259277069,0.278928003,0.186698258,0.12299186,0.104824927
BLUE_OR_2019_4,0.001990991,0.078202682,0.101674224,0.094378741,0.16749181,0.074702265,0.236232327,0.033411783,0.054484119,0.199787156,0.027640368,0.200308586,0.100337724,0.19177708,0.131568439,1.125606228,0.126982737,0.219992762,0.082896316,0.209111025,0.217541759,0.273365844,0.277942209,0.27424461,0.203515158,0.203658042,0.462021679,0.497038882,0.332689053,0.219166724,0.186793955
BLUE_OR_2020_1,0.00146507,0.057545435,0.074816967,0.069448586,0.12324883,0.054969653,0.173831532,0.024586057,0.040092133,0.147013357,0.020339162,0.147397051,0.073833503,0.131568439,0.207140263,0.828277221,0.093440233,0.16188165,0.060999245,0.153874325,0.16007808,0.201156226,0.204523744,0.201802867,0.149756607,0.149861748,0.339978603,0.365746007,0.244809204,0.16127381,0.137452311
BLUE_OR_2020_2,0.012534102,0.492317919,0.640080892,0.594152838,1.054429558,0.470281359,1.48717927,0.210340863,0.342999848,1.257741993,0.17400744,1.261024605,0.631667077,1.125606228,0.828277221,17.74450509,0.799408347,1.384944557,0.521866271,1.316439567,1.369514493,1.720949971,1.749760066,1.726482166,1.281211291,1.282110805,2.90861574,3.129063375,2.094413877,1.37974431,1.175944465
BLUE_OR_2020_3,0.001414007,0.05553974,0.072209287,0.067028017,0.118953101,0.053053735,0.167772787,0.023729132,0.038694757,0.141889336,0.019630258,0.142259657,0.071260102,0.126982737,0.093440233,0.799408347,0.274065886,0.156239408,0.05887317,0.148511171,0.1544987,0.194145103,0.197395249,0.194769205,0.144536972,0.144638449,0.328128948,0.352998252,0.236276594,0.155652753,0.132661532
BLUE_OR_2020_4,0.002449713,0.096220486,0.125099844,0.11612349,0.206081723,0.091913577,0.290659972,0.041109818,0.067037195,0.245817878,0.034008676,0.246459444,0.123455416,0.219992762,0.16188165,1.384944557,0.156239408,0.366467218,0.101995529,0.257289955,0.267663121,0.336349007,0.341979762,0.33743024,0.250404807,0.250580612,0.568470922,0.611556046,0.409340213,0.269662475,0.229831058
BLUE_WA_2018_1,0.000923086,0.036257211,0.047139352,0.043756938,0.077654445,0.034634308,0.109524699,0.015490748,0.025260543,0.092627578,0.01281494,0.092869329,0.046519709,0.082896316,0.060999245,0.521866271,0.05887317,0.101995529,0.442031785,0.096950415,0.100859167,0.12674096,0.128862706,0.127148383,0.094355996,0.094422241,0.214207709,0.23044278,0.154245056,0.101612552,0.086603523
BLUE_WA_2018_2,0.00232854,0.09146103,0.118911897,0.11037955,0.195888083,0.087367158,0.276282748,0.039076359,0.063721263,0.233658726,0.032326468,0.234268558,0.117348809,0.209111025,0.153874325,1.316439567,0.148511171,0.257289955,0.096950415,0.608330085,0.254423414,0.319711817,0.325064052,0.320739568,0.238018767,0.238185876,0.540352038,0.581305997,0.389092582,0.256323873,0.21846268
BLUE_WA_2018_3,0.00242242,0.095148466,0.123706071,0.114829725,0.203785707,0.090889542,0.287421646,0.040651802,0.066290314,0.243079151,0.033629775,0.243713569,0.122079964,0.217541759,0.16007808,1.369514493,0.1544987,0.267663121,0.100859167,0.254423414,0.405243064,0.332601646,0.338169667,0.333670833,0.247614975,0.247788821,0.562137424,0.604742525,0.404779637,0.266658088,0.227270445
BLUE_WA_2019_1,0.003044044,0.119564818,0.15545068,0.144296547,0.256079807,0.114212997,0.361177831,0.05108359,0.083301283,0.305456466,0.042259619,0.306253685,0.153407292,0.273365844,0.201156226,1.720949971,0.194145103,0.336349007,0.12674096,0.319711817,0.332601646,1.287536138,0.424948463,0.419295169,0.311156243,0.3113747,0.7063893,0.759927431,0.508651429,0.33508607,0.285591038
BLUE_WA_2019_2,0.003095004,0.121566429,0.15805305,0.146712188,0.26036679,0.116125015,0.36722424,0.051938771,0.084695814,0.310570055,0.042967079,0.311380619,0.155975454,0.277942209,0.204523744,1.749760066,0.197395249,0.341979762,0.128862706,0.325064052,0.338169667,0.424948463,0.441101267,0.426314509,0.316365251,0.316587365,0.718214828,0.772649231,0.517166665,0.340695682,0.290372063
BLUE_WA_2019_3,0.00305383,0.119949173,0.155950394,0.144760405,0.256903006,0.114580148,0.362338879,0.051247804,0.083569065,0.306438392,0.042395468,0.307238173,0.153900438,0.27424461,0.201802867,1.726482166,0.194769205,0.33743024,0.127148383,0.320739568,0.333670833,0.419295169,0.426314509,0.513248758,0.312156491,0.312375651,0.708660071,0.762370307,0.510286548,0.336163243,0.286509103
BLUE_WA_2019_4,0.002266228,0.089013508,0.115729783,0.107425764,0.190646065,0.085029189,0.268889348,0.038030665,0.062016064,0.227405956,0.031461403,0.227999469,0.114208523,0.203515158,0.149756607,1.281211291,0.144536972,0.250404807,0.094355996,0.238018767,0.247614975,0.311156243,0.316365251,0.312156491,0.349456162,0.231811958,0.525892073,0.565750092,0.37868036,0.249464577,0.21261656
BLUE_WA_2019_5,0.002267819,0.089076003,0.115811034,0.107501185,0.190779914,0.085088887,0.26907813,0.038057366,0.062059605,0.227565614,0.031483492,0.228159543,0.114288707,0.203658042,0.149861748,1.282110805,0.144638449,0.250580612,0.094422241,0.238185876,0.247788821,0.3113747,0.316587365,0.312375651,0.231811958,0.325655698,0.526261292,0.566147295,0.378946224,0.249639721,0.212765834
BLUE_WA_2020_1,0.005144807,0.202079152,0.262730644,0.243878796,0.432806165,0.193033921,0.610434668,0.08633751,0.140789347,0.516258753,0.07142392,0.51760615,0.259277069,0.462021679,0.339978603,2.90861574,0.328128948,0.568470922,0.214207709,0.540352038,0.562137424,0.7063893,0.718214828,0.708660071,0.525892073,0.526261292,1.931535352,1.284370217,0.859683069,0.566336404,0.482683751
BLUE_WA_2020_2,0.005534739,0.217394984,0.282643329,0.262362676,0.465609087,0.207664203,0.656700277,0.092881138,0.151459948,0.555386652,0.076837229,0.556836169,0.278928003,0.497038882,0.365746007,3.129063375,0.352998252,0.611556046,0.23044278,0.581305997,0.604742525,0.759927431,0.772649231,0.762370307,0.565750092,0.566147295,1.284370217,1.5764752,0.924839527,0.60925975,0.519266958
BLUE_WA_2020_3,0.003704634,0.145511617,0.189185082,0.175610387,0.311651768,0.138998396,0.439557148,0.062169257,0.101378521,0.371743672,0.051430393,0.372713895,0.186698258,0.332689053,0.244809204,2.094413877,0.236276594,0.409340213,0.154245056,0.389092582,0.404779637,0.508651429,0.517166665,0.510286548,0.37868036,0.378946224,0.859683069,0.924839527,0.748843956,0.407803206,0.347567241
BLUE_WA_2020_4,0.002440514,0.095859194,0.124630114,0.115687465,0.205307919,0.091568456,0.28956859,0.040955457,0.066785481,0.244894871,0.033880979,0.245534028,0.12299186,0.219166724,0.16127381,1.37974431,0.155652753,0.269662475,0.101612552,0.256323873,0.266658088,0.33508607,0.340695682,0.336163243,0.249464577,0.249639721,0.566336404,0.60925975,0.407803206,0.417962942,0.228968079
BLUE_WA_2020_5,0.00208003,0.081699984,0.106221197,0.098599453,0.174982211,0.078043025,0.246796873,0.034905992,0.056920703,0.208721838,0.028876473,0.209266586,0.104824927,0.186793955,0.137452311,1.175944465,0.132661532,0.229831058,0.086603523,0.21846268,0.227270445,0.285591038,0.290372063,0.286509103,0.21261656,0.212765834,0.482683751,0.519266958,0.347567241,0.228968079,0.195147567
