"gen","predicted.value","std.error","weight","lower_95","upper_95"
"1",20.1361650467671,1.39468614451206,2.07230271099155,17.8419063390447,22.4304237544894
"2",21.1947940464755,1.41555925884093,2.07230271099153,18.8661990656822,23.5233890272688
"3",21.9344357063598,1.52613260275349,2.07230271099155,19.4239475748303,24.4449238378893
"4",14.0956094317753,1.41277358367166,2.07230271099155,11.7715968866354,16.4196219769152
"5",21.8366472020599,1.32733654690624,2.07230271099156,19.6531785823991,24.0201158217207
"6",20.2690510959296,1.39894736558649,2.07229512450434,17.9677826795398,22.5703195123193
"7",18.7418042371621,1.44480882228738,2.07230271099155,16.3650937244994,21.1185147498249
"8",9.16495796358127,1.50134906857778,2.07230271099156,6.69523874577082,11.6346771813917
"9",14.8128495490656,1.27274511180434,2.07230271099153,12.7191838401475,16.9065152579838
"10",16.64630721894,1.25742063908028,2.07230271099156,14.5778502676529,18.714764170227
"11",13.484851916783,1.04116432307882,2.07230271099155,11.7721366053183,15.1975672282476
"12",9.53352424748494,1.40788320836792,2.07230271099156,7.21755636971972,11.8494921252502
"13",14.7009352678448,1.52092363276558,2.07229512445627,12.1990158919454,17.2028546437442
"14",15.8461224728986,1.57660795884001,2.07230271099155,13.2526023806068,18.4396425651904
"15",16.9199177386693,1.25546484773835,2.07230271099156,14.8546780641397,18.9851574131989
"16",14.2032305466132,1.04116432605223,2.07230271099155,12.4905152302573,15.9159458629692
"17",12.6153818218005,1.03223360395914,2.07230271099156,10.9173575432878,14.3134061003133
"18",15.021553686762,1.50093829952637,2.07229512450434,12.5525101840411,17.4905971894828
"19",19.2306304400728,1.65564241413372,2.07229512450434,16.5070986688228,21.9541622113228
"20",15.1057150135285,1.2554628656706,2.07229512450433,13.0404785995004,17.1709514275567
"21",15.3722097103641,1.36203774560874,2.07230271099156,13.1316576188377,17.6127618018905
"22",14.1664006988486,1.35924968448668,2.07229512450434,11.930434967868,16.4023664298292
"23",16.8901234014058,0.967233973924932,2.07230271099156,15.2990235142993,18.4812232885123
"24",13.8818327454017,1.52682550794192,2.07229512445857,11.3702047848372,16.3934607059662
"25",17.6089121848894,1.40521402181692,2.07230271099155,15.2973351190005,19.9204892507782
"26",18.3012053099197,1.48300336150951,2.07229512450434,15.8616647802366,20.7407458396029
"27",13.127256302872,1.46724964602072,2.07230271099156,10.713630635168,15.5408819705761
"28",13.5840423349254,1.4985669594495,2.07230271099156,11.1188996866309,16.0491849832198
"29",13.1735729712092,1.69560821984187,1.19750295783313,10.3842974495693,15.9628484928491
"30",17.620500028143,1.58899860565451,1.19750295783314,15.0065973218413,20.2344027344446
"31",15.8808853658037,1.27552830440523,2.07229512450434,13.7826413050571,17.9791294265503
"32",17.4876643265307,1.40152142866211,2.07230271099152,15.1821615763816,19.7931670766799
"33",15.6672928858417,1.2765464024483,2.07229512450435,13.5673740538142,17.7672117178691
"34",23.2351761124613,1.5591453138878,2.07230271099156,20.6703820711159,25.7999701538067
"35",20.9567595566702,1.03347733689677,2.07229512445856,19.256689337475,22.6568297758654
"36",17.9298081282134,1.2422500428599,2.07229512450434,15.8863068077088,19.9733094487179
"37",13.9374002930144,1.27095495006672,2.07229512445628,11.8466794001547,16.0281211858742
"38",14.2953131788199,1.26156536124262,2.07229512450434,12.2200381595758,16.370588198064
"39",13.6161680626341,1.41954211689004,2.07230271099153,11.28102128035,15.9513148449182
"40",14.9437577621545,1.58329136597584,2.07229512450433,12.3392434651242,17.5482720591847
"41",16.8005783946562,1.03660663358402,2.07229512450434,15.0953604824105,18.5057963069019
"42",14.2136860107945,1.26189918213778,2.07229512450434,12.1378618561779,16.2895101654112
"43",16.8704144982183,1.27654642351394,2.07229512445857,14.7704956315378,18.9703333648987
"44",16.0074640258584,1.39006292103461,2.07230271099155,13.7208105207564,18.2941175309603
"45",14.826384544917,1.27552830020833,2.07230271099156,12.7281404910743,16.9246285987597
"46",13.353290977843,1.24099969363246,2.07230271099156,11.3118464818176,15.3947354738684
"47",16.4737325713801,1.36755697025683,2.07230271099156,14.2241013553077,18.7233637874526
"48",13.5753590645318,1.41484366226531,2.07229512450434,11.2479412401054,15.9027768889582
"49",16.6611685247511,1.60128538806109,2.07229512450434,14.0270540613906,19.2952829881116
"50",14.8056220864371,1.26908334923377,2.07230271099156,12.7179799769476,16.8932641959267
"51",14.071038781572,1.41484213674695,2.07230271099155,11.7436234666232,16.3984540965207
"52",10.6270283209452,0.902531698305295,2.07229512450434,9.14236367723302,12.1116929646574
"53",19.8021245894263,1.26598931627751,2.07230271099156,17.7195721641498,21.8846770147028
"54",19.5998895431994,1.56794591155236,2.07230271099155,17.0206185186958,22.179160567703
"55",21.0851122324616,1.37966330588687,2.07230271099155,18.8155660942777,23.3546583706455
