env,block,id,position,row,col,resp,cov1,cov2
ID_2018_1,5,183,20,25,1,1.7,3,3.1
ID_2018_1,5,191,19,25,2,1.8,3,3.1
ID_2018_1,5,138,18,25,3,2.5,3,3.1
ID_2018_1,5,122,17,25,4,2.7,3,3.1
ID_2018_1,6,133,4,26,1,2.4,2.2,2.8
ID_2018_1,6,8,3,26,2,2,2.2,2.8
ID_2018_1,6,26,2,26,3,2.1,2.2,2.8
ID_2018_1,6,3,1,26,4,2,2.2,2.8
ID_2018_1,6,145,8,27,1,1.9,2.2,2.8
ID_2018_1,6,42,7,27,2,1,2.2,2.8
ID_2018_1,6,64,6,27,3,1.2,2.2,2.8
ID_2018_1,6,96,5,27,4,1.7,2.2,2.8
ID_2018_1,6,188,12,28,1,2.2,2.2,2.8
ID_2018_1,6,167,11,28,2,2.4,2.2,2.8
ID_2018_1,6,74,10,28,3,1.5,2.2,2.8
ID_2018_1,6,10,9,28,4,2,2.2,2.8
ID_2018_1,6,202,16,29,1,2.8,2.2,2.8
ID_2018_1,6,201,15,29,2,2.2,2.2,2.8
ID_2018_1,6,4,14,29,3,1.7,2.2,2.8
ID_2018_1,6,69,13,29,4,1.3,2.2,2.8
ID_2018_1,6,83,20,30,1,1.4,2.2,2.8
ID_2018_1,6,30,19,30,2,1.1,2.2,2.8
ID_2018_1,6,112,18,30,3,1.8,2.2,2.8
ID_2018_1,6,153,17,30,4,2.4,2.2,2.8
ID_2018_1,7,57,4,31,1,2,2.7,2.3
ID_2018_1,7,47,3,31,2,2.6,2.7,2.3
ID_2018_1,7,170,2,31,3,2.5,2.7,2.3
ID_2018_1,7,184,1,31,4,2.3,2.7,2.3
ID_2018_1,7,7,8,32,1,3,2.7,2.3
ID_2018_1,7,93,7,32,2,2.9,2.7,2.3
ID_2018_1,7,113,6,32,3,2.7,2.7,2.3
ID_2018_1,7,88,5,32,4,2.5,2.7,2.3
ID_2018_1,7,107,12,33,1,2.8,2.7,2.3
ID_2018_1,7,140,11,33,2,2.5,2.7,2.3
ID_2018_1,7,165,10,33,3,2,2.7,2.3
ID_2018_1,7,36,9,33,4,2.4,2.7,2.3
ID_2018_1,7,198,16,34,1,3,2.7,2.3
ID_2018_1,7,71,15,34,2,2.4,2.7,2.3
ID_2018_1,7,202,14,34,3,2.3,2.7,2.3
ID_2018_1,7,182,13,34,4,2.7,2.7,2.3
ID_2018_1,7,201,20,35,1,2.7,2.7,2.3
ID_2018_1,7,190,19,35,2,2.9,2.7,2.3
