"component","genotype","trial","blup_psi","blup_without_psi","reg_blup","loading","score"
"fac_1","1","BLUE_ID_2018_1",-0.212532540743592,0.0451553460168583,0.0451553460168583,0.22624881167111,-0.0538798447336956
"fac_1","1","BLUE_OR_2019_1",0.0888375823484235,0.0888607223828644,0.0888607223828644,0.581384134125248,-0.0538798447336956
"fac_1","1","BLUE_WA_2018_1",-0.323485220150374,-0.323515254914944,-0.323515254914944,1.14790913098389,-0.0538798447336956
"fac_1","1","BLUE_WA_2019_1",0.0352414893212625,0.0352590781936472,0.0352590781936472,0.707077225256508,-0.0538798447336956
"fac_1","1","BLUE_ID_2019_1",-0.0853163424095298,0.147349679213221,0.147349679213221,0.589252597933467,-0.0538798447336956
"fac_1","1","BLUE_OR_2018_1",0.182644265367683,0.080994752352515,0.080994752352515,0.544798760634188,-0.0538798447336956
"fac_1","10","BLUE_ID_2019_1",-0.644073178348993,-0.571283599179887,-0.571283599179887,0.589252597933467,-0.92479695468249
"fac_1","10","BLUE_ID_2018_1",-0.803125645905421,-0.217669492897861,-0.217669492897861,0.22624881167111,-0.92479695468249
"fac_1","10","BLUE_OR_2019_1",-0.555261566258239,-0.555341042423645,-0.555341042423645,0.581384134125248,-0.92479695468249
"fac_1","10","BLUE_OR_2018_1",-1.38017931918537,-0.520059994615836,-0.520059994615836,0.544798760634188,-0.92479695468249
"fac_1","10","BLUE_WA_2018_1",-1.02310499803508,-1.02309295697092,-1.02309295697092,1.14790913098389,-0.92479695468249
"fac_1","10","BLUE_WA_2019_1",-0.664640407225145,-0.664693246769426,-0.664693246769426,0.707077225256508,-0.92479695468249
"fac_1","100","BLUE_ID_2018_1",-0.107501132456079,-0.39217113411569,-0.39217113411569,0.22624881167111,-0.61485058638622
"fac_1","100","BLUE_ID_2019_1",-1.65970624803586,-1.15265094878148,-1.15265094878148,0.589252597933467,-0.61485058638622
"fac_1","100","BLUE_OR_2018_1",-1.08211456563751,-0.821929356207467,-0.821929356207467,0.544798760634188,-0.61485058638622
"fac_1","100","BLUE_OR_2019_1",-0.887663013982348,-0.887834668384424,-0.887834668384424,0.581384134125248,-0.61485058638622
"fac_1","100","BLUE_WA_2019_1",-0.758339224531803,-0.758462779470776,-0.758462779470776,0.707077225256508,-0.61485058638622
"fac_1","100","BLUE_WA_2018_1",0.448781178057166,0.448920687672854,0.448920687672854,1.14790913098389,-0.61485058638622
"fac_1","101","BLUE_ID_2019_1",0.11502213676306,0.0263656008702807,0.0263656008702807,0.589252597933467,-0.613907771103636
"fac_1","101","BLUE_ID_2018_1",-0.857638344820297,-0.0146261183251245,-0.0146261183251245,0.22624881167111,-0.613907771103636
"fac_1","101","BLUE_OR_2018_1",-0.65054856536795,-0.0953275441067375,-0.0953275441067375,0.544798760634188,-0.613907771103636
"fac_1","101","BLUE_OR_2019_1",-0.0964796869438024,-0.0964700889022401,-0.0964700889022401,0.581384134125248,-0.613907771103636
"fac_1","101","BLUE_WA_2018_1",-1.27168829263847,-1.2717493157924,-1.2717493157924,1.14790913098389,-0.613907771103636
"fac_1","101","BLUE_WA_2019_1",-0.275126054215354,-0.275114723423596,-0.275114723423596,0.707077225256508,-0.613907771103636
"fac_1","102","BLUE_WA_2018_1",-1.99095746269951,-1.99107990235503,-1.99107990235503,1.14790913098389,-0.771528295849435
"fac_1","102","BLUE_ID_2018_1",0.239119506595102,0.067705060191156,0.067705060191156,0.22624881167111,-0.771528295849435
"fac_1","102","BLUE_WA_2019_1",-0.235673837818302,-0.235628835904484,-0.235628835904484,0.707077225256508,-0.771528295849435
"fac_1","102","BLUE_ID_2019_1",0.556429480577297,0.301995206641315,0.301995206641315,0.589252597933467,-0.771528295849435
"fac_1","102","BLUE_OR_2019_1",0.0591288618658265,0.059182258536429,0.059182258536429,0.581384134125248,-0.771528295849435
"fac_1","102","BLUE_OR_2018_1",0.840148342974707,0.0458507043843814,0.0458507043843814,0.544798760634188,-0.771528295849435
"fac_1","103","BLUE_ID_2018_1",0.170824866086631,0.250984017686438,0.250984017686438,0.22624881167111,0.940881914476812
"fac_1","103","BLUE_ID_2019_1",0.937410597996027,0.673441986381094,0.673441986381094,0.589252597933467,0.940881914476812
"fac_1","103","BLUE_OR_2019_1",0.626791451582989,0.626886488214073,0.626886488214073,0.581384134125248,0.940881914476812
"fac_1","103","BLUE_WA_2019_1",0.713962814254075,0.714027124526341,0.714027124526341,0.707077225256508,0.940881914476812
"fac_1","103","BLUE_WA_2018_1",0.906177446237455,0.90614950338112,0.90614950338112,1.14790913098389,0.940881914476812
"fac_1","103","BLUE_OR_2018_1",-0.121408236219666,0.585926399049555,0.585926399049555,0.544798760634188,0.940881914476812
"fac_1","104","BLUE_OR_2018_1",0.610240176949806,0.382164504476978,0.382164504476978,0.544798760634188,0.490918899195554
"fac_1","104","BLUE_OR_2019_1",0.410282519596552,0.410351182076026,0.410351182076026,0.581384134125248,0.490918899195554
"fac_1","104","BLUE_ID_2019_1",0.476290841056671,0.475456762282189,0.475456762282189,0.589252597933467,0.490918899195554
"fac_1","104","BLUE_ID_2018_1",0.249263337787878,0.170683324396703,0.170683324396703,0.22624881167111,0.490918899195554
"fac_1","104","BLUE_WA_2019_1",0.423327213552233,0.423374964964396,0.423374964964396,0.707077225256508,0.490918899195554
"fac_1","104","BLUE_WA_2018_1",0.291551491148478,0.291515798542975,0.291515798542975,1.14790913098389,0.490918899195554
"fac_1","105","BLUE_ID_2018_1",-0.162126940181973,-0.162184694969175,-0.162184694969175,0.22624881167111,-1.42030759294449
"fac_1","105","BLUE_ID_2019_1",-0.339834585008565,-0.339846038369708,-0.339846038369708,0.589252597933467,-1.42030759294449
