"score","component","gen","score_rotated"
-0.278221768190966,"Comp1","1",-0.278221768190966
-0.248782848270192,"Comp1","2",-0.248782848270192
-0.433145166309386,"Comp1","3",-0.433145166309386
-0.382340202206269,"Comp1","4",-0.382340202206269
0.428158550657399,"Comp1","5",0.428158550657399
-0.228154112148826,"Comp1","6",-0.228154112148826
0.224630617294203,"Comp1","7",0.224630617294203
-0.494164359537581,"Comp1","8",-0.494164359537581
-1.35081782366883,"Comp1","9",-1.35081782366883
-0.238676012018644,"Comp1","10",-0.238676012018644
-0.0751756090907008,"Comp1","11",-0.0751756090907008
0.611635882400195,"Comp1","13",0.611635882400195
-0.113594198890741,"Comp1","14",-0.113594198890741
-0.517949967643629,"Comp1","15",-0.517949967643629
-0.944230308128481,"Comp1","16",-0.944230308128481
-0.381162520616505,"Comp1","17",-0.381162520616505
0.0188858460816792,"Comp1","18",0.0188858460816792
-0.30960278894721,"Comp1","19",-0.30960278894721
-0.0709673256607714,"Comp1","20",-0.0709673256607714
-0.701298514598733,"Comp1","21",-0.701298514598733
-0.00364632231067722,"Comp1","22",-0.00364632231067722
0.0184082446137191,"Comp1","23",0.0184082446137191
-1.10781243486551,"Comp1","24",-1.10781243486551
-0.485063157229109,"Comp1","25",-0.485063157229109
0.417821200917302,"Comp1","26",0.417821200917302
0.971345017495885,"Comp1","27",0.971345017495885
-0.194382809443722,"Comp1","28",-0.194382809443722
-0.243963843190563,"Comp1","29",-0.243963843190563
-0.758807454837848,"Comp1","30",-0.758807454837848
-0.719326486888823,"Comp1","31",-0.719326486888823
0.30281963777312,"Comp1","32",0.30281963777312
-0.348265894150432,"Comp1","33",-0.348265894150432
-0.0716697897365134,"Comp1","34",-0.0716697897365134
-0.53957221060271,"Comp1","35",-0.53957221060271
-0.453935403635297,"Comp1","36",-0.453935403635297
0.295532556948544,"Comp1","37",0.295532556948544
1.06378676412981,"Comp1","38",1.06378676412981
0.405958673795141,"Comp1","39",0.405958673795141
0.107553339146546,"Comp1","40",0.107553339146546
