,env,loc,year,cut,block,gen,row,col,FDR,cov1,cov2,date_init,date,harv_days1,harv_days2,harv_days3,cut_freq,cons_days,cons_days1
37,OR_2018_3,OR,2018,3,2,202,19,2,2.77519423173663,3.23078642893075,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
38,OR_2018_3,OR,2018,3,2,94,19,1,3.23078642893075,3.23078642893075,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
39,OR_2018_3,OR,2018,3,2,99,20,2,0.1,3.23078642893075,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
40,OR_2018_3,OR,2018,3,2,51,20,1,3.23078642893075,3.23078642893075,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
41,OR_2018_3,OR,2018,3,3,139,21,2,2.31960203454251,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
42,OR_2018_3,OR,2018,3,3,113,21,1,2.77519423173663,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
43,OR_2018_3,OR,2018,3,3,183,22,2,2.77519423173663,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
44,OR_2018_3,OR,2018,3,3,37,22,1,0.1,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
45,OR_2018_3,OR,2018,3,3,189,23,2,3.68637862612487,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
46,OR_2018_3,OR,2018,3,3,84,23,1,2.31960203454251,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
47,OR_2018_3,OR,2018,3,3,133,24,2,0.497233245766026,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
48,OR_2018_3,OR,2018,3,3,187,24,1,3.23078642893075,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
49,OR_2018_3,OR,2018,3,3,202,25,2,2.77519423173663,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
50,OR_2018_3,OR,2018,3,3,110,25,1,5.96433961209547,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
51,OR_2018_3,OR,2018,3,3,144,26,2,4.14197082331899,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
52,OR_2018_3,OR,2018,3,3,79,26,1,0.952825442960146,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
53,OR_2018_3,OR,2018,3,3,195,27,2,2.77519423173663,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
54,OR_2018_3,OR,2018,3,3,77,27,1,1.86400983734839,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
55,OR_2018_3,OR,2018,3,3,54,28,2,3.68637862612487,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
56,OR_2018_3,OR,2018,3,3,161,28,1,1.86400983734839,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
57,OR_2018_3,OR,2018,3,3,104,29,2,4.14197082331899,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
58,OR_2018_3,OR,2018,3,3,177,29,1,2.77519423173663,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
59,OR_2018_3,OR,2018,3,3,4,30,2,1.86400983734839,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
60,OR_2018_3,OR,2018,3,3,201,30,1,1.40841764015427,1.40841764015427,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
61,OR_2018_3,OR,2018,3,4,108,31,2,3.23078642893075,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
62,OR_2018_3,OR,2018,3,4,197,31,1,4.14197082331899,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
63,OR_2018_3,OR,2018,3,4,100,32,2,0.1,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
64,OR_2018_3,OR,2018,3,4,49,32,1,1.86400983734839,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
65,OR_2018_3,OR,2018,3,4,15,33,2,1.40841764015427,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
66,OR_2018_3,OR,2018,3,4,201,33,1,1.86400983734839,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
67,OR_2018_3,OR,2018,3,4,13,34,2,0.952825442960146,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
68,OR_2018_3,OR,2018,3,4,63,34,1,2.31960203454251,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
69,OR_2018_3,OR,2018,3,4,191,35,2,1.86400983734839,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
70,OR_2018_3,OR,2018,3,4,44,35,1,3.68637862612487,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
71,OR_2018_3,OR,2018,3,4,102,36,2,4.14197082331899,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
72,OR_2018_3,OR,2018,3,4,115,36,1,3.23078642893075,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
73,OR_2018_3,OR,2018,3,4,202,37,2,2.77519423173663,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
74,OR_2018_3,OR,2018,3,4,112,37,1,0.952825442960146,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
75,OR_2018_3,OR,2018,3,4,131,38,2,3.68637862612487,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
76,OR_2018_3,OR,2018,3,4,85,38,1,0.1,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
77,OR_2018_3,OR,2018,3,4,126,39,2,0.497233245766026,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
78,OR_2018_3,OR,2018,3,4,67,39,1,5.05315521770723,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
79,OR_2018_3,OR,2018,3,4,47,40,2,3.23078642893075,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
80,OR_2018_3,OR,2018,3,4,182,40,1,3.68637862612487,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
81,OR_2018_3,OR,2018,3,5,75,41,2,0.1,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
82,OR_2018_3,OR,2018,3,5,171,41,1,2.77519423173663,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
83,OR_2018_3,OR,2018,3,5,154,42,2,1.86400983734839,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
84,OR_2018_3,OR,2018,3,5,119,42,1,2.77519423173663,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
85,OR_2018_3,OR,2018,3,5,201,43,2,1.86400983734839,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
86,OR_2018_3,OR,2018,3,5,17,43,1,1.86400983734839,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
87,OR_2018_3,OR,2018,3,5,22,44,2,2.31960203454251,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
88,OR_2018_3,OR,2018,3,5,202,44,1,2.31960203454251,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
89,OR_2018_3,OR,2018,3,5,82,45,2,2.31960203454251,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
90,OR_2018_3,OR,2018,3,5,50,45,1,1.86400983734839,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
91,OR_2018_3,OR,2018,3,5,134,46,2,4.14197082331899,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
92,OR_2018_3,OR,2018,3,5,62,46,1,3.23078642893075,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
93,OR_2018_3,OR,2018,3,5,29,47,2,0.1,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
94,OR_2018_3,OR,2018,3,5,122,47,1,2.77519423173663,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
95,OR_2018_3,OR,2018,3,5,137,48,2,0.952825442960146,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
96,OR_2018_3,OR,2018,3,5,71,48,1,1.86400983734839,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
97,OR_2018_3,OR,2018,3,5,41,49,2,2.31960203454251,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
98,OR_2018_3,OR,2018,3,5,39,49,1,0.1,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
99,OR_2018_3,OR,2018,3,5,28,50,2,0.1,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
100,OR_2018_3,OR,2018,3,5,38,50,1,0.1,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
101,OR_2018_3,OR,2018,3,6,201,51,2,1.86400983734839,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
102,OR_2018_3,OR,2018,3,6,116,51,1,1.40841764015427,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
103,OR_2018_3,OR,2018,3,6,60,52,2,3.23078642893075,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
104,OR_2018_3,OR,2018,3,6,156,52,1,4.59756302051311,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
105,OR_2018_3,OR,2018,3,6,188,53,2,3.68637862612487,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
106,OR_2018_3,OR,2018,3,6,140,53,1,1.86400983734839,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
107,OR_2018_3,OR,2018,3,6,76,54,2,1.40841764015427,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
108,OR_2018_3,OR,2018,3,6,109,54,1,2.31960203454251,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
109,OR_2018_3,OR,2018,3,6,101,55,2,3.23078642893075,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
110,OR_2018_3,OR,2018,3,6,185,55,1,2.77519423173663,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
111,OR_2018_3,OR,2018,3,6,146,56,2,4.14197082331899,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
112,OR_2018_3,OR,2018,3,6,202,56,1,2.77519423173663,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
113,OR_2018_3,OR,2018,3,6,129,57,2,3.23078642893075,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
114,OR_2018_3,OR,2018,3,6,87,57,1,2.77519423173663,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
115,OR_2018_3,OR,2018,3,6,150,58,2,2.31960203454251,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
116,OR_2018_3,OR,2018,3,6,155,58,1,4.14197082331899,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
