trait,env,V_e,V_g,H2
MS,ID_2018_1,0.0878288852717259,0.296211102134921,0.771302759733905
MS,ID_2019_1,0.0328097524246884,0.0544587583862769,0.624036755986836
MS,OR_2018_1,0.0893131013228553,0.0970663042604394,0.520799516216182
MS,OR_2019_1,0.0815635037665611,0.185315336189508,0.694380027356282
MS,OR_2020_1,0.0566588081196337,0.029968282451489,0.345945849663327
MS,WA_2018_1,0.370607328885009,0.14997054446123,0.288084746086555
MS,WA_2019_1,0.0563584080588103,0.0587107553707981,0.510221449612897
MS,WA_2019_2,0.124500519558863,0.25273718661343,0.669967986969996
MS,WA_2020_1,0.140687211584589,0.0880521736679747,0.384945397884809
MS,WA_2020_2,0.153656923641852,0.146938988649215,0.488825638144187
MS,WA_2020_3,0.114512249503212,0.175982233325184,0.605802325785107
MS,WA_2020_4,0.164278697662016,0.0999871230318592,0.378358134886025
MS,WA_2020_5,-0.0404945857119568,0.32117913026595,1.14427080684582
DM,ID_2018_1,0.291463404443174,1.22055789350555,0.807235913383901
DM,ID_2019_1,0.661520042499287,1.76711939093591,0.727617021533906
DM,OR_2018_1,0.793099101372131,2.41667600087842,0.752911317426556
DM,OR_2019_1,0.786299952980376,1.53117141564064,0.660707802639109
DM,OR_2020_1,0.690359010545241,2.04751843633001,0.747848826713135
DM,WA_2018_1,0.309993496836946,2.0146212145222,0.866647365121551
DM,WA_2019_1,1.07403749249638,3.20781189005542,0.74916504609597
DM,WA_2020_1,0.805831426697773,0.799049365866819,0.497887051529816
He,ID_2019_1,0.401196005788207,8.55073288799047,0.955183289484457
He,OR_2018_1,1.33650828024092,5.20455331850893,0.79567410273336
He,OR_2019_1,0.788759410652161,12.6687916763339,0.941389082935385
He,OR_2019_2,2.93154350272157,7.22595235541252,0.711391120049141
He,OR_2019_4,4.63766385850098,7.94749335469772,0.631497344058823
He,OR_2020_2,3.28663218978785,12.8368752468595,0.796158980748964
He,OR_2020_3,2.61619288787323,9.19517698698105,0.77850216227307
He,WA_2018_1,1.55324709624581,3.01962613055722,0.660334538219484
He,WA_2018_3,2.7444561275189,11.6549509142514,0.809404920663907
He,WA_2019_1,2.1847565967002,4.84737795927739,0.689318146672396
He,WA_2019_2,2.45194703285745,3.5332890734819,0.590334117268919
He,WA_2019_3,2.97108251821466,2.93875430021553,0.497264880656407
He,WA_2019_4,3.11711033762691,2.81908733010059,0.474897819765459
He,WA_2019_5,2.74555527936788,2.06286039288333,0.429010412886691
He,WA_2020_1,1.52198024830145,4.0629576177758,0.727484837826771
He,WA_2020_2,2.43736947059973,2.73737902448081,0.528987839135205
He,WA_2020_3,2.22093545310199,2.03136213555206,0.477709307310035
He,WA_2020_4,2.43080464975212,6.89118635922464,0.739239756033734
He,WA_2020_5,2.12939852038639,3.07808172844297,0.591088507562736
Yi,ID_2018_1,-0.0206593683540947,0.314826731849775,1.07022998101691
Yi,ID_2018_2,0.038722297183328,2.12779950583871,0.982126975537788
Yi,ID_2018_3,0.241241126117079,0.545629212474746,0.693416927433303
Yi,ID_2019_1,0.273986387211724,1.02959298538912,0.789819942712748
Yi,ID_2019_2,0.405605951352617,0.445577943684752,0.523480232982075
Yi,ID_2019_3,0.155363716887629,0.478053489031433,0.754721350421476
Yi,ID_2019_4,0.574346691918678,0.73619538985659,0.561748760375047
Yi,OR_2018_1,0.0834842033307228,0.313057182783437,0.789469129190241
Yi,OR_2018_2,0.126290296923146,0.428781030810302,0.772479156077411
Yi,OR_2018_3,0.460550575505133,0.401593270506526,0.465807733088076
Yi,OR_2019_1,0.0570782745156072,0.375546149224075,0.868065066640916
Yi,OR_2019_2,0.545942684573642,0.242868782090871,0.307892053240352
Yi,OR_2019_3,0.245425017723445,0.124719878411521,0.336948799548067
Yi,OR_2019_4,0.46998731360937,0.131334622636984,0.218409831274105
Yi,OR_2020_1,0.287052377362979,1.33670089079005,0.82321675158844
Yi,OR_2020_2,0.620013021335128,0.229362009848856,0.270036204771804
Yi,OR_2020_3,0.295131291357045,0.138887408341444,0.320003281973631
Yi,OR_2020_4,0.524612886098785,0.149217659953749,0.221446862015833
Yi,WA_2018_1,0.26226870726087,0.365345315934208,0.58211783426109
Yi,WA_2018_2,0.516222653054818,0.293343682531658,0.362346690613253
Yi,WA_2018_3,0.54467845690173,0.0539271323196475,0.0900879198100907
Yi,WA_2019_1,0.731676238603219,0.603107956065832,0.451839299921713
Yi,WA_2019_2,0.714005766628228,0.261341854837776,0.2679473954578
Yi,WA_2019_3,0.651765367380305,0.0459674667524867,0.0658811861844217
Yi,WA_2019_4,0.494439412961179,0.112851686884709,0.185827994043297
Yi,WA_2019_5,0.489214938357556,0.218198176472131,0.308445195456496
Yi,WA_2020_1,1.07992137860058,0.514791736240755,0.322811502238114
Yi,WA_2020_2,1.17392352290551,0.124948881029923,0.0961979642121444
Yi,WA_2020_3,0.785327760525103,0.0434681869302948,0.0524473931897864
Yi,WA_2020_4,0.550139837190915,0.149671937965817,0.213874563531453
Yi,WA_2020_5,0.446385543213838,0.175949170470786,0.282724338851441
FD,ID_2019_4,0.594349971494089,0.549129717544668,0.480226909851178
FD,OR_2018_3,1.41383645256597,0.510497101219612,0.265285142596694
FD,OR_2019_4,2.24200402258302,0.947010540651284,0.296960243320691
FD,OR_2020_4,1.37752619188806,0.469383493163031,0.25414534179025
FD,WA_2018_3,0.626530361453269,0.613402178761199,0.494706089941877
FD,WA_2019_5,1.07398524838426,1.02554918705698,0.488465047176733
