trait,fixedDF,varDF,NBound,AIC,BIC,loglik,model,trait1
WA_2019_3,0,1,3,37.1758244723763,38.0661962302725,-17.5879122361882,sar_sar,He
WA_2019_3,0,2,1,40.3929368094964,42.1736803252887,-18.1964684047482,ar1_id,He
WA_2019_3,0,2,2,41.7654285492692,43.5461720650615,-18.8827142746346,ar1_ar1,He
WA_2019_4,0,1,3,39.948540463713,40.8389122216092,-18.9742702318565,sar_sar,He
WA_2019_4,0,2,1,35.9074133764177,37.6881568922101,-15.9537066882089,ar1_id,He
WA_2019_4,0,2,2,42.1493505766698,43.9300940924622,-19.0746752883349,ar1_ar1,He
WA_2019_5,0,1,3,53.8959150423381,54.7862868002342,-25.947957521169,sar_sar,He
WA_2019_5,0,2,1,56.2932162877219,58.0739598035142,-26.1466081438609,ar1_id,He
WA_2019_5,0,2,2,56.2917768362418,58.0725203520342,-26.1458884181209,ar1_ar1,He
WA_2020_1,0,1,3,54.8429454608078,55.733317218704,-26.4214727304039,sar_sar,He
WA_2020_1,0,2,1,58.2734706630609,60.0542141788532,-27.1367353315304,ar1_id,He
WA_2020_1,0,1,3,53.2788590098698,54.169230767766,-25.6394295049349,ar1_ar1,He
WA_2020_2,0,1,3,43.8258873199593,44.7162590778554,-20.9129436599796,sar_sar,He
WA_2020_2,0,2,1,45.6383982570778,47.4191417728702,-20.8191991285389,ar1_id,He
WA_2020_2,0,1,3,44.3639408921203,45.2543126500165,-21.1819704460601,ar1_ar1,He
WA_2020_3,0,1,3,46.9236683056744,47.8140400635706,-22.4618341528372,sar_sar,He
WA_2020_3,0,2,1,49.2378428976581,51.0185864134505,-22.6189214488291,ar1_id,He
WA_2020_3,0,2,2,51.5761646466322,53.3569081624245,-23.7880823233161,ar1_ar1,He
WA_2020_4,0,2,2,38.0128810869247,39.793624602717,-17.0064405434623,sar_sar,He
WA_2020_4,0,2,1,34.4402114131182,36.2209549289105,-15.2201057065591,ar1_id,He
WA_2020_4,0,2,2,38.3231899694858,40.1039334852781,-17.1615949847429,ar1_ar1,He
WA_2020_5,0,1,3,41.42375670194,42.3141284598362,-19.71187835097,sar_sar,He
WA_2020_5,0,1,2,41.3694972752024,42.2598690330986,-19.6847486376012,ar1_id,He
WA_2020_5,0,1,3,42.4211168878534,43.3114886457496,-20.2105584439267,ar1_ar1,He
ID_2018_1,0,1,3,-21.8225065619998,-20.9321348041036,11.9112532809999,sar_sar,MS
ID_2018_1,0,2,1,-22.8205695457013,-21.039826029909,13.4102847728507,ar1_id,MS
ID_2018_1,0,2,2,-19.8655403072715,-18.0847967914792,11.9327701536358,ar1_ar1,MS
ID_2019_1,0,1,3,-56.0918484684566,-55.2014767105604,29.0459242342283,sar_sar,MS
ID_2019_1,0,2,1,-54.2917192072126,-52.5109756914203,29.1458596036063,ar1_id,MS
ID_2019_1,0,2,2,-57.4298698904046,-55.6491263746123,30.7149349452023,ar1_ar1,MS
OR_2018_1,0,2,2,-30.3141788212275,-28.5334353054352,17.1570894106137,sar_sar,MS
OR_2018_1,0,2,1,-31.2493266395976,-29.4685831238052,17.6246633197988,ar1_id,MS
OR_2018_1,0,1,3,-36.377628271811,-35.4872565139149,19.1888141359055,ar1_ar1,MS
OR_2019_1,0,1,3,-38.4640791681983,-37.5737074103021,20.2320395840992,sar_sar,MS
OR_2019_1,0,2,1,-33.4500897583881,-31.6693462425957,18.725044879194,ar1_id,MS
OR_2019_1,0,2,2,-38.2051023058633,-36.4243587900709,21.1025511529316,ar1_ar1,MS
OR_2020_1,0,1,3,-44.6785496533054,-43.7881778954092,23.3392748266527,sar_sar,MS
OR_2020_1,0,2,1,-41.3945004601205,-39.6137569443281,22.6972502300602,ar1_id,MS
OR_2020_1,0,2,2,-43.4920120903093,-41.711268574517,23.7460060451546,ar1_ar1,MS
WA_2018_1,0,1,3,-18.3808446572068,-17.4904728993106,10.1904223286034,sar_sar,MS
WA_2018_1,0,2,1,-14.7424540571079,-12.9617105413156,9.37122702855395,ar1_id,MS
WA_2018_1,0,3,1,-14.2345971877015,-11.563481914013,10.1172985938508,ar1_ar1,MS
WA_2019_1,0,1,3,-48.6423288117878,-47.7519570538916,25.3211644058939,sar_sar,MS
WA_2019_1,0,1,2,-48.6597586791086,-47.7693869212125,25.3298793395543,ar1_id,MS
WA_2019_1,0,1,3,-48.6601551741199,-47.7697834162237,25.3300775870599,ar1_ar1,MS
WA_2019_2,0,1,3,-31.2216710626803,-30.3312993047842,16.6108355313402,sar_sar,MS
WA_2019_2,0,2,1,-26.2591716121606,-24.4784280963683,15.1295858060803,ar1_id,MS
WA_2019_2,0,2,2,-26.5078371660913,-24.727093650299,15.2539185830456,ar1_ar1,MS
WA_2020_1,0,1,3,-35.9192341430108,-35.0288623851147,18.9596170715054,sar_sar,MS
WA_2020_1,0,2,1,-33.3317050377008,-31.5509615219085,18.6658525188504,ar1_id,MS
WA_2020_1,0,3,1,-33.5529973524449,-30.8818820787564,19.7764986762224,ar1_ar1,MS
WA_2020_2,0,2,2,-28.4404093956015,-26.6596658798092,16.2202046978008,sar_sar,MS
WA_2020_2,0,2,1,-27.1345423093781,-25.3537987935858,15.5672711546891,ar1_id,MS
WA_2020_2,0,3,1,-26.4838610041732,-23.8127457304847,16.2419305020866,ar1_ar1,MS
WA_2020_3,0,1,3,-23.4115194480835,-22.5211476901874,12.7057597240418,sar_sar,MS
WA_2020_3,0,2,1,-26.3037376788424,-24.5229941630501,15.1518688394212,ar1_id,MS
WA_2020_3,0,2,2,-21.4920839371575,-19.7113404213652,12.7460419685787,ar1_ar1,MS
WA_2020_4,0,1,3,-44.4043697988422,-43.5139980409461,23.2021848994211,sar_sar,MS
WA_2020_4,0,2,1,-36.320449670144,-34.5397061543516,20.160224835072,ar1_id,MS
WA_2020_4,0,3,1,-40.6099890235247,-37.9388737498362,23.3049945117623,ar1_ar1,MS
WA_2020_5,0,1,3,-32.4657661404863,-31.6325527964301,17.2328830702432,sar_sar,MS
WA_2020_5,0,2,1,-30.6018736799402,-28.9354469918278,17.3009368399701,ar1_id,MS
WA_2020_5,0,3,1,-29.4537903969818,-26.9541503648132,17.7268951984909,ar1_ar1,MS
ID_2018_1,0,1,3,12.0129684074229,12.9033401653191,-5.00648420371145,sar_sar,Yi
ID_2018_1,0,2,1,14.0191496518505,15.7998931676429,-5.00957482592527,ar1_id,Yi
ID_2018_1,0,2,2,14.0830161817425,15.8637596975348,-5.04150809087125,ar1_ar1,Yi
ID_2018_2,0,1,3,14.8878610589386,15.7782328168348,-6.44393052946931,sar_sar,Yi
ID_2018_2,0,1,2,20.0694133577776,20.9597851156737,-9.03470667888879,ar1_id,Yi
ID_2018_2,0,3,1,18.2117768986769,20.8828921723654,-6.10588844933845,ar1_ar1,Yi
ID_2018_3,0,1,3,-8.51145091718382,-7.62107915928765,5.25572545859191,sar_sar,Yi
ID_2018_3,0,2,1,-5.01867558186682,-3.23793206607449,4.50933779093341,ar1_id,Yi
ID_2018_3,0,2,2,-4.57213797131789,-2.79139445552556,4.28606898565894,ar1_ar1,Yi
ID_2019_1,0,1,3,12.3549625911245,13.2453343490207,-5.17748129556227,sar_sar,Yi
ID_2019_1,0,2,1,12.0851332494031,13.8658767651954,-4.04256662470156,ar1_id,Yi
ID_2019_1,0,2,2,12.0903022965872,13.8710458123795,-4.04515114829358,ar1_ar1,Yi
ID_2019_2,0,2,2,-4.49652905707254,-2.71578554128021,4.24826452853627,sar_sar,Yi
ID_2019_2,0,1,2,-5.97449675540984,-5.08412499751367,3.98724837770492,ar1_id,Yi
ID_2019_2,0,2,2,-4.3647872451976,-2.58404372940528,4.1823936225988,ar1_ar1,Yi
ID_2019_3,0,1,3,-19.7024946606405,-18.8121229027443,10.8512473303203,sar_sar,Yi
ID_2019_3,0,1,2,-16.4245386179423,-15.5341668600462,9.21226930897116,ar1_id,Yi
ID_2019_3,0,3,1,-14.4445698009816,-11.7734545272931,10.2222849004908,ar1_ar1,Yi
ID_2019_4,0,2,2,-2.26884143339432,-0.488097917601992,3.13442071669716,sar_sar,Yi
ID_2019_4,0,2,1,-3.41992466357201,-1.63918114777968,3.70996233178601,ar1_id,Yi
ID_2019_4,0,3,1,0.0831981917279663,2.75431346541646,2.95840090413602,ar1_ar1,Yi
OR_2018_1,0,1,3,-8.8976618512961,-8.00729009339993,5.44883092564805,sar_sar,Yi
OR_2018_1,0,1,2,-20.7884555816404,-19.8980838237443,11.3942277908202,ar1_id,Yi
OR_2018_1,0,1,3,-29.7661052559717,-28.8757334980755,15.8830526279858,ar1_ar1,Yi
OR_2018_2,0,1,3,-4.89113272025294,-4.00076096235678,3.44556636012647,sar_sar,Yi
OR_2018_2,0,2,1,-0.344850727393421,1.43589278839891,2.17242536369671,ar1_id,Yi
OR_2018_2,0,1,3,-1.83822376729898,-0.94785200940282,1.91911188364949,ar1_ar1,Yi
OR_2018_3,0,2,2,-16.3082594290019,-14.5275159132096,10.154129714501,sar_sar,Yi
OR_2018_3,0,2,1,-15.7700573407391,-13.9893138249468,9.88502867036954,ar1_id,Yi
OR_2018_3,0,2,2,-16.0791821612404,-14.2984386454481,10.0395910806202,ar1_ar1,Yi
OR_2019_1,0,2,2,9.18946237285684,10.9702058886492,-2.59473118642842,sar_sar,Yi
OR_2019_1,0,1,2,8.080352463544,8.97072422144016,-3.040176231772,ar1_id,Yi
OR_2019_1,0,2,2,9.24256435223892,11.0233078680312,-2.62128217611946,ar1_ar1,Yi
OR_2019_2,0,1,3,-18.5692096535312,-17.678837895635,10.2846048267656,sar_sar,Yi
OR_2019_2,0,2,1,-16.3306809615965,-14.5499374458042,10.1653404807983,ar1_id,Yi
OR_2019_2,0,2,2,-24.3540610622418,-22.5733175464494,14.1770305311209,ar1_ar1,Yi
OR_2019_3,0,1,3,-13.897249268091,-13.0068775101949,7.94862463404551,sar_sar,Yi
OR_2019_3,0,2,1,-11.970789337785,-10.1900458219927,7.98539466889251,ar1_id,Yi
OR_2019_3,0,1,3,-12.6128248511412,-11.7224530932451,7.30641242557062,ar1_ar1,Yi
OR_2019_4,0,2,2,-10.9590287195235,-9.17828520373118,7.47951435976175,sar_sar,Yi
OR_2019_4,0,1,2,-12.6699070710057,-11.7795353131095,7.33495353550284,ar1_id,Yi
OR_2019_4,0,2,2,-10.8572679773657,-9.07652446157334,7.42863398868284,ar1_ar1,Yi
OR_2020_1,0,1,3,18.2514967393739,19.1418684972701,-8.12574836968695,sar_sar,Yi
OR_2020_1,0,2,1,19.8441767550593,21.6249202708516,-7.92208837752965,ar1_id,Yi
OR_2020_1,0,2,2,11.1565344950602,12.9372780108525,-3.5782672475301,ar1_ar1,Yi
OR_2020_2,0,1,3,-16.4835887483431,-15.593216990447,9.24179437417157,sar_sar,Yi
OR_2020_2,0,2,1,-18.5612203427589,-16.7804768269665,11.2806101713794,ar1_id,Yi
OR_2020_2,0,1,3,-16.0355743785924,-15.1452026206962,9.0177871892962,ar1_ar1,Yi
OR_2020_3,0,1,3,-8.10678798561195,-7.21641622771579,5.05339399280598,sar_sar,Yi
OR_2020_3,0,2,1,-9.74424062785142,-7.96349711205909,6.87212031392571,ar1_id,Yi
OR_2020_3,0,2,2,-19.8248995049654,-18.0441559891731,11.9124497524827,ar1_ar1,Yi
OR_2020_4,0,1,3,-30.2879165400429,-29.3975447821467,16.1439582700214,sar_sar,Yi
OR_2020_4,0,2,1,-25.3967395422657,-23.6159960264734,14.6983697711329,ar1_id,Yi
OR_2020_4,0,1,3,-33.3026011898298,-32.4122294319336,17.6513005949149,ar1_ar1,Yi
WA_2018_1,0,1,3,11.0539070811332,11.9442788390294,-4.52695354056662,sar_sar,Yi
WA_2018_1,0,2,1,10.7628738450494,12.5436173608417,-3.38143692252468,ar1_id,Yi
WA_2018_1,0,3,1,12.7566329101793,15.4277481838678,-3.37831645508964,ar1_ar1,Yi
WA_2018_2,0,1,3,10.0036033669209,10.8939751248171,-4.00180168346046,sar_sar,Yi
WA_2018_2,0,2,1,5.16810669413294,6.94885020992527,-0.584053347066472,ar1_id,Yi
WA_2018_2,0,2,2,10.6899447617693,12.4706882775616,-3.34497238088465,ar1_ar1,Yi
WA_2018_3,0,2,2,11.620139113025,13.2865658011374,-3.8100695565125,sar_sar,Yi
WA_2018_3,0,2,1,8.98053522871763,10.6469619168301,-2.49026761435882,ar1_id,Yi
WA_2018_3,0,3,1,10.7944658495289,13.2941058816975,-2.39723292476443,ar1_ar1,Yi
WA_2019_1,0,1,3,12.9669134976746,13.8572852555707,-5.48345674883728,sar_sar,Yi
WA_2019_1,0,2,1,13.4874975505333,15.2682410663256,-4.74374877526664,ar1_id,Yi
WA_2019_1,0,1,3,17.2321077855182,18.1224795434143,-7.61605389275909,ar1_ar1,Yi
WA_2019_2,0,1,3,-1.89261530165248,-1.00224354375632,1.94630765082624,sar_sar,Yi
WA_2019_2,0,2,1,1.11347934828176,2.89422286407409,1.44326032585912,ar1_id,Yi
WA_2019_2,0,2,2,-0.00242585145976548,1.77831766433256,2.00121292572988,ar1_ar1,Yi
WA_2019_3,0,1,3,-0.144259974807426,0.746111783088739,1.07212998740371,sar_sar,Yi
WA_2019_3,0,2,1,-2.03260511311401,-0.251861597321676,3.016302556557,ar1_id,Yi
WA_2019_3,0,2,2,2.50351908624876,4.28426260204109,0.748240456875619,ar1_ar1,Yi
WA_2019_4,0,1,3,-13.9918454094684,-13.1014736515723,7.99592270473421,sar_sar,Yi
WA_2019_4,0,2,1,-11.9295104683222,-10.1487669525299,7.96475523416112,ar1_id,Yi
WA_2019_4,0,3,1,-12.8171919939231,-10.1460767202346,9.40859599696154,ar1_ar1,Yi
WA_2019_5,0,1,3,-0.135696703275848,0.754675054620317,1.06784835163792,sar_sar,Yi
WA_2019_5,0,2,1,1.87602513431112,3.65676865010345,1.06198743284444,ar1_id,Yi
WA_2019_5,0,1,3,-0.145016606490511,0.745355151405653,1.07250830324526,ar1_ar1,Yi
WA_2020_1,0,1,3,24.4512347095905,25.3416064674867,-11.2256173547952,sar_sar,Yi
WA_2020_1,0,2,1,20.9758537562605,22.7565972720528,-8.48792687813023,ar1_id,Yi
WA_2020_1,0,2,2,24.4441487333261,26.2248922491185,-10.2220743666631,ar1_ar1,Yi
WA_2020_2,0,1,3,5.82789903618231,6.71827079407847,-1.91394951809115,sar_sar,Yi
WA_2020_2,0,2,1,-0.500636210777287,1.28010730501504,2.25031810538864,ar1_id,Yi
WA_2020_2,0,2,2,7.17832328637408,8.95906680216641,-1.58916164318704,ar1_ar1,Yi
WA_2020_3,0,1,3,10.15447742284,11.0448491807362,-4.07723871142001,sar_sar,Yi
WA_2020_3,0,1,2,10.1544774228181,11.0448491807142,-4.07723871140903,ar1_id,Yi
WA_2020_3,0,1,3,4.23815516069894,5.12852691859511,-1.11907758034947,ar1_ar1,Yi
WA_2020_4,0,1,3,-1.96547644124028,-1.07510468334411,1.98273822062014,sar_sar,Yi
WA_2020_4,0,1,2,-2.08988244857653,-1.19951069068037,2.04494122428827,ar1_id,Yi
WA_2020_4,0,1,3,-1.36616043961204,-0.475788681715877,1.68308021980602,ar1_ar1,Yi
WA_2020_5,0,1,3,-3.63352331332705,-2.74315155543088,2.81676165666352,sar_sar,Yi
WA_2020_5,0,2,1,-1.42287324529961,0.357870270492716,2.71143662264981,ar1_id,Yi
WA_2020_5,0,1,3,-2.792460642799,-1.90208888490284,2.3962303213995,ar1_ar1,Yi
ID_2019_4,0,1,3,46.1895732137798,47.079944971676,-22.0947866068899,sar_sar,FD
ID_2019_4,0,2,1,51.6685239495953,53.4492674653876,-23.8342619747976,ar1_id,FD
ID_2019_4,0,3,1,50.5102384912623,53.1813537649508,-22.2551192456312,ar1_ar1,FD
WA_2018_3,0,1,3,63.7541269447994,64.6444987026956,-30.8770634723997,sar_sar,FD
WA_2018_3,0,1,2,63.8193142210597,64.7096859789558,-30.9096571105298,ar1_id,FD
WA_2018_3,0,1,3,63.776444332067,64.6668160899632,-30.8882221660335,ar1_ar1,FD
WA_2019_5,0,1,3,42.0085083293914,42.8988800872876,-20.0042541646957,sar_sar,FD
WA_2019_5,0,1,2,41.694340687074,42.5847124449702,-19.847170343537,ar1_id,FD
WA_2019_5,0,1,3,41.6943406870465,42.5847124449427,-19.8471703435233,ar1_ar1,FD
