trait,loc,year,cut,geno,min,max,mean,sd,cv
MS,OR,2020,1,201,3.5,4.1,3.9,0.178885438199983,0.0458680610769187
MS,OR,2020,1,202,3.8,4.3,3.91818181818182,0.14709304414677,0.0375411481581084
MS,WA,2018,1,new,2.5,5.4,3.70959595959596,0.603255834965681,0.162620361229687
MS,WA,2018,1,201,3.9,5.2,4.34545454545455,0.38043037829184,0.0875467397742729
MS,WA,2018,1,202,3.1,5.2,3.98181818181818,0.638464066049424,0.160344856770403
MS,WA,2019,1,new,2.1,3.3,2.79292929292929,0.198855877332684,0.0711997535476878
MS,WA,2019,1,201,2.5,3,2.80909090909091,0.175809814598306,0.0625860181417919
MS,WA,2019,1,202,2.6,3.4,2.98181818181818,0.248266718744909,0.0832601800668902
MS,WA,2019,2,new,0.9,3,2.18333333333333,0.429348461651888,0.196648150374911
MS,WA,2019,2,201,1.6,2.7,2.18181818181818,0.348764051525331,0.159850190282443
MS,WA,2019,2,202,1.5,2.8,2.30909090909091,0.388470193076755,0.168235122985996
MS,WA,2020,1,new,2.6,4.5,3.49343434343434,0.34696783295746,0.0993199810981307
MS,WA,2020,1,201,2.9,4.1,3.47272727272727,0.360807175901226,0.103897354317107
MS,WA,2020,1,202,3.1,3.9,3.46363636363636,0.233549683248457,0.0674290424076909
MS,WA,2020,2,new,1,3.6,2.80293847566667,0.422730281252713,0.150816824886664
MS,WA,2020,2,201,2.4,3.2,2.83636363636364,0.276668492144398,0.097543378640653
MS,WA,2020,2,202,2.4,3.4,2.96363636363636,0.313919503289386,0.105923758778627
MS,WA,2020,3,new,2.1,4.8,3.75018365472727,0.426527061538491,0.113734979619154
MS,WA,2020,3,201,3.4,4.2,3.75454545454545,0.280583806958407,0.0747317645651932
MS,WA,2020,3,202,2.8,4.2,3.64545454545455,0.395887954764063,0.1085976933268
MS,WA,2020,4,new,2.7,4.7,3.92399755127273,0.34158267018782,0.0870496644619541
MS,WA,2020,4,201,3.5,4.3,3.84545454545455,0.284125452445346,0.0738860514633288
MS,WA,2020,4,202,3.5,4.3,3.95454545454545,0.258316226217543,0.0653213445607579
MS,WA,2020,5,new,0.4,3.3,1.93877699146707,0.592459652326337,0.305584218780121
MS,WA,2020,5,201,1,2.5,1.63,0.51218486246016,0.314223842000098
MS,WA,2020,5,202,1.3,2.7,2.13636363636364,0.458852323242952,0.214781938539254
Yi,ID,2018,1,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,ID,2018,1,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,ID,2018,1,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,ID,2018,2,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,ID,2018,2,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,ID,2018,2,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,ID,2018,3,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,ID,2018,3,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,ID,2018,3,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,ID,2019,1,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,ID,2019,1,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,ID,2019,1,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,ID,2019,2,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,ID,2019,2,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,ID,2019,2,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,ID,2019,3,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,ID,2019,3,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,ID,2019,3,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,ID,2019,4,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,ID,2019,4,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,ID,2019,4,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2018,1,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2018,1,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2018,1,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2018,2,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2018,2,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2018,2,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2018,3,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2018,3,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2018,3,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2019,1,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2019,1,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2019,1,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2019,2,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2019,2,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2019,2,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2019,3,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2019,3,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2019,3,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2019,4,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2019,4,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2019,4,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2020,1,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2020,1,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2020,1,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2020,2,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2020,2,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2020,2,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2020,3,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2020,3,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2020,3,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,OR,2020,4,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,OR,2020,4,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,OR,2020,4,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2018,1,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2018,1,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2018,1,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2018,2,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2018,2,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2018,2,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2018,3,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2018,3,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2018,3,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2019,1,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2019,1,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2019,1,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2019,2,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2019,2,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2019,2,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2019,3,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2019,3,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2019,3,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2019,4,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2019,4,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2019,4,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2019,5,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2019,5,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2019,5,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2020,1,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2020,1,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2020,1,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2020,2,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2020,2,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2020,2,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2020,3,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2020,3,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2020,3,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2020,4,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2020,4,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2020,4,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
Yi,WA,2020,5,new,1.22,4.17,3.10841836734694,0.522087573427655,0.167959235768273
Yi,WA,2020,5,201,2.87,4.19,3.40454545454545,0.394673628112232,0.115925498243913
Yi,WA,2020,5,202,0.91,3.84,2.51818181818182,1.08716896738104,0.431727748779476
