"gen","ID","OR","WA","all"
"1",3.97152260442254,5.15877140618612,3.39643077939561,4.23387559445253
"2",4.23064792686615,5.16501319036456,3.13020315065225,4.15947099284523
"3",3.31618442718462,4.74065827272369,3.94145799177939,4.19464760295627
"4",2.41557838096414,1.92716875405754,2.0733515015009,2.05959130680563
"5",3.813216855743,4.61041134201115,2.53520367340718,3.60715170028542
"6",3.1850643978828,3.94719962047807,2.51772920360739,3.22569298144845
"7",3.1795295843455,0.697789602155414,2.73082785651555,1.92362599433691
"8",2.47274562380905,0.388775263227735,1.53263211262795,1.11738927312469
"9",2.55873547456923,0.301546392050762,1.4378363859295,1.11098340121572
"10",2.63716297218162,2.34808038631549,2.4384664153206,2.4281147681557
"11",2.67417977275963,0.892249317373232,1.92259720657117,1.58838847779898
"12",2.39968966352447,0.222037661843691,1.2530793384675,0.928660220998424
"13",2.88879452815547,1.54164717622589,1.69336445068244,1.79911848698292
"14",3.06671378805852,2.4767361915446,2.62742115301058,2.625597974532
"15",2.75959550133833,2.7516212576047,2.37133667104575,2.58978132675567
"16",2.25948767075557,0.50609097842639,2.22467255613306,1.37118428638347
"17",3.00743301030078,2.18217524610592,1.92148400573304,2.23282112668077
"18",4.36053876676757,2.59265265524198,2.38734066692706,2.81886301105794
"19",1.84091514887097,2.15242996763674,3.94672397837874,2.87691099813106
"20",2.9049975416323,3.32073664196068,1.87362941455575,2.6411565301688
"21",3.09346145684828,2.57046127402007,1.92862002728078,2.37010076582155
"22",3.88185750830567,2.48923431241777,2.55315324148297,2.71557431000112
"23",2.66658937855106,2.35284655154006,2.31625936970825,2.38198673461372
"24",2.82265392846861,1.07206738916766,2.07860652923657,1.75352509766876
"25",5.49271762951477,4.43699520561097,7.18492946038779,5.76549880393015
"26",3.84119741150141,3.68385784032108,3.12939274926823,3.46870702575276
"27",2.42755521741174,0.377544159990837,1.8271090939225,1.20240098087154
"28",2.07412388483423,0.259010282836621,1.02507418518634,0.816883850619464
"29",3.12989219539634,0.322588745040759,1.60525403664281,1.27334579149244
"30",2.77786607627182,2.12933867964937,2.03628416775978,2.20640840845658
"31",2.67424446598345,0.794646832538432,1.82131934035519,1.45013727405152
"32",3.25190752584485,2.36920918131647,4.41649211189063,3.37271591506659
"33",2.56084678717419,0.444966946530344,1.32895583305682,1.12608787513367
"34",5.59737646953879,5.00256101625232,6.72575482243722,5.8260462836582
"35",3.27915829703272,2.31244389848442,5.09878859367617,3.64469368193064
"36",3.06689590593969,1.62553738589188,2.14877796641271,2.05569170897906
"37",2.66744273416881,0.80098445660977,1.36953764257321,1.31128700453111
"38",2.70122528909013,1.24685312770973,1.70651110240222,1.6424678128373
"39",2.47514455165265,0.278100698771964,1.50777197572572,1.11896608216367
"40",2.42895942587156,1.01330290528771,2.32156423099999,1.77622297639066
"41",3.20005586057453,2.73785089584392,2.35973018177719,2.64182844191969
"42",2.41609425443181,0.244601893871969,0.9871816675874,0.873063562687132
"43",2.28058700423445,0.461764189893919,2.05196394685607,1.4031102020692
"44",2.58594621341791,4.23187151305322,3.36450916041192,3.62501260483048
"45",2.66782503762864,1.98477122173666,1.89842379340841,2.0698310482759
"46",2.61681693146111,-0.366743935148695,1.61464725996667,0.908646700845005
"47",3.1718746731663,2.92040814602342,1.9063338556549,2.52172866831446
"48",2.71240433746228,2.28727750467577,1.90525267149123,2.23079036574534
"49",2.9143943125673,2.20639436614424,2.14923074659432,2.28303852154042
"50",2.97983540517017,2.12038110068198,2.32199420170297,2.32956590176072
"51",2.73997412470217,2.08281576364366,2.03503592614664,2.17641554465441
"52",2.52672335258222,0.179533169698067,1.94814953127997,1.27282449364519
"53",2.9870343609083,3.26230982177512,2.095752150193,2.72303146811609
"54",4.7512448475272,5.17751491540936,3.7008769229474,4.48377433751393
"55",3.03159666440287,5.38703101485058,3.02817642262283,4.03960271097473
"56",3.71307408902195,6.0931533805212,3.59301260542568,5.11710936720225
"57",3.09032309952994,0.480853469481005,2.21496743348191,1.49380306248946
"58",2.74784716091985,2.22448966416263,1.8417077348149,2.13520562255035
"59",2.92129619236532,1.64098556788482,2.97737091464757,2.39662366285179
"60",4.44105362639199,3.45793985087975,3.23493309081173,3.50281035020948
"61",4.65152391877435,5.25565325061637,6.39484076591091,5.65757228119373
"62",2.53016603762777,3.11010543459094,2.24202167790869,2.72408761620299
"63",2.4906229784754,2.31624665726078,2.0668551533112,2.23427548717019
"64",3.01353165378341,3.95957301058647,2.65868670867525,3.26690154450979
"65",4.44664821264088,4.11535347514017,2.75222798025061,3.57848465411617
"66",4.25744870830838,6.33347180621606,3.33775556509811,4.75301868889298
