"","env","component","Estimate","SE"
"1","ID_2019_4","VG",0.691924632005189,0.563558084757153
"2","ID_2019_4","h2",0.445888519031291,0.588967042687901
"3","WA_2018_3","VG",2.41615870566178,0.95116002589952
"4","WA_2018_3","h2",0.62147483400898,0.458819571547567
"5","WA_2019_5","VG",3.64612851222701,1.21680286691397
"6","WA_2019_5","h2",0.686584636377814,0.163211816084313
