"score","component","gen","score_rotated"
1.03668777356034,"Comp1","1",1.03668777356034
0.991242647882094,"Comp1","2",0.991242647882094
0.872664192408137,"Comp1","3",0.872664192408137
-0.492799877544583,"Comp1","4",-0.492799877544583
0.600279352194506,"Comp1","5",0.600279352194506
0.352781857828326,"Comp1","6",0.352781857828326
-1.18941459025763,"Comp1","7",-1.18941459025763
-1.24140903788921,"Comp1","8",-1.24140903788921
-1.37131370415472,"Comp1","9",-1.37131370415472
-0.164545908228253,"Comp1","10",-0.164545908228253
-0.966768354669728,"Comp1","11",-0.966768354669728
-2.80597926130724,"Comp1","12",-2.80597926130724
0.000752445196276204,"Comp1","13",0.000752445196276204
-0.166221356292018,"Comp1","14",-0.166221356292018
0.386006900800233,"Comp1","15",0.386006900800233
-1.05217381199041,"Comp1","16",-1.05217381199041
-0.550543667631509,"Comp1","17",-0.550543667631509
0.146906974910363,"Comp1","18",0.146906974910363
-0.0686443739341384,"Comp1","19",-0.0686443739341384
0.661985511862343,"Comp1","20",0.661985511862343
-0.7256055035616,"Comp1","21",-0.7256055035616
-0.174110272436515,"Comp1","22",-0.174110272436515
0.110765337127196,"Comp1","23",0.110765337127196
-0.710568665016134,"Comp1","24",-0.710568665016134
-0.792458338642802,"Comp1","25",-0.792458338642802
-0.0985139418284584,"Comp1","26",-0.0985139418284584
-1.13602989785218,"Comp1","27",-1.13602989785218
-2.49864767508554,"Comp1","28",-2.49864767508554
-2.45142450760923,"Comp1","29",-2.45142450760923
-0.60021556161711,"Comp1","30",-0.60021556161711
-0.758441948187563,"Comp1","31",-0.758441948187563
-0.163341813827499,"Comp1","32",-0.163341813827499
-0.955161607797466,"Comp1","33",-0.955161607797466
0.489879546875835,"Comp1","34",0.489879546875835
-0.400086258927553,"Comp1","35",-0.400086258927553
-0.262283819094529,"Comp1","36",-0.262283819094529
-1.76211173400933,"Comp1","37",-1.76211173400933
-0.383336134557502,"Comp1","38",-0.383336134557502
-1.01830202423894,"Comp1","39",-1.01830202423894
-0.287923282276247,"Comp1","40",-0.287923282276247
0.524415839618654,"Comp1","41",0.524415839618654
-2.07394283251975,"Comp1","42",-2.07394283251975
-1.31177344945648,"Comp1","43",-1.31177344945648
0.375837987871956,"Comp1","44",0.375837987871956
-1.09260774700855,"Comp1","45",-1.09260774700855
-1.23486083515853,"Comp1","46",-1.23486083515853
0.545626347224899,"Comp1","47",0.545626347224899
-1.61825516121104,"Comp1","48",-1.61825516121104
-0.538739332864241,"Comp1","49",-0.538739332864241
-0.58938827019544,"Comp1","50",-0.58938827019544
-0.85528535434443,"Comp1","51",-0.85528535434443
-1.93476092234208,"Comp1","52",-1.93476092234208
0.127983873788198,"Comp1","53",0.127983873788198
0.0998226531162933,"Comp1","54",0.0998226531162933
-0.861775318928506,"Comp1","55",-0.861775318928506
0.65081673105013,"Comp1","56",0.65081673105013
-1.24493350356648,"Comp1","57",-1.24493350356648
0.212504158511137,"Comp1","58",0.212504158511137
-0.847631261499451,"Comp1","59",-0.847631261499451
0.902090360396544,"Comp1","60",0.902090360396544
0.349649905051336,"Comp1","61",0.349649905051336
-1.0109372124542,"Comp1","62",-1.0109372124542
-1.68398898993279,"Comp1","63",-1.68398898993279
0.252325170299444,"Comp1","64",0.252325170299444
0.217831957926434,"Comp1","65",0.217831957926434
1.36828347507286,"Comp1","66",1.36828347507286
0.719512844995867,"Comp1","67",0.719512844995867
-1.18744547735884,"Comp1","68",-1.18744547735884
1.484100247237,"Comp1","69",1.484100247237
1.07151863061417,"Comp1","70",1.07151863061417
-0.445270712045803,"Comp1","71",-0.445270712045803
-0.443199916054457,"Comp1","72",-0.443199916054457
0.866134521967757,"Comp1","73",0.866134521967757
-1.46388746778508,"Comp1","74",-1.46388746778508
-1.8771891886042,"Comp1","75",-1.8771891886042
-0.825488964519228,"Comp1","76",-0.825488964519228
-0.401179608180743,"Comp1","77",-0.401179608180743
-0.491355526842465,"Comp1","78",-0.491355526842465
