"score","component","gen","score_rotated"
0.903856628803186,"Comp1","1",0.903856628803186
0.763815024395085,"Comp1","2",0.763815024395085
0.894059624087202,"Comp1","3",0.894059624087202
-0.31090195433602,"Comp1","4",-0.31090195433602
0.93411771949395,"Comp1","5",0.93411771949395
-0.0282034773080925,"Comp1","6",-0.0282034773080925
0.526659718408473,"Comp1","7",0.526659718408473
-1.1569524539826,"Comp1","8",-1.1569524539826
-1.45364454560817,"Comp1","9",-1.45364454560817
-0.231203935518772,"Comp1","10",-0.231203935518772
-0.605607651866255,"Comp1","11",-0.605607651866255
-0.251036268049314,"Comp1","13",-0.251036268049314
0.750651884392188,"Comp1","14",0.750651884392188
-0.331060331388315,"Comp1","15",-0.331060331388315
-1.58819227025914,"Comp1","16",-1.58819227025914
-1.33696375476927,"Comp1","17",-1.33696375476927
-0.344978300422744,"Comp1","18",-0.344978300422744
-0.44476078679837,"Comp1","19",-0.44476078679837
-0.856347691335793,"Comp1","20",-0.856347691335793
-0.550340496452563,"Comp1","21",-0.550340496452563
-0.664278098631804,"Comp1","22",-0.664278098631804
-0.0640469054612651,"Comp1","23",-0.0640469054612651
-1.5092172126847,"Comp1","24",-1.5092172126847
-0.691887775761876,"Comp1","25",-0.691887775761876
-0.660738901984612,"Comp1","26",-0.660738901984612
0.538007123049678,"Comp1","27",0.538007123049678
-1.57096330322556,"Comp1","28",-1.57096330322556
-2.05834817420422,"Comp1","29",-2.05834817420422
-0.751220239610481,"Comp1","30",-0.751220239610481
-0.983601307530494,"Comp1","31",-0.983601307530494
0.243727299797417,"Comp1","32",0.243727299797417
-0.452790427416229,"Comp1","33",-0.452790427416229
0.268702941160975,"Comp1","34",0.268702941160975
-0.442898936935554,"Comp1","35",-0.442898936935554
-0.54530488286891,"Comp1","36",-0.54530488286891
-1.37032437574182,"Comp1","37",-1.37032437574182
0.133786286003438,"Comp1","38",0.133786286003438
-1.1765999022006,"Comp1","39",-1.1765999022006
0.497853812660267,"Comp1","40",0.497853812660267
-0.38404505221119,"Comp1","41",-0.38404505221119
-2.60960468905289,"Comp1","42",-2.60960468905289
-0.74261422007922,"Comp1","43",-0.74261422007922
1.28221235881307,"Comp1","44",1.28221235881307
-0.440553186285379,"Comp1","45",-0.440553186285379
-0.567458194360654,"Comp1","46",-0.567458194360654
0.530898590336468,"Comp1","47",0.530898590336468
0.401494522621203,"Comp1","48",0.401494522621203
-0.259673412549382,"Comp1","49",-0.259673412549382
0.00273633023617427,"Comp1","50",0.00273633023617427
-0.180217022859785,"Comp1","51",-0.180217022859785
-2.0434319684413,"Comp1","52",-2.0434319684413
-1.00470188345041,"Comp1","53",-1.00470188345041
0.693113376543234,"Comp1","54",0.693113376543234
-1.50832987961531,"Comp1","55",-1.50832987961531
0.411645648833541,"Comp1","56",0.411645648833541
