"gen","predicted.value","std.error","weight","lower_95","upper_95"
"1",3.5078643071613,0.466378945182753,5.80387790329093,2.74067094233567,4.27505767198693
"2",4.39622223641882,0.466378945182751,5.80387790329095,3.62902887159319,5.16341560124444
"3",3.1041632062014,0.466378945182751,5.80387790329095,2.33696984137578,3.87135657102703
"4",3.08087906471592,0.466378945182751,5.80387790329096,2.31368569989029,3.84807242954154
"5",3.39437168593874,0.466378945182751,5.80387790329096,2.62717832111311,4.16156505076436
"6",4.2041632062014,0.466378945182751,5.80387790329095,3.43696984137577,4.97135657102703
"7",3.68087906471591,0.466378945182751,5.80387790329096,2.91368569989029,4.44807242954154
"8",3.18087906471592,0.466378945182751,5.80387790329096,2.4136856998903,3.94807242954155
"9",3.49622223641882,0.466378945182751,5.80387790329095,2.72902887159319,4.26341560124444
"10",2.93670010008729,0.466378945182752,5.80387790329096,2.16950673526166,3.70389346491292
"11",3.48087906471592,0.466378945182751,5.80387790329096,2.7136856998903,4.24807242954155
"12",3.33299899912712,0.466378945182752,5.80387790329096,2.5658056343015,4.10019236395275
"13",3.73299899912712,0.466378945182751,5.80387790329096,2.9658056343015,4.50019236395275
"14",3.08087906471592,0.466378945182752,5.80387790329094,2.3136856998903,3.84807242954155
"15",2.5078643071615,0.466378945182751,5.80387790329095,1.74067094233588,3.27505767198713
"16",2.88087906471592,0.466378945182751,5.80387790329096,2.11368569989029,3.64807242954154
"17",2.98087906471592,0.466378945182752,5.80387790329095,2.2136856998903,3.74807242954155
"18",3.98087906471592,0.466378945182751,5.80387790329097,3.21368569989029,4.74807242954155
"19",3.79437168593874,0.466378945182751,5.80387790329096,3.02717832111311,4.56156505076437
"20",3.18087906471592,0.466378945182751,5.80387790329096,2.41368569989029,3.94807242954154
"21",2.9078643071615,0.466378945182751,5.80387790329096,2.14067094233588,3.67505767198713
"22",3.55204327179019,0.466378945182751,5.80387790329096,2.78484990696457,4.31923663661582
"23",3.28087906471592,0.466378945182752,5.80387790329095,2.5136856998903,4.04807242954155
"24",3.0041632062014,0.466378945182751,5.80387790329095,2.23696984137578,3.77135657102703
"25",3.99437168593874,0.466378945182751,5.80387790329096,3.22717832111311,4.76156505076436
"26",4.83299899912712,0.466378945182752,5.80387790329095,4.06580563430149,5.60019236395275
"27",3.38087906471592,0.466378945182751,5.80387790329097,2.6136856998903,4.14807242954155
"28",3.33670010008729,0.466378945182752,5.80387790329095,2.56950673526166,4.10389346491292
"29",4.43299899912712,0.466378945182752,5.80387790329095,3.6658056343015,5.20019236395275
"30",2.99622223641882,0.466378945182751,5.80387790329095,2.22902887159319,3.76341560124444
"31",3.28087906471591,0.466378945182751,5.80387790329096,2.51368569989029,4.04807242954154
"32",4.03299899912713,0.466378945182752,5.80387790329095,3.2658056343015,4.80019236395275
"33",3.73299899912712,0.466378945182752,5.80387790329095,2.9658056343015,4.50019236395275
"34",2.6041632062014,0.466378945182751,5.80387790329095,1.83696984137577,3.37135657102703
"35",4.9041632062014,0.466378945182752,5.80387790329095,4.13696984137577,5.67135657102703
"36",4.13299899912712,0.466378945182752,5.80387790329095,3.3658056343015,4.90019236395275
"37",4.63299899912712,0.466378945182752,5.80387790329095,3.8658056343015,5.40019236395275
"38",3.28087906471592,0.466378945182751,5.80387790329097,2.5136856998903,4.04807242954155
"39",3.29622223641882,0.466378945182752,5.80387790329095,2.52902887159319,4.06341560124444
"40",3.93299899912712,0.466378945182752,5.80387790329095,3.1658056343015,4.70019236395275
"41",4.19437168593874,0.466378945182751,5.80387790329096,3.42717832111311,4.96156505076436
"42",3.53670010008729,0.466378945182752,5.80387790329095,2.76950673526166,4.30389346491292
"43",3.6041632062014,0.466378945182752,5.80387790329095,2.83696984137577,4.37135657102703
"44",3.63670010008729,0.466378945182752,5.80387790329095,2.86950673526166,4.40389346491292
"45",3.48087906471592,0.466378945182751,5.80387790329097,2.71368569989029,4.24807242954155
"46",3.89437168593874,0.466378945182751,5.80387790329096,3.12717832111311,4.66156505076436
"47",3.83670010008729,0.466378945182752,5.80387790329095,3.06950673526166,4.60389346491292
"48",3.13670010008729,0.466378945182752,5.80387790329095,2.36950673526166,3.90389346491292
"49",2.8078643071615,0.466378945182751,5.80387790329096,2.04067094233588,3.57505767198713
"50",4.13299899912712,0.466378945182752,5.80387790329095,3.3658056343015,4.90019236395275
"51",4.08087906471592,0.466378945182751,5.80387790329097,3.31368569989029,4.84807242954154
"52",3.2041632062014,0.466378945182751,5.80387790329096,2.43696984137577,3.97135657102703
"53",4.05204327179019,0.466378945182752,5.80387790329095,3.28484990696457,4.81923663661582
"54",3.58087906471592,0.466378945182751,5.80387790329097,2.8136856998903,4.34807242954155
"55",3.58087906471592,0.466378945182751,5.80387790329096,2.81368569989029,4.34807242954154
"56",3.25204327179019,0.466378945182752,5.80387790329095,2.48484990696457,4.01923663661582
"57",3.0078643071615,0.466378945182751,5.80387790329096,2.24067094233588,3.77505767198713
"58",5.33670010008729,0.466378945182752,5.80387790329095,4.56950673526166,6.10389346491292
"59",3.3078643071615,0.466378945182751,5.80387790329096,2.54067094233588,4.07505767198713
"60",3.99622223641882,0.466378945182752,5.80387790329095,3.22902887159319,4.76341560124444
