gen,env,predicted.value,standard.error,upper.Confidence.limit,lower.Confidence.limit,est.status
43,OR,0.4,0.32,1.02,-0.22,Estimable
43,WA,1.9,0.37,2.63,1.18,Estimable
44,ID,3.28,0.3,3.87,2.68,Estimable
44,OR,3.99,0.31,4.59,3.38,Estimable
44,WA,3.3,0.38,4.05,2.55,Estimable
45,ID,2.86,0.32,3.49,2.23,Estimable
45,OR,2.06,0.32,2.68,1.44,Estimable
45,WA,2.02,0.42,2.84,1.2,Estimable
46,ID,2.47,0.28,3.03,1.92,Estimable
46,OR,-0.32,0.31,0.28,-0.93,Estimable
46,WA,1.33,0.29,1.9,0.76,Estimable
47,ID,2.98,0.3,3.56,2.4,Estimable
47,OR,2.71,0.32,3.33,2.08,Estimable
47,WA,2.2,0.27,2.73,1.68,Estimable
48,ID,2.94,0.32,3.57,2.31,Estimable
48,OR,2.13,0.32,2.76,1.51,Estimable
48,WA,2.57,0.28,3.12,2.01,Estimable
49,ID,2.86,0.32,3.48,2.23,Estimable
49,OR,1.91,0.3,2.49,1.32,Estimable
49,WA,2.09,0.39,2.85,1.34,Estimable
50,ID,2.88,0.32,3.5,2.25,Estimable
50,OR,1.98,0.3,2.57,1.38,Estimable
50,WA,2.55,0.31,3.16,1.94,Estimable
51,ID,2.89,0.32,3.52,2.25,Estimable
51,OR,2.33,0.31,2.94,1.72,Estimable
51,WA,2.03,0.28,2.59,1.48,Estimable
52,ID,2.38,0.31,2.99,1.77,Estimable
52,OR,0.22,0.32,0.85,-0.4,Estimable
52,WA,1.62,0.33,2.28,0.97,Estimable
53,ID,3.13,0.3,3.73,2.54,Estimable
53,OR,3.15,0.32,3.78,2.52,Estimable
53,WA,2.39,0.31,3,1.78,Estimable
54,ID,4.34,0.3,4.94,3.75,Estimable
54,OR,5.23,0.31,5.85,4.62,Estimable
54,WA,3.9,0.38,4.64,3.16,Estimable
55,ID,3.4,0.27,3.94,2.87,Estimable
55,OR,5.13,0.27,5.67,4.59,Estimable
55,WA,3.26,0.27,3.79,2.73,Estimable
56,ID,3.84,0.31,4.44,3.24,Estimable
56,OR,5.94,0.28,6.48,5.4,Estimable
56,WA,2.74,0.39,3.5,1.98,Estimable
57,ID,2.69,0.3,3.27,2.1,Estimable
57,OR,0.58,0.31,1.18,-0.03,Estimable
57,WA,2,0.42,2.81,1.18,Estimable
58,ID,2.75,0.32,3.37,2.13,Estimable
58,OR,2.12,0.3,2.7,1.54,Estimable
58,WA,2.12,0.35,2.82,1.43,Estimable
59,ID,2.96,0.32,3.58,2.33,Estimable
59,OR,1.74,0.31,2.35,1.13,Estimable
59,WA,2.89,0.31,3.5,2.28,Estimable
60,ID,3.91,0.27,4.45,3.37,Estimable
60,OR,3.58,0.3,4.17,2.99,Estimable
60,WA,3.34,0.35,4.03,2.65,Estimable
61,ID,4.41,0.3,5,3.82,Estimable
61,OR,5.22,0.31,5.82,4.61,Estimable
61,WA,5.68,0.37,6.42,4.95,Estimable
62,ID,2.81,0.28,3.36,2.27,Estimable
62,OR,3,0.31,3.61,2.38,Estimable
62,WA,2.36,0.42,3.17,1.54,Estimable
63,ID,2.71,0.31,3.33,2.1,Estimable
63,OR,1.98,0.3,2.57,1.39,Estimable
63,WA,2.23,0.35,2.92,1.55,Estimable
64,ID,3.41,0.31,4.02,2.79,Estimable
64,OR,3.85,0.31,4.47,3.24,Estimable
64,WA,2.8,0.35,3.49,2.11,Estimable
65,ID,3.92,0.27,4.46,3.38,Estimable
65,OR,4.21,0.31,4.82,3.6,Estimable
65,WA,2.75,0.27,3.28,2.23,Estimable
66,ID,4.29,0.32,4.91,3.67,Estimable
66,OR,6.19,0.31,6.79,5.59,Estimable
66,WA,3.49,0.38,4.24,2.73,Estimable
67,ID,3.48,0.32,4.11,2.86,Estimable
67,OR,4.3,0.32,4.92,3.67,Estimable
67,WA,3.53,0.27,4.05,3,Estimable
68,ID,2.7,0.32,3.32,2.08,Estimable
68,OR,1.32,0.31,1.93,0.72,Estimable
68,WA,2.99,0.31,3.59,2.38,Estimable
69,ID,3.98,0.32,4.61,3.35,Estimable
69,OR,5.03,0.32,5.65,4.42,Estimable
69,WA,3.71,0.37,4.44,2.99,Estimable
70,ID,3.56,0.3,4.15,2.96,Estimable
70,OR,4.44,0.32,5.07,3.82,Estimable
70,WA,3.74,0.37,4.47,3.02,Estimable
71,ID,2.83,0.31,3.44,2.22,Estimable
71,OR,1.85,0.32,2.48,1.22,Estimable
71,WA,2.14,0.37,2.87,1.41,Estimable
72,ID,2.99,0.3,3.58,2.4,Estimable
72,OR,3.21,0.31,3.82,2.61,Estimable
72,WA,2.21,0.42,3.03,1.39,Estimable
73,ID,3.93,0.3,4.52,3.35,Estimable
73,OR,4.86,0.31,5.48,4.24,Estimable
73,WA,2.96,0.35,3.65,2.28,Estimable
74,ID,2.79,0.32,3.41,2.17,Estimable
74,OR,0.01,0.32,0.65,-0.63,Estimable
74,WA,2.24,0.36,2.93,1.54,Estimable
75,ID,2.49,0.3,3.09,1.9,Estimable
75,OR,0.33,0.31,0.95,-0.28,Estimable
75,WA,1.75,0.35,2.43,1.07,Estimable
76,ID,2.96,0.28,3.5,2.41,Estimable
76,OR,1.18,0.31,1.79,0.56,Estimable
76,WA,2.76,0.31,3.37,2.15,Estimable
77,ID,2.47,0.27,3.01,1.94,Estimable
77,OR,1.97,0.31,2.58,1.35,Estimable
77,WA,2.35,0.38,3.09,1.6,Estimable
78,ID,2.79,0.32,3.41,2.16,Estimable
78,OR,0.86,0.28,1.41,0.32,Estimable
78,WA,2.53,0.37,3.25,1.81,Estimable
79,ID,2.62,0.31,3.23,2.01,Estimable
79,OR,0.81,0.31,1.42,0.21,Estimable
79,WA,1.92,0.38,2.66,1.18,Estimable
80,ID,3,0.28,3.54,2.46,Estimable
80,OR,3.16,0.32,3.8,2.53,Estimable
80,WA,2.96,0.37,3.68,2.23,Estimable
81,ID,2.82,0.32,3.46,2.19,Estimable
81,OR,2.25,0.32,2.89,1.62,Estimable
81,WA,2.19,0.42,3.01,1.37,Estimable
82,ID,3.07,0.32,3.69,2.45,Estimable
82,OR,2.4,0.31,3,1.8,Estimable
82,WA,2.64,0.27,3.16,2.11,Estimable
83,ID,3.38,0.28,3.93,2.83,Estimable
83,OR,2.49,0.31,3.1,1.89,Estimable
83,WA,2.64,0.42,3.45,1.82,Estimable
84,ID,3.16,0.28,3.7,2.62,Estimable
84,OR,2.84,0.32,3.46,2.21,Estimable
84,WA,3.16,0.36,3.87,2.45,Estimable
85,ID,2.48,0.32,3.1,1.86,Estimable
85,OR,0.29,0.31,0.9,-0.31,Estimable
85,WA,2.08,0.34,2.74,1.42,Estimable
86,ID,2.73,0.3,3.32,2.15,Estimable
86,OR,1.61,0.31,2.21,1,Estimable
86,WA,1.95,0.38,2.69,1.2,Estimable
87,ID,3.65,0.3,4.24,3.07,Estimable
87,OR,3.87,0.3,4.46,3.28,Estimable
87,WA,2.36,0.35,3.05,1.67,Estimable
88,ID,2.72,0.32,3.34,2.09,Estimable
88,OR,1.06,0.32,1.68,0.43,Estimable
88,WA,2.16,0.37,2.88,1.43,Estimable
89,ID,3.31,0.27,3.85,2.77,Estimable
89,OR,3.49,0.31,4.09,2.88,Estimable
89,WA,3.07,0.35,3.75,2.39,Estimable
90,ID,2.53,0.31,3.14,1.93,Estimable
90,OR,0.64,0.31,1.25,0.04,Estimable
90,WA,2.09,0.36,2.8,1.38,Estimable
91,ID,3.85,0.29,4.42,3.29,Estimable
91,OR,3.65,0.28,4.19,3.11,Estimable
91,WA,4,0.27,4.53,3.47,Estimable
92,ID,4.95,0.28,5.5,4.41,Estimable
92,OR,6.12,0.31,6.72,5.51,Estimable
92,WA,3.49,0.38,4.24,2.74,Estimable
93,ID,2.9,0.31,3.51,2.3,Estimable
93,OR,1.86,0.32,2.48,1.23,Estimable
93,WA,2.24,0.38,2.98,1.5,Estimable
94,ID,3.11,0.32,3.73,2.48,Estimable
94,OR,2.82,0.28,3.37,2.28,Estimable
94,WA,2.96,0.37,3.68,2.23,Estimable
95,ID,3.28,0.29,3.85,2.71,Estimable
95,OR,2.18,0.32,2.82,1.55,Estimable
95,WA,2.63,0.37,3.35,1.9,Estimable
96,ID,3.06,0.32,3.69,2.43,Estimable
96,OR,2.92,0.32,3.54,2.3,Estimable
96,WA,2.57,0.38,3.33,1.82,Estimable
97,ID,2.65,0.3,3.24,2.06,Estimable
97,OR,0.15,0.28,0.69,-0.39,Estimable
97,WA,2.01,0.42,2.83,1.19,Estimable
98,ID,4.04,0.31,4.64,3.43,Estimable
98,OR,4.54,0.32,5.17,3.91,Estimable
98,WA,4.63,0.38,5.38,3.89,Estimable
99,ID,2.72,0.31,3.32,2.12,Estimable
99,OR,0.59,0.3,1.18,-0.01,Estimable
99,WA,4.03,0.27,4.56,3.51,Estimable
100,ID,2.72,0.32,3.35,2.08,Estimable
100,OR,1.18,0.31,1.78,0.58,Estimable
100,WA,2.32,0.42,3.14,1.5,Estimable
101,ID,3.04,0.32,3.67,2.41,Estimable
101,OR,2.57,0.31,3.17,1.97,Estimable
101,WA,3.06,0.38,3.8,2.32,Estimable
102,ID,3.99,0.31,4.6,3.38,Estimable
102,OR,4.38,0.3,4.97,3.79,Estimable
102,WA,3.23,0.25,3.73,2.74,Estimable
103,ID,3.49,0.32,4.11,2.86,Estimable
103,OR,3.06,0.31,3.66,2.46,Estimable
103,WA,3.48,0.35,4.18,2.79,Estimable
104,ID,4.46,0.32,5.08,3.84,Estimable
104,OR,4.63,0.31,5.24,4.03,Estimable
104,WA,4.61,0.27,5.13,4.08,Estimable
105,OR,3.26,0.3,3.85,2.67,Estimable
105,WA,2.98,0.26,3.49,2.48,Estimable
106,ID,3.11,0.3,3.69,2.53,Estimable
106,OR,3.39,0.3,3.98,2.8,Estimable
106,WA,3.52,0.35,4.21,2.84,Estimable
107,ID,4.61,0.29,5.18,4.03,Estimable
107,OR,4.57,0.3,5.16,3.98,Estimable
107,WA,5.46,0.34,6.12,4.8,Estimable
108,ID,3.58,0.28,4.12,3.04,Estimable
108,OR,4.24,0.3,4.84,3.65,Estimable
108,WA,3.33,0.31,3.94,2.73,Estimable
109,ID,3.13,0.31,3.74,2.52,Estimable
109,OR,2.21,0.31,2.82,1.59,Estimable
109,WA,2.51,0.35,3.2,1.82,Estimable
110,ID,5.14,0.29,5.71,4.57,Estimable
110,OR,6.31,0.28,6.85,5.77,Estimable
110,WA,5.88,0.36,6.59,5.17,Estimable
111,ID,2.93,0.29,3.5,2.36,Estimable
111,OR,2.33,0.32,2.97,1.7,Estimable
111,WA,2.07,0.27,2.59,1.54,Estimable
112,ID,2.8,0.31,3.42,2.19,Estimable
112,OR,1.12,0.28,1.66,0.58,Estimable
112,WA,1.92,0.38,2.66,1.17,Estimable
113,ID,3.33,0.3,3.91,2.74,Estimable
113,OR,2.92,0.32,3.54,2.29,Estimable
113,WA,2.43,0.32,3.06,1.8,Estimable
114,ID,3.26,0.31,3.86,2.65,Estimable
114,OR,3.73,0.31,4.35,3.11,Estimable
114,WA,2.35,0.34,3.01,1.69,Estimable
115,ID,2.83,0.28,3.37,2.29,Estimable
115,OR,2.73,0.31,3.33,2.13,Estimable
115,WA,2.17,0.37,2.89,1.45,Estimable
116,ID,2.75,0.32,3.37,2.13,Estimable
116,OR,1.05,0.28,1.59,0.51,Estimable
116,WA,2.3,0.35,2.99,1.6,Estimable
117,ID,3.27,0.3,3.86,2.68,Estimable
117,OR,2.61,0.32,3.25,1.98,Estimable
117,WA,2.55,0.38,3.3,1.8,Estimable
118,ID,3.07,0.28,3.61,2.53,Estimable
118,OR,3.4,0.31,4,2.8,Estimable
118,WA,2.52,0.38,3.27,1.78,Estimable
119,ID,3.32,0.3,3.9,2.73,Estimable
119,OR,2.72,0.31,3.32,2.12,Estimable
119,WA,2.77,0.37,3.49,2.05,Estimable
120,ID,3.17,0.31,3.77,2.56,Estimable
120,OR,2.58,0.31,3.18,1.98,Estimable
120,WA,2.32,0.37,3.05,1.6,Estimable
121,ID,3.41,0.32,4.03,2.79,Estimable
121,OR,3.03,0.3,3.61,2.44,Estimable
121,WA,3.63,0.35,4.31,2.94,Estimable
122,ID,3.2,0.32,3.82,2.57,Estimable
122,OR,2.92,0.32,3.55,2.28,Estimable
122,WA,2.43,0.35,3.12,1.74,Estimable
123,ID,3.43,0.32,4.06,2.81,Estimable
123,OR,2.38,0.32,3,1.75,Estimable
123,WA,4.2,0.34,4.87,3.54,Estimable
124,ID,2.69,0.28,3.23,2.15,Estimable
124,OR,0.58,0.31,1.18,-0.03,Estimable
124,WA,2.09,0.37,2.82,1.36,Estimable
125,ID,2.5,0.3,3.09,1.9,Estimable
125,OR,0.11,0.28,0.65,-0.43,Estimable
125,WA,1.58,0.27,2.11,1.05,Estimable
126,ID,2.53,0.32,3.16,1.9,Estimable
126,OR,0.5,0.31,1.11,-0.12,Estimable
126,WA,2.36,0.38,3.12,1.61,Estimable
127,ID,2.78,0.31,3.39,2.18,Estimable
127,OR,1.94,0.31,2.54,1.33,Estimable
127,WA,2.13,0.37,2.85,1.41,Estimable
128,ID,2.86,0.28,3.4,2.32,Estimable
128,OR,1.69,0.31,2.3,1.09,Estimable
128,WA,2.38,0.37,3.1,1.66,Estimable
129,ID,3.04,0.31,3.64,2.43,Estimable
129,OR,2.31,0.31,2.92,1.71,Estimable
129,WA,2.29,0.42,3.11,1.47,Estimable
130,ID,2.9,0.28,3.44,2.35,Estimable
130,OR,2.22,0.3,2.81,1.63,Estimable
130,WA,2.54,0.42,3.36,1.72,Estimable
131,ID,3.46,0.32,4.09,2.84,Estimable
131,OR,4.34,0.3,4.94,3.75,Estimable
131,WA,2.67,0.36,3.37,1.97,Estimable
132,ID,2.54,0.32,3.16,1.91,Estimable
132,OR,1.07,0.3,1.67,0.48,Estimable
132,WA,1.68,0.37,2.41,0.96,Estimable
133,ID,2.98,0.31,3.58,2.38,Estimable
133,OR,1.23,0.3,1.82,0.64,Estimable
133,WA,2.87,0.31,3.49,2.26,Estimable
134,ID,3.2,0.31,3.8,2.6,Estimable
134,OR,2.98,0.32,3.61,2.36,Estimable
134,WA,2.4,0.26,2.9,1.9,Estimable
135,ID,2.6,0.32,3.22,1.97,Estimable
135,OR,1.55,0.31,2.17,0.93,Estimable
135,WA,1.88,0.36,2.59,1.17,Estimable
136,ID,2.33,0.27,2.87,1.8,Estimable
136,OR,0.3,0.31,0.9,-0.3,Estimable
136,WA,1.12,0.35,1.81,0.43,Estimable
137,ID,2.33,0.3,2.91,1.74,Estimable
137,OR,1.13,0.32,1.76,0.5,Estimable
137,WA,1.66,0.38,2.4,0.91,Estimable
138,ID,2.81,0.32,3.44,2.19,Estimable
138,OR,1.46,0.28,2,0.91,Estimable
138,WA,1.75,0.32,2.38,1.12,Estimable
139,ID,2.87,0.32,3.49,2.25,Estimable
139,OR,2.21,0.32,2.83,1.59,Estimable
139,WA,1.94,0.35,2.63,1.25,Estimable
140,ID,2.69,0.31,3.3,2.08,Estimable
140,OR,1.47,0.31,2.08,0.85,Estimable
140,WA,1.94,0.38,2.67,1.2,Estimable
141,ID,3.88,0.31,4.5,3.27,Estimable
141,OR,6.22,0.31,6.84,5.6,Estimable
141,WA,2.73,0.37,3.45,2,Estimable
142,ID,2.54,0.3,3.13,1.94,Estimable
142,OR,0.48,0.32,1.12,-0.15,Estimable
142,WA,0.69,0.66,1.98,-0.6,Estimable
143,ID,2.99,0.3,3.57,2.4,Estimable
143,OR,1.91,0.32,2.52,1.29,Estimable
143,WA,3.03,0.32,3.65,2.41,Estimable
144,ID,3.1,0.32,3.74,2.47,Estimable
144,OR,3.6,0.3,4.19,3.01,Estimable
144,WA,2.39,0.35,3.08,1.71,Estimable
145,ID,3.68,0.3,4.27,3.1,Estimable
145,OR,3.09,0.32,3.71,2.47,Estimable
145,WA,3.43,0.35,4.12,2.74,Estimable
146,ID,4.19,0.32,4.81,3.57,Estimable
146,OR,4.53,0.28,5.07,3.99,Estimable
146,WA,5,0.37,5.72,4.28,Estimable
147,ID,3.73,0.32,4.35,3.11,Estimable
147,OR,3.91,0.3,4.5,3.32,Estimable
147,WA,3.37,0.37,4.1,2.64,Estimable
148,ID,3.14,0.3,3.74,2.54,Estimable
148,OR,2.46,0.32,3.09,1.82,Estimable
148,WA,3.28,0.26,3.78,2.78,Estimable
149,ID,3.39,0.28,3.94,2.85,Estimable
149,OR,2.22,0.31,2.82,1.61,Estimable
149,WA,2.73,0.38,3.47,1.99,Estimable
150,ID,3.45,0.3,4.04,2.85,Estimable
150,OR,2.94,0.32,3.56,2.31,Estimable
150,WA,2.88,0.27,3.4,2.35,Estimable
151,ID,3.58,0.3,4.17,3,Estimable
151,OR,4.12,0.32,4.74,3.5,Estimable
151,WA,3.1,0.31,3.71,2.49,Estimable
152,ID,2.7,0.31,3.31,2.08,Estimable
152,OR,0.56,0.3,1.16,-0.03,Estimable
152,WA,2.58,0.31,3.19,1.98,Estimable
153,ID,3.15,0.32,3.77,2.53,Estimable
153,OR,2.52,0.31,3.12,1.91,Estimable
153,WA,2.89,0.26,3.39,2.39,Estimable
154,ID,3.2,0.32,3.83,2.57,Estimable
154,OR,2.87,0.3,3.46,2.28,Estimable
154,WA,3.08,0.38,3.83,2.32,Estimable
155,ID,4.28,0.28,4.83,3.74,Estimable
155,OR,4.47,0.31,5.08,3.86,Estimable
155,WA,3.75,0.38,4.49,3.01,Estimable
156,ID,4.01,0.27,4.55,3.47,Estimable
156,OR,4.62,0.31,5.22,4.02,Estimable
156,WA,5.56,0.31,6.17,4.94,Estimable
157,ID,3.82,0.28,4.37,3.28,Estimable
157,OR,3.94,0.32,4.56,3.31,Estimable
157,WA,3.61,0.37,4.33,2.89,Estimable
158,ID,3.86,0.3,4.45,3.26,Estimable
158,OR,3.67,0.31,4.28,3.05,Estimable
158,WA,5.08,0.34,5.75,4.41,Estimable
159,ID,3.53,0.31,4.14,2.93,Estimable
159,OR,3.16,0.32,3.79,2.52,Estimable
159,WA,4.21,0.36,4.92,3.5,Estimable
160,ID,4.33,0.27,4.87,3.8,Estimable
160,OR,4.57,0.3,5.16,3.98,Estimable
160,WA,4.62,0.38,5.37,3.87,Estimable
161,ID,3.34,0.31,3.96,2.72,Estimable
161,OR,2.75,0.31,3.36,2.13,Estimable
161,WA,3.36,0.36,4.06,2.66,Estimable
162,ID,4.25,0.3,4.83,3.66,Estimable
162,OR,4.36,0.31,4.97,3.75,Estimable
162,WA,5.11,0.27,5.63,4.58,Estimable
163,ID,3.23,0.27,3.77,2.69,Estimable
163,OR,2.33,0.31,2.94,1.73,Estimable
163,WA,3.21,0.37,3.93,2.48,Estimable
164,ID,3.12,0.32,3.74,2.5,Estimable
164,OR,1.75,0.32,2.37,1.13,Estimable
164,WA,3.28,0.37,4.01,2.55,Estimable
165,ID,4.13,0.27,4.66,3.59,Estimable
165,OR,4,0.3,4.59,3.41,Estimable
165,WA,3.69,0.27,4.22,3.17,Estimable
166,ID,5.07,0.32,5.7,4.44,Estimable
166,OR,5.15,0.33,5.79,4.52,Estimable
166,WA,5.89,0.38,6.64,5.14,Estimable
167,ID,3.52,0.28,4.06,2.98,Estimable
167,OR,3.94,0.32,4.57,3.32,Estimable
167,WA,3.03,0.27,3.56,2.5,Estimable
168,ID,4.78,0.31,5.39,4.16,Estimable
168,OR,5.17,0.32,5.8,4.55,Estimable
168,WA,5.35,0.38,6.1,4.61,Estimable
169,ID,3.77,0.3,4.35,3.19,Estimable
169,OR,3.42,0.3,4.01,2.83,Estimable
169,WA,2.87,0.38,3.6,2.13,Estimable
170,ID,3.66,0.31,4.27,3.05,Estimable
170,OR,3.92,0.3,4.5,3.33,Estimable
170,WA,3.97,0.38,4.72,3.22,Estimable
171,ID,3.33,0.31,3.94,2.71,Estimable
171,OR,3.3,0.32,3.93,2.68,Estimable
171,WA,2.64,0.38,3.39,1.89,Estimable
172,ID,3.24,0.3,3.82,2.66,Estimable
172,OR,2.71,0.31,3.31,2.11,Estimable
172,WA,2.97,0.35,3.66,2.27,Estimable
173,ID,3.54,0.32,4.17,2.92,Estimable
173,OR,2.93,0.32,3.56,2.31,Estimable
173,WA,2.78,0.37,3.51,2.06,Estimable
174,ID,3.3,0.32,3.93,2.68,Estimable
174,OR,3.51,0.31,4.12,2.9,Estimable
174,WA,3.2,0.38,3.93,2.46,Estimable
175,ID,3.3,0.32,3.93,2.68,Estimable
175,OR,2.89,0.31,3.49,2.29,Estimable
175,WA,2.95,0.38,3.7,2.2,Estimable
176,ID,3.02,0.28,3.56,2.47,Estimable
176,OR,2.39,0.32,3.02,1.75,Estimable
176,WA,3.29,0.35,3.98,2.6,Estimable
177,ID,3.54,0.31,4.14,2.94,Estimable
177,OR,3.49,0.3,4.08,2.9,Estimable
177,WA,3.68,0.31,4.29,3.08,Estimable
178,ID,3.74,0.32,4.37,3.12,Estimable
178,OR,3.41,0.31,4.02,2.81,Estimable
178,WA,3.9,0.38,4.65,3.14,Estimable
179,ID,3.07,0.28,3.61,2.53,Estimable
179,OR,2.82,0.31,3.42,2.22,Estimable
179,WA,3.32,0.37,4.05,2.59,Estimable
180,ID,3.39,0.28,3.94,2.85,Estimable
180,OR,3.99,0.3,4.58,3.4,Estimable
180,WA,2.78,0.38,3.52,2.03,Estimable
181,ID,3.74,0.3,4.34,3.15,Estimable
181,OR,4.02,0.32,4.64,3.4,Estimable
181,WA,4.77,0.33,5.42,4.12,Estimable
182,ID,3.46,0.32,4.08,2.83,Estimable
182,OR,3.96,0.32,4.59,3.33,Estimable
182,WA,2.94,0.38,3.69,2.19,Estimable
183,ID,3.57,0.31,4.19,2.96,Estimable
183,OR,3.78,0.32,4.4,3.15,Estimable
183,WA,3.67,0.42,4.49,2.85,Estimable
184,ID,3.58,0.32,4.2,2.96,Estimable
184,OR,3.94,0.3,4.54,3.35,Estimable
184,WA,3.31,0.3,3.9,2.71,Estimable
185,ID,3.86,0.27,4.39,3.33,Estimable
185,OR,3.39,0.3,3.97,2.8,Estimable
185,WA,4.25,0.35,4.94,3.56,Estimable
186,ID,3.73,0.3,4.31,3.15,Estimable
186,OR,3.62,0.32,4.25,2.98,Estimable
186,WA,3.59,0.35,4.28,2.91,Estimable
187,ID,3.75,0.28,4.3,3.21,Estimable
187,OR,4.29,0.31,4.89,3.68,Estimable
187,WA,4.16,0.38,4.9,3.41,Estimable
188,ID,4.2,0.28,4.74,3.66,Estimable
188,OR,3.99,0.31,4.6,3.37,Estimable
188,WA,5.08,0.33,5.73,4.42,Estimable
189,ID,3.25,0.29,3.81,2.69,Estimable
189,OR,3.94,0.31,4.55,3.32,Estimable
189,WA,4.03,0.35,4.71,3.35,Estimable
190,ID,3.91,0.31,4.51,3.31,Estimable
190,OR,4.46,0.32,5.1,3.83,Estimable
190,WA,3.18,0.27,3.7,2.65,Estimable
191,ID,3.48,0.31,4.1,2.87,Estimable
191,OR,3.19,0.31,3.79,2.58,Estimable
191,WA,3.41,0.38,4.15,2.67,Estimable
192,ID,3.97,0.32,4.59,3.35,Estimable
192,OR,4.07,0.31,4.67,3.46,Estimable
192,WA,4.67,0.27,5.2,4.14,Estimable
193,ID,4.24,0.28,4.79,3.7,Estimable
193,OR,4.73,0.31,5.33,4.13,Estimable
193,WA,5.13,0.37,5.86,4.39,Estimable
194,ID,3.22,0.27,3.74,2.69,Estimable
194,OR,4.24,0.3,4.83,3.65,Estimable
194,WA,3.82,0.31,4.43,3.21,Estimable
195,ID,3.57,0.31,4.18,2.96,Estimable
195,OR,3.37,0.31,3.98,2.75,Estimable
195,WA,4.43,0.34,5.1,3.76,Estimable
196,ID,3.75,0.31,4.37,3.13,Estimable
196,OR,4.1,0.3,4.69,3.51,Estimable
196,WA,3.78,0.33,4.44,3.13,Estimable
197,ID,4.05,0.32,4.67,3.43,Estimable
197,OR,4.94,0.29,5.52,4.36,Estimable
197,WA,4.39,0.37,5.11,3.66,Estimable
198,ID,4.08,0.28,4.62,3.54,Estimable
198,OR,4.04,0.32,4.67,3.41,Estimable
198,WA,3.23,0.38,3.98,2.49,Estimable
201,ID,2.75,0.17,3.08,2.41,Estimable
201,OR,2.33,0.13,2.58,2.07,Estimable
201,WA,2.52,0.14,2.79,2.25,Estimable
202,ID,3.65,0.17,3.98,3.32,Estimable
202,OR,3.71,0.13,3.96,3.45,Estimable
202,WA,3.37,0.13,3.63,3.1,Estimable
1,all,4.12,0.24,4.59,3.66,Estimable
2,all,4.06,0.23,4.5,3.62,Estimable
3,all,4.15,0.24,4.61,3.68,Estimable
4,all,2.09,0.18,2.45,1.73,Estimable
5,all,3.42,0.22,3.85,2.99,Estimable
6,all,3.31,0.23,3.76,2.86,Estimable
7,all,2.15,0.2,2.53,1.76,Estimable
8,all,0.96,0.21,1.37,0.55,Estimable
9,all,1.1,0.23,1.56,0.65,Estimable
10,all,2.37,0.23,2.82,1.92,Estimable
11,all,1.63,0.22,2.07,1.2,Estimable
12,all,1,0.23,1.45,0.55,Estimable
13,all,1.94,0.23,2.38,1.49,Estimable
14,all,2.63,0.19,3.01,2.25,Estimable
15,all,2.42,0.2,2.81,2.03,Estimable
16,all,1.45,0.21,1.85,1.05,Estimable
17,all,2.15,0.22,2.58,1.71,Estimable
18,all,2.71,0.22,3.14,2.28,Estimable
19,all,2.9,0.19,3.27,2.52,Estimable
20,all,2.63,0.22,3.07,2.19,Estimable
21,all,2.41,0.23,2.86,1.96,Estimable
22,all,2.54,0.21,2.95,2.13,Estimable
23,all,2.33,0.21,2.74,1.93,Estimable
24,all,1.68,0.24,2.15,1.21,Estimable
25,all,5.43,0.22,5.87,5,Estimable
26,all,3.34,0.24,3.81,2.87,Estimable
27,all,1.43,0.23,1.88,0.98,Estimable
28,all,0.94,0.21,1.35,0.54,Estimable
29,all,1.46,0.21,1.88,1.04,Estimable
30,all,2.26,0.19,2.64,1.88,Estimable
31,all,1.45,0.24,1.91,0.98,Estimable
32,all,3.48,0.19,3.85,3.1,Estimable
33,all,1.13,0.23,1.58,0.69,Estimable
34,all,5.4,0.19,5.77,5.03,Estimable
35,all,3.41,0.22,3.84,2.98,Estimable
36,all,2.08,0.23,2.53,1.62,Estimable
37,all,1.57,0.23,2.02,1.11,Estimable
38,all,1.61,0.2,2.01,1.2,Estimable
39,all,1.12,0.23,1.58,0.66,Estimable
40,all,1.82,0.19,2.19,1.45,Estimable
41,all,2.53,0.23,2.97,2.08,Estimable
42,all,0.92,0.21,1.33,0.52,Estimable
43,all,1.33,0.23,1.77,0.88,Estimable
44,all,3.59,0.23,4.05,3.13,Estimable
45,all,2.18,0.24,2.65,1.71,Estimable
46,all,0.78,0.2,1.17,0.39,Estimable
47,all,2.53,0.2,2.92,2.14,Estimable
48,all,2.41,0.21,2.82,2,Estimable
49,all,2.12,0.23,2.58,1.67,Estimable
50,all,2.35,0.21,2.76,1.94,Estimable
51,all,2.32,0.21,2.73,1.92,Estimable
52,all,1.13,0.22,1.56,0.7,Estimable
53,all,2.82,0.21,3.24,2.41,Estimable
54,all,4.53,0.23,4.99,4.08,Estimable
55,all,4.08,0.18,4.43,3.73,Estimable
56,all,4.88,0.21,5.28,4.48,Estimable
57,all,1.4,0.23,1.86,0.95,Estimable
58,all,2.21,0.22,2.64,1.78,Estimable
59,all,2.41,0.21,2.82,2,Estimable
60,all,3.53,0.22,3.95,3.1,Estimable
61,all,5.3,0.23,5.75,4.85,Estimable
62,all,2.75,0.23,3.21,2.3,Estimable
63,all,2.19,0.22,2.62,1.76,Estimable
64,all,3.34,0.22,3.78,2.9,Estimable
65,all,3.55,0.19,3.92,3.17,Estimable
66,all,4.76,0.23,5.22,4.3,Estimable
67,all,3.85,0.2,4.24,3.46,Estimable
68,all,2.23,0.21,2.64,1.82,Estimable
